Date,Value
1992-02-01,8.30%
1992-03-01,8.30%
1992-04-01,8.10%
1992-05-01,8.30%
1992-06-01,8.00%
1992-07-01,7.90%
1992-08-01,7.60%
1992-09-01,7.60%
1992-10-01,7.70%
1992-11-01,7.40%
1992-12-01,7.30%
1993-01-01,7.00%
1993-02-01,6.60%
1993-03-01,6.50%
1993-04-01,6.50%
1993-05-01,5.90%
1993-06-01,5.80%
1993-07-01,5.40%
1993-08-01,5.70%
1993-09-01,5.40%
1993-10-01,5.00%
1993-11-01,4.90%
1993-12-01,4.50%
1994-01-01,4.50%
1994-02-01,4.40%
1994-03-01,4.10%
1994-04-01,3.90%
1994-05-01,3.90%
1994-06-01,3.70%
1994-07-01,3.90%
1994-08-01,3.40%
1994-09-01,3.50%
1994-10-01,3.60%
1994-11-01,3.70%
1994-12-01,4.00%
1995-01-01,3.80%
1995-02-01,3.70%
1995-03-01,4.30%
1995-04-01,4.40%
1995-05-01,4.90%
1995-06-01,4.90%
1995-07-01,5.00%
1995-08-01,5.00%
1995-09-01,5.20%
1995-10-01,5.30%
1995-11-01,5.00%
1995-12-01,5.10%
1996-01-01,5.30%
1996-02-01,5.90%
1996-03-01,5.30%
1996-04-01,5.20%
1996-05-01,5.10%
1996-06-01,5.30%
1996-07-01,5.20%
1996-08-01,5.20%
1996-09-01,5.40%
1996-10-01,5.30%
1996-11-01,5.30%
1996-12-01,5.40%
1997-01-01,5.90%
1997-02-01,5.70%
1997-03-01,6.20%
1997-04-01,6.20%
1997-05-01,6.10%
1997-06-01,6.30%
1997-07-01,6.60%
1997-08-01,6.90%
1997-09-01,6.70%
1997-10-01,6.70%
1997-11-01,7.30%
1997-12-01,7.20%
1998-01-01,7.30%
1998-02-01,7.50%
1998-03-01,7.60%
1998-04-01,7.80%
1998-05-01,8.10%
1998-06-01,7.90%
1998-07-01,8.10%
1998-08-01,8.70%
1998-09-01,8.80%
1998-10-01,9.20%
1998-11-01,9.10%
1998-12-01,9.50%
1999-01-01,9.40%
1999-02-01,10.60%
1999-03-01,9.80%
1999-04-01,9.80%
1999-05-01,9.40%
1999-06-01,9.80%
1999-07-01,10.30%
1999-08-01,10.10%
1999-09-01,10.00%
1999-10-01,9.70%
1999-11-01,9.90%
1999-12-01,10.00%
2000-01-01,9.50%
2000-02-01,8.50%
2000-03-01,9.50%
2000-04-01,9.90%
2000-05-01,10.40%
2000-06-01,10.30%
2000-07-01,9.50%
2000-08-01,9.10%
2000-09-01,9.60%
2000-10-01,10.10%
2000-11-01,9.80%
2000-12-01,9.30%
2001-01-01,9.60%
2001-02-01,9.40%
2001-03-01,9.10%
2001-04-01,8.80%
2001-05-01,8.50%
2001-06-01,8.00%
2001-07-01,8.00%
2001-08-01,7.80%
2001-09-01,7.30%
2001-10-01,6.80%
2001-11-01,6.60%
2001-12-01,6.60%
2002-01-01,6.10%
2002-02-01,5.70%
2002-03-01,5.60%
2002-04-01,5.60%
2002-05-01,5.50%
2002-06-01,5.80%
2002-07-01,5.40%
2002-08-01,5.10%
2002-09-01,5.40%
2002-10-01,5.20%
2002-11-01,5.00%
2002-12-01,4.40%
2003-01-01,4.80%
2003-02-01,4.90%
2003-03-01,5.10%
2003-04-01,4.70%
2003-05-01,4.70%
2003-06-01,4.70%
2003-07-01,4.60%
2003-08-01,4.90%
2003-09-01,5.00%
2003-10-01,4.90%
2003-11-01,5.00%
2003-12-01,5.50%
2004-01-01,5.50%
2004-02-01,5.50%
2004-03-01,5.30%
2004-04-01,5.40%
2004-05-01,5.60%
2004-06-01,5.70%
2004-07-01,6.00%
2004-08-01,6.20%
2004-09-01,6.00%
2004-10-01,6.40%
2004-11-01,6.70%
