Date,Value
2001-02-01,3.60%
2001-03-01,2.20%
2001-04-01,2.70%
2001-05-01,1.60%
2001-06-01,1.60%
2001-07-01,2.10%
2001-08-01,2.00%
2001-09-01,2.50%
2001-10-01,2.10%
2001-11-01,0.70%
2001-12-01,1.90%
2002-01-01,1.90%
2002-02-01,-0.70%
2002-03-01,1.20%
2002-04-01,1.40%
2002-05-01,1.40%
2002-06-01,1.40%
2002-07-01,0.50%
2002-08-01,1.70%
2002-09-01,1.50%
2002-10-01,1.60%
2002-11-01,2.90%
2002-12-01,0.50%
2003-01-01,-0.20%
2003-02-01,2.00%
2003-03-01,1.10%
2003-04-01,0.10%
2003-05-01,1.20%
2003-06-01,0.50%
2003-07-01,1.50%
2003-08-01,0.60%
2003-09-01,0.50%
2003-10-01,0.30%
2003-11-01,1.00%
2003-12-01,0.30%
2004-01-01,0.70%
2004-02-01,1.60%
2004-03-01,0.90%
2004-04-01,1.60%
2004-05-01,2.10%
2004-06-01,0.30%
2004-07-01,1.90%
2004-08-01,1.80%
2004-09-01,1.10%
2004-10-01,1.00%
2004-11-01,0.50%
2004-12-01,2.10%
2005-01-01,2.30%
2005-02-01,2.10%
2005-03-01,1.70%
2005-04-01,2.00%
2005-05-01,0.40%
2005-06-01,1.50%
2005-07-01,2.00%
2005-08-01,2.70%
2005-09-01,4.40%
2005-10-01,3.00%
2005-11-01,2.40%
2005-12-01,0.90%
2006-01-01,1.10%
2006-02-01,1.00%
2006-03-01,1.90%
2006-04-01,1.20%
2006-05-01,2.00%
2006-06-01,2.20%
2006-07-01,2.00%
2006-08-01,2.20%
2006-09-01,2.40%
2006-10-01,1.70%
2006-11-01,1.70%
2006-12-01,2.20%
2007-01-01,2.30%
2007-02-01,1.80%
2007-03-01,1.90%
2007-04-01,3.10%
2007-05-01,2.30%
2007-06-01,0.90%
2007-07-01,1.80%
2007-08-01,2.00%
2007-09-01,1.80%
2007-10-01,1.60%
2007-11-01,1.10%
2007-12-01,0.50%
2008-01-01,-0.80%
2008-02-01,1.60%
2008-03-01,1.70%
2008-04-01,-1.70%
2008-05-01,-1.00%
2008-06-01,1.00%
2008-07-01,-1.80%
2008-08-01,-1.30%
2008-09-01,-1.60%
2008-10-01,-0.40%
2008-11-01,-2.10%
2008-12-01,-2.10%
2009-01-01,-1.70%
2009-02-01,-3.00%
2009-03-01,-5.30%
2009-04-01,-3.70%
2009-05-01,-2.60%
2009-06-01,-4.20%
2009-07-01,-3.00%
2009-08-01,-2.10%
2009-09-01,-2.90%
2009-10-01,-3.80%
2009-11-01,-1.80%
2009-12-01,-2.80%
2010-01-01,-0.60%
2010-02-01,0.00%
2010-03-01,-0.60%
2010-04-01,1.30%
2010-05-01,-0.50%
2010-06-01,0.90%
2010-07-01,0.70%
2010-08-01,1.00%
2010-09-01,1.60%
2010-10-01,0.90%
2010-11-01,0.70%
2010-12-01,1.50%
2011-01-01,-0.60%
2011-02-01,0.60%
2011-03-01,1.20%
2011-04-01,-1.50%
2011-05-01,0.60%
2011-06-01,-1.80%
2011-07-01,-0.90%
2011-08-01,-0.60%
2011-09-01,-0.20%
2011-10-01,-1.30%
2011-11-01,-0.70%
2011-12-01,-1.50%
2012-01-01,-1.80%
2012-02-01,-0.80%
2012-03-01,-2.20%
2012-04-01,0.00%
2012-05-01,-3.50%
2012-06-01,-0.60%
2012-07-01,-0.90%
2012-08-01,-1.30%
2012-09-01,-0.70%
2012-10-01,-1.90%
2012-11-01,-3.00%
2012-12-01,-1.90%
2013-01-01,-2.60%
2013-02-01,-2.20%
2013-03-01,-2.00%
2013-04-01,-2.40%
2013-05-01,-1.20%
2013-06-01,-0.20%
2013-07-01,-1.60%
2013-08-01,-0.90%
2013-09-01,-0.30%
2013-10-01,-0.20%
2013-11-06,0.3%
2013-12-04,-0.1%
2014-01-08,1.6%
2014-02-05,-1.0%
2014-03-05,1.3%
2014-04-03,0.8%
2014-05-06,0.9%
2014-06-05,2.4%
2014-07-03,0.7%
2014-08-05,2.4%
2014-09-03,0.8%
2014-10-03,1.9%
2014-11-05,0.6%
2014-12-03,1.4%
2015-01-08,1.5%
2015-02-04,2.8%
2015-03-04,3.7%
2015-04-08,3.0%
2015-05-06,1.6%
2015-06-03,2.2%
2015-07-03,2.4%
2015-08-05,1.2%
2015-09-03,2.7%
2015-10-05,2.3%
2015-11-05,2.9%
2015-12-03,2.5%
2016-01-07,1.4%
2016-02-03,1.4%
2016-03-03,2.0%
2016-04-05,2.4%
2016-05-04,2.1%
2016-06-03,1.4%
2016-07-05,1.6%
2016-08-03,1.6%
2016-09-05,2.9%
2016-10-05,0.6%
2016-11-07,1.1%
2016-12-05,2.4%
2017-01-06,2.3%
2017-02-03,1.1%
2017-03-03,1.2%
2017-04-04,1.8%
2017-05-04,2.3%
2017-06-06,2.5%
2017-07-05,2.6%
2017-08-03,3.1%
2017-09-05,2.6%
2017-10-04,1.2%
2017-11-07,3.7%
2017-12-05,0.4%
2018-01-08,2.8%
2018-02-05,1.9%
2018-03-05,2.3%
2018-04-05,1.8%
2018-05-04,0.8%
2018-06-05,1.7%
2018-07-03,1.4%
2018-08-03,1.2%
2018-09-05,1.1%
2018-10-03,1.8%
2018-11-07,0.8%
2018-12-05,1.7%
2019-01-07,1.1%
2019-02-05,0.8%
2019-03-05,2.2%
2019-04-03,2.8%
2019-05-06,1.9%
2019-06-05,1.5%
2019-07-04,1.3%
2019-08-02,2.6%
2019-09-04,2.2%
2019-10-03,2.1%
2019-11-06,3.1%
2019-12-05,1.4%
2020-01-07,2.2%
2020-02-05,1.3%
2020-03-04,1.7%
2020-04-03,3.0%
2020-05-06,-9.2%
2020-06-04,-19.6%
2020-07-06,-5.1%
2020-08-05,1.3%
