Date,Value
1985-02-01,25.20
1985-03-01,27.60
1985-04-01,29.40
1985-05-01,26.70
1985-06-01,25.50
1985-07-01,22.00
1985-08-01,19.70
1985-09-01,18.80
1985-10-01,17.80
1985-11-01,19.10
1985-12-01,17.70
1986-01-01,18.80
1986-02-01,16.30
1986-03-01,12.30
1986-04-01,9.70
1986-05-01,8.40
1986-06-01,7.30
1986-07-01,8.20
1986-08-01,6.70
1986-09-01,6.50
1986-10-01,6.70
1986-11-01,4.70
1986-12-01,5.20
1987-01-01,5.70
1987-02-01,11.30
1987-03-01,11.60
1987-04-01,10.90
1987-05-01,12.90
1987-06-01,14.80
1987-07-01,14.10
1987-08-01,16.90
1987-09-01,16.60
1987-10-01,17.80
1987-11-01,16.90
1987-12-01,16.20
1988-01-01,12.10
1988-02-01,15.20
1988-03-01,15.60
1988-04-01,15.90
1988-05-01,17.30
1988-06-01,16.80
1988-07-01,19.60
1988-08-01,20.20
1988-09-01,20.80
1988-10-01,20.20
1988-11-01,22.40
1988-12-01,23.70
1989-01-01,27.00
1989-02-01,26.70
1989-03-01,25.90
1989-04-01,24.00
1989-05-01,21.10
1989-06-01,19.00
1989-07-01,19.10
1989-08-01,17.70
1989-09-01,18.40
1989-10-01,17.20
1989-11-01,16.20
1989-12-01,18.50
1990-01-01,19.20
1990-02-01,18.60
1990-03-01,16.30
1990-04-01,14.70
1990-05-01,15.90
1990-06-01,14.20
1990-07-01,14.10
1990-08-01,13.30
1990-09-01,14.10
1990-10-01,17.50
1990-11-01,18.00
1990-12-01,16.20
1991-01-01,16.80
1991-02-01,17.00
1991-03-01,14.70
1991-04-01,13.50
1991-05-01,14.60
1991-06-01,13.40
1991-07-01,11.10
1991-08-01,10.80
1991-09-01,9.60
1991-10-01,9.40
1991-11-01,8.10
1991-12-01,7.70
1992-01-01,9.30
1992-02-01,9.90
1992-03-01,10.00
1992-04-01,11.10
1992-05-01,11.80
1992-06-01,11.50
1992-07-01,10.40
1992-08-01,9.10
1992-09-01,5.70
1992-10-01,4.40
