Date,Value
2008-02-22,52.3
2008-03-05,52.3
2008-04-03,51.6
2008-04-23,51.8
2008-05-06,52.0
2008-05-23,50.6
2008-06-04,50.6
2008-06-23,49.5
2008-07-03,49.1
2008-07-24,48.3
2008-08-05,48.3
2008-08-21,48.2
2008-09-03,48.5
2008-09-23,48.2
2008-10-03,48.4
2008-10-24,46.9
2008-11-05,45.8
2008-11-21,43.3
2008-12-03,42.5
2008-12-16,42.0
2009-01-06,42.1
2009-01-23,42.5
2009-02-04,42.2
2009-02-20,38.9
2009-03-04,39.2
2009-03-24,40.1
2009-04-03,40.9
2009-04-23,43.1
2009-05-06,43.8
2009-05-21,44.7
2009-06-03,44.8
2009-06-23,44.5
2009-07-03,44.7
2009-07-24,45.6
2009-08-05,45.7
2009-08-21,49.5
2009-09-03,49.9
2009-09-23,50.6
2009-10-05,50.9
2009-10-23,52.3
2009-11-04,52.6
2009-11-23,53.2
2009-12-03,53.0
2009-12-16,53.7
2010-01-06,53.6
2010-01-21,52.3
2010-02-03,52.5
2010-02-19,52.0
2010-03-03,51.8
2010-03-24,53.7
2010-04-07,54.1
2010-04-22,55.5
2010-05-05,55.6
2010-05-21,56.0
2010-06-03,56.2
2010-06-23,55.4
2010-07-05,55.5
2010-07-22,56.0
2010-08-04,55.8
2010-08-23,55.6
2010-09-03,55.9
2010-09-23,53.6
2010-10-05,54.1
2010-10-21,53.2
2010-11-04,53.3
2010-11-23,55.2
2010-12-03,55.4
2010-12-16,53.7
2011-01-05,54.2
2011-01-24,55.2
2011-02-03,55.9
2011-02-21,57.2
2011-03-03,56.8
2011-03-24,56.9
2011-04-05,57.2
2011-04-19,56.9
2011-05-04,56.7
2011-05-23,55.4
2011-06-03,56.0
2011-06-23,54.2
2011-07-05,53.7
2011-07-21,51.4
2011-08-03,51.6
2011-08-23,51.5
2011-09-05,51.5
2011-09-22,49.1
2011-10-05,48.8
2011-10-24,47.2
2011-11-04,46.4
2011-11-23,47.8
2011-12-05,47.5
