Date,Value
1992-02-01,162.00K
1992-03-01,-55.00K
1992-04-01,-14.00K
1992-05-01,28.00K
1992-06-01,35.00K
1992-07-01,28.00K
1992-08-01,54.00K
1992-09-01,14.00K
1992-10-01,7.00K
1992-11-01,42.00K
1992-12-01,28.00K
1993-01-01,29.00K
1993-02-01,26.00K
1993-03-01,24.00K
1993-04-01,49.00K
1993-05-01,34.00K
1993-06-01,64.00K
1993-07-01,66.00K
1993-08-01,98.00K
1993-09-01,40.00K
1993-10-01,67.00K
1993-11-01,89.00K
1993-12-01,17.00K
1994-01-01,-11.00K
1994-02-01,18.00K
1994-03-01,12.00K
1994-04-01,20.00K
1994-05-01,9.00K
1994-06-01,3.00K
1994-07-01,-25.00K
1994-08-01,-14.00K
1994-09-01,-30.00K
1994-10-01,-39.00K
1994-11-01,-35.00K
1994-12-01,-38.00K
1995-01-01,-14.00K
1995-02-01,-24.00K
1995-03-01,-34.00K
1995-04-01,5.00K
1995-05-01,45.00K
1995-06-01,-1.00K
1995-07-01,42.00K
1995-08-01,20.00K
1995-09-01,22.00K
1995-10-01,41.00K
1995-11-01,24.00K
1995-12-01,29.00K
1996-01-01,56.00K
1996-02-01,46.00K
1996-03-01,78.00K
1996-04-01,40.00K
1996-05-01,-35.00K
1996-06-01,2.00K
1996-07-01,16.00K
1996-08-01,20.00K
1996-09-01,17.00K
1996-10-01,41.00K
1996-11-01,47.00K
1996-12-01,44.00K
1997-01-01,26.00K
1997-02-01,179.00K
1997-03-01,-18.00K
1997-04-01,-16.00K
1997-05-01,21.00K
1997-06-01,70.00K
1997-07-01,20.00K
1997-08-01,25.00K
1997-09-01,38.00K
1997-10-01,32.00K
1997-11-01,21.00K
1997-12-01,-9.00K
1998-01-01,-8.00K
1998-02-01,-17.00K
1998-03-01,-29.00K
1998-04-01,-22.00K
1998-05-01,-47.00K
1998-06-01,-59.00K
1998-07-01,-74.00K
1998-08-01,-41.00K
1998-09-01,-27.00K
1998-10-01,-41.00K
1998-11-01,-31.00K
1998-12-01,11.00K
1999-01-01,49.00K
1999-02-01,-33.00K
1999-03-01,-11.00K
1999-04-01,-27.00K
1999-05-01,2.00K
1999-06-01,10.00K
1999-07-01,-5.00K
1999-08-01,0.00K
1999-09-01,9.00K
1999-10-01,-1.00K
1999-11-01,-15.00K
1999-12-01,-29.00K
2000-01-01,-45.00K
2000-02-01,-38.00K
2000-03-01,-29.00K
2000-04-01,-3.00K
2000-05-01,-19.00K
2000-06-01,-45.00K
2000-07-01,-9.00K
2000-08-01,-11.00K
2000-09-01,-5.00K
2000-10-01,-16.00K
2000-11-01,-28.00K
2000-12-01,-9.00K
2001-01-01,-6.00K
2001-02-01,-6.00K
2001-03-01,3.00K
2001-04-01,11.00K
2001-05-01,-10.00K
2001-06-01,8.00K
2001-07-01,31.00K
2001-08-01,14.00K
2001-09-01,14.00K
2001-10-01,39.00K
2001-11-01,34.00K
2001-12-01,23.00K
2002-01-01,15.00K
2002-02-01,10.00K
2002-03-01,-15.00K
2002-04-01,-15.00K
2002-05-01,-14.00K
2002-06-01,83.00K
2002-07-01,71.00K
2002-08-01,2.00K
2002-09-01,0.00K
2002-10-01,10.00K
2002-11-01,41.00K
2002-12-01,62.00K
2003-01-01,55.00K
2003-02-01,52.00K
2003-03-01,46.00K
2003-04-01,21.00K
2003-05-01,15.00K
2003-06-01,12.00K
2003-07-01,-13.00K
2003-08-01,8.00K
2003-09-01,-12.00K
2003-10-01,-21.00K
2003-11-01,-4.00K
2003-12-01,6.00K
2004-01-01,15.00K
2004-02-01,-94.00K
2004-03-01,15.00K
2004-04-01,10.00K
2004-05-01,27.00K
2004-06-01,9.00K
2004-07-01,9.00K
2004-08-01,27.00K
2004-09-01,3.00K
2004-10-01,25.00K
2004-11-01,20.00K
2004-12-01,31.00K
2005-01-01,58.00K
2005-02-01,264.00K
2005-03-01,158.00K
2005-04-01,58.00K
2005-05-01,-71.00K
2005-06-01,-1.00K
2005-07-01,-25.00K
2005-08-01,-41.00K
2005-09-01,-36.00K
2005-10-01,-31.00K
2005-11-01,-16.00K
2005-12-01,-33.00K
2006-01-01,-58.00K
2006-02-01,43.00K
2006-03-01,-2.00K
2006-04-01,-8.00K
2006-05-01,-60.00K
2006-06-01,-97.00K
2006-07-01,-60.00K
2006-08-01,-96.00K
2006-09-01,-21.00K
2006-10-01,-19.00K
2006-11-01,-77.00K
2006-12-01,-91.00K
2007-01-01,-96.00K
2007-02-01,-89.00K
2007-03-01,-66.00K
2007-04-01,-69.00K
2007-05-01,-47.00K
2007-06-01,-25.00K
2007-07-01,-50.00K
2007-08-01,-41.00K
2007-09-01,-21.00K
2007-10-01,-54.00K
2007-11-01,-33.00K
2007-12-01,-51.00K
2008-01-01,-60.00K
2008-02-01,-78.00K
2008-03-01,-66.00K
2008-04-01,-61.00K
2008-05-01,-8.00K
2008-06-01,-6.00K
2008-07-01,-55.00K
2008-07-31,-20K
2008-08-28,-40K
2008-09-30,-29K
2008-10-30,-26K
2008-11-27,-10K
2009-01-07,18K
2009-01-29,56K
2009-02-26,40K
2009-03-31,69K
2009-04-30,58K
2009-05-28,1K
2009-06-30,31K
2009-07-30,-6K
2009-09-01,-1K
2009-09-30,-12K
2009-10-29,-26K
2009-12-01,-7K
2010-01-05,-3K
2010-01-28,6K
2010-02-25,7K
2010-03-31,-31K
2010-04-29,-68K
2010-06-01,-45K
2010-06-30,-21K
2010-07-29,-20K
2010-08-31,-17K
2010-09-30,-40K
2010-10-27,-3K
2010-11-30,-9K
2011-01-04,3K
2011-02-01,-13K
2011-03-01,-52K
2011-03-31,-55K
2011-04-28,-37K
2011-05-31,-8K
2011-06-30,-8K
2011-07-28,-11K
2011-08-31,-8K
2011-09-29,-26K
2011-11-02,10K
2011-11-30,-20K
2012-01-03,-22K
2012-01-31,-34K
2012-02-29,0K
2012-03-29,-18K
2012-05-02,19K
2012-05-31,0K
2012-06-28,7K
2012-07-31,7K
2012-08-30,9K
2012-09-27,9K
2012-10-30,20K
2012-11-29,5K
2013-01-03,3K
2013-01-31,-16K
2013-02-28,-3K
2013-03-28,13K
2013-04-30,4K
