Date,Value
2008-02-20,-0.2%
2008-03-18,0.0%
2008-04-23,-1.4%
2008-05-21,0.5%
2008-06-18,0.8%
2008-07-21,0.4%
2008-08-19,-0.9%
2008-09-21,0.8%
2008-10-21,-1.8%
2008-11-18,-0.1%
2008-12-18,-0.5%
2009-01-22,-2.3%
2009-02-19,-2.7%
2009-03-18,-1.7%
2009-04-23,-2.0%
2009-05-24,-2.4%
2009-06-25,2.6%
2009-07-24,0.7%
2009-08-19,0.1%
2009-09-24,0.5%
2009-10-22,0.9%
2009-11-19,-0.6%
2009-12-21,1.2%
2010-01-22,0.1%
2010-02-19,-0.3%
2010-03-19,3.8%
2010-04-23,-2.3%
2010-05-24,-0.8%
2010-06-21,1.8%
2010-07-22,0.2%
2010-08-19,0.1%
2010-09-22,1.0%
2010-10-21,-0.4%
2010-11-19,-0.8%
2010-12-21,-0.2%
2011-01-21,-0.1%
2011-02-21,-0.2%
2011-03-22,2.9%
2011-04-25,0.7%
2011-05-20,-6.3%
2011-06-21,1.5%
2011-07-21,2.0%
2011-08-19,2.3%
2011-09-21,0.4%
2011-10-19,-0.5%
2011-11-21,-0.9%
2011-12-20,0.8%
2012-01-20,-1.1%
2012-02-21,1.3%
2012-03-21,-1.0%
2012-04-26,-0.1%
2012-05-21,-0.3%
2012-06-20,0.1%
2012-07-19,-0.3%
2012-08-21,0.2%
2012-09-20,-0.6%
2012-10-19,0.1%
2012-11-20,-0.3%
2012-12-19,0.2%
2013-01-22,-0.3%
2013-02-20,1.8%
2013-03-21,-1.4%
2013-04-19,0.6%
2013-05-21,-0.3%
2013-06-27,0.4%
2013-07-19,1.1%
2013-08-20,-0.6%
2013-09-19,0.5%
2013-10-21,0.3%
2013-11-20,0.4%
2013-12-19,-0.2%
2014-01-22,0.3%
2014-02-19,-0.1%
2014-03-19,1.0%
2014-04-25,-1.1%
2014-05-20,1.5%
2014-06-19,-4.3%
2014-07-22,0.6%
2014-08-20,-0.4%
2014-09-19,-0.2%
2014-10-21,-0.1%
2014-11-19,1.0%
2014-12-19,-0.1%
2015-01-21,0.1%
2015-02-19,-0.3%
2015-03-19,1.9%
2015-04-24,0.1%
2015-05-21,-1.3%
2015-06-19,0.1%
2015-07-22,-0.5%
2015-08-19,0.3%
2015-09-24,0.2%
2015-10-21,-0.2%
2015-11-19,-0.2%
2015-12-21,1.0%
2016-01-21,-1.0%
2016-02-19,-0.9%
2016-03-22,2.0%
2016-04-27,-1.2%
2016-05-23,0.1%
2016-06-21,1.3%
2016-07-21,-1.0%
2016-08-19,1.0%
2016-09-23,0.3%
2016-10-19,0.2%
2016-11-21,0.2%
2016-12-21,0.2%
2017-01-23,0.3%
2017-02-21,-0.3%
2017-03-22,0.1%
2017-04-26,0.7%
2017-05-23,-0.6%
2017-06-21,2.1%
2017-07-20,-0.9%
2017-08-21,0.4%
2017-09-21,-0.1%
2017-10-19,0.1%
2017-11-21,-0.5%
2017-12-20,0.3%
2018-01-23,1.0%
2018-02-21,0.5%
2018-03-22,-1.8%
2018-04-25,0.4%
2018-05-23,0.0%
2018-06-22,1.0%
2018-07-20,0.1%
2018-08-22,-0.8%
2018-09-21,0.0%
2018-10-22,0.5%
2018-11-21,-0.9%
2018-12-20,1.9%
2019-01-23,-0.3%
2019-02-21,-0.4%
2019-03-25,-0.2%
2019-04-24,-0.2%
2019-05-24,-0.4%
2019-06-20,0.9%
2019-07-19,0.3%
2019-08-22,-0.8%
2019-09-19,0.2%
2019-10-21,0.0%
2019-11-21,1.5%
2019-12-23,-4.3%
2020-01-23,0.9%
2020-02-21,0.0%
2020-03-19,0.8%
2020-04-24,-0.6%
2020-05-26,-3.8%
2020-06-25,-6.4%
2020-07-27,-3.5%
2020-08-27,6.1%
