Date,Value
1985-05-01,25.00%
1985-06-01,16.60%
1985-07-01,10.30%
1985-08-01,5.40%
1985-09-01,-8.30%
1985-10-01,1.30%
1985-11-01,29.60%
1985-12-01,-2.00%
1986-01-01,-6.10%
1986-02-01,10.70%
1986-03-01,5.60%
1986-04-01,-0.50%
1986-05-01,1.90%
1986-06-01,1.10%
1986-07-01,10.80%
1986-08-01,10.20%
1986-09-01,19.50%
1986-10-01,3.50%
1986-11-01,-16.80%
1986-12-01,-0.70%
1987-01-01,28.80%
1987-02-01,10.20%
1987-03-01,3.70%
1987-04-01,-1.20%
1987-05-01,21.60%
1987-06-01,9.00%
1987-07-01,13.60%
1987-08-01,16.40%
1987-09-01,5.30%
1987-10-01,19.60%
1987-11-01,25.40%
1987-12-01,29.50%
1988-01-01,7.50%
1988-02-01,11.90%
1988-03-01,22.40%
1988-04-01,14.60%
1988-05-01,41.70%
1988-06-01,17.00%
1988-07-01,20.10%
1988-08-01,35.90%
1988-09-01,19.50%
1988-10-01,-3.90%
1988-11-01,22.80%
1988-12-01,9.50%
1989-01-01,73.70%
1989-02-01,29.00%
1989-03-01,6.30%
1989-04-01,10.90%
1989-05-01,26.20%
1989-06-01,24.80%
1989-07-01,14.90%
1989-08-01,7.10%
1989-09-01,28.10%
1989-10-01,32.30%
1989-11-01,9.30%
1989-12-01,27.00%
1990-01-01,-9.00%
1990-02-01,10.30%
1990-03-01,36.30%
1990-04-01,52.40%
1990-05-01,29.80%
1990-06-01,25.90%
1990-07-01,37.30%
1990-08-01,18.90%
1990-09-01,27.50%
1990-10-01,26.10%
1990-11-01,13.80%
1990-12-01,19.00%
1991-01-01,11.60%
1991-02-01,14.80%
1991-03-01,28.00%
1991-04-01,21.80%
1991-05-01,-0.20%
1991-06-01,-3.20%
1991-07-01,-10.20%
1991-08-01,0.00%
1991-09-01,-3.40%
1991-10-01,9.00%
1991-11-01,-8.10%
1991-12-01,-17.20%
1992-01-01,-7.10%
1992-02-01,-10.10%
1992-03-01,10.30%
1992-04-01,19.70%
1992-05-01,-30.50%
1992-06-01,-20.60%
1992-07-01,-15.40%
1992-08-01,-12.10%
1992-09-01,-6.60%
1992-10-01,-10.90%
1992-11-01,-7.30%
1992-12-01,-8.10%
1993-01-01,-16.00%
1993-02-01,7.60%
1993-03-01,-27.00%
1993-04-01,-17.40%
1993-05-01,-18.20%
1993-06-01,-17.30%
1993-07-01,-17.10%
1993-08-01,-33.60%
1993-09-01,-25.00%
1993-10-01,-18.90%
1993-11-01,-24.30%
1993-12-01,-16.10%
1994-01-01,-2.00%
1994-02-01,-9.00%
1994-03-01,-9.80%
1994-04-01,-15.00%
1994-05-01,-7.80%
1994-06-01,-16.90%
1994-07-01,-2.90%
1994-08-01,17.80%
1994-09-01,9.20%
1994-10-01,-7.00%
1994-11-01,6.70%
1994-12-01,20.80%
1995-01-01,6.10%
1995-02-01,-16.70%
1995-03-01,-2.90%
1995-04-01,3.20%
1995-05-01,4.20%
1995-06-01,25.80%
1995-07-01,11.30%
1995-08-01,2.30%
1995-09-01,-10.90%
1995-10-01,4.50%
1995-11-01,3.10%
1995-12-01,-10.40%
1996-01-01,6.90%
1996-02-01,17.70%
1996-03-01,9.20%
1996-04-01,-0.60%
1996-05-01,1.50%
1996-06-01,-8.80%
1996-07-01,-11.40%
1996-08-01,1.70%
