Date,Value
1988-05-01,35.00%
1988-06-01,34.50%
1988-07-01,26.60%
1988-08-01,31.00%
1988-09-01,21.20%
1988-10-01,17.10%
1988-11-01,22.80%
1988-12-01,27.40%
1989-01-01,29.10%
1989-02-01,26.50%
1989-03-01,16.80%
1989-04-01,16.20%
1989-05-01,13.70%
1989-06-01,12.10%
1989-07-01,21.10%
1989-08-01,8.40%
1989-09-01,17.10%
1989-10-01,22.10%
1989-11-01,23.30%
1989-12-01,14.90%
1990-01-01,7.30%
1990-02-01,9.80%
1990-03-01,21.40%
1990-04-01,9.00%
1990-05-01,17.10%
1990-06-01,12.40%
1990-07-01,-3.40%
1990-08-01,19.40%
1990-09-01,15.60%
1990-10-01,17.70%
1990-11-01,5.10%
1990-12-01,15.90%
1991-01-01,-8.20%
1991-02-01,6.80%
1991-03-01,3.40%
1991-04-01,7.00%
1991-05-01,-1.40%
1991-06-01,2.80%
1991-07-01,-2.90%
1991-08-01,-2.50%
1991-09-01,-6.60%
1991-10-01,-3.30%
1991-11-01,-4.40%
1991-12-01,-15.10%
1992-01-01,-14.90%
1992-02-01,-16.30%
1992-03-01,-8.40%
1992-04-01,4.60%
1992-05-01,-21.80%
1992-06-01,-21.90%
1992-07-01,-20.10%
1992-08-01,-18.40%
1992-09-01,-12.40%
1992-10-01,-8.50%
1992-11-01,-31.50%
1992-12-01,-16.40%
1993-01-01,-7.60%
1993-02-01,-14.80%
1993-03-01,-15.80%
1993-04-01,-12.10%
1993-05-01,-18.60%
1993-06-01,-16.60%
1993-07-01,-13.40%
1993-08-01,-12.40%
1993-09-01,-16.40%
1993-10-01,-8.30%
1993-11-01,-13.50%
1993-12-01,-7.60%
1994-01-01,-7.10%
1994-02-01,-0.30%
1994-03-01,-9.60%
1994-04-01,-0.50%
1994-05-01,-3.70%
1994-06-01,-1.20%
1994-07-01,8.70%
1994-08-01,2.10%
1994-09-01,6.40%
1994-10-01,0.00%
1994-11-01,16.80%
1994-12-01,3.60%
1995-01-01,8.10%
1995-02-01,0.80%
1995-03-01,6.00%
1995-04-01,0.00%
1995-05-01,22.50%
1995-06-01,10.00%
1995-07-01,10.30%
1995-08-01,7.70%
1995-09-01,1.50%
1995-10-01,-1.40%
1995-11-01,3.80%
1995-12-01,9.70%
1996-01-01,13.70%
1996-02-01,12.00%
1996-03-01,14.90%
1996-04-01,1.10%
1996-05-01,15.70%
1996-06-01,16.00%
1996-07-01,0.50%
1996-08-01,18.60%
1996-09-01,8.90%
1996-10-01,2.20%
1996-11-01,32.30%
1996-12-01,17.60%
1997-01-01,-1.90%
1997-02-01,13.30%
1997-03-01,9.20%
1997-04-01,-0.50%
1997-05-01,-6.50%
1997-06-01,8.60%
1997-07-01,4.90%
1997-08-01,0.40%
1997-09-01,2.40%
1997-10-01,1.50%
1997-11-01,-14.70%
1997-12-01,-16.10%
1998-01-01,-8.50%
1998-02-01,-5.90%
1998-03-01,-19.60%
1998-04-01,0.60%
1998-05-01,-19.90%
1998-06-01,-30.10%
1998-07-01,-19.80%
1998-08-01,-26.40%
1998-09-01,-26.60%
1998-10-01,-15.60%
1998-11-01,-27.50%
1998-12-01,-14.30%
1999-01-01,-15.90%
1999-02-01,-24.00%
1999-03-01,-10.20%
1999-04-01,-15.40%
1999-05-01,-18.10%
1999-06-01,-12.10%
1999-07-01,-9.50%
1999-08-01,-8.40%
1999-09-01,-4.00%
1999-10-01,-6.20%
1999-11-01,3.30%
1999-12-01,-3.30%
2000-01-01,12.80%
2000-02-01,21.00%
2000-03-01,12.20%
2000-04-01,6.50%
2000-05-01,14.80%
2000-06-01,19.90%
2000-07-01,28.60%
2000-08-01,16.20%
2000-09-01,42.30%
2000-10-01,12.40%
2000-11-01,22.90%
2000-12-01,19.70%
2001-01-01,9.50%
2001-02-01,-4.40%
2001-03-01,1.70%
2001-04-01,1.70%
2001-05-01,6.50%
2001-06-01,1.30%
2001-07-01,-11.70%
2001-08-01,-5.50%
2001-09-01,-15.00%
2001-10-01,-12.20%
2001-11-01,-26.50%
2001-12-01,-12.10%
2002-01-01,-11.40%
2002-02-01,-21.10%
2002-03-01,-13.60%
2002-04-01,-20.00%
2002-05-01,-14.60%
2002-06-01,-15.20%
2002-07-01,-8.00%
2002-08-01,-7.50%
2002-09-01,-20.60%
2002-10-01,-1.80%
2002-11-01,0.50%
2002-12-01,-10.90%
2003-01-01,-4.40%
2003-02-01,16.40%
2003-03-01,-2.20%
2003-04-01,9.80%
2003-05-01,-0.90%
2003-06-01,10.30%
2003-07-01,9.80%
2003-08-01,-0.90%
2003-09-01,8.40%
2003-10-01,-1.10%
2003-11-01,21.40%
2003-12-01,11.10%
2004-01-01,16.10%
2004-02-01,-4.00%
2004-03-01,10.40%
2004-04-01,-0.70%
2004-05-01,21.60%
2004-06-01,11.30%
2004-07-01,13.20%
2004-08-01,5.50%
2004-09-01,9.00%
2004-10-01,5.80%
2004-11-01,-5.70%
2004-12-01,20.50%
2005-01-01,3.70%
2005-02-01,7.90%
2005-03-01,5.40%
2005-04-01,15.00%
2005-05-01,4.10%
2005-06-01,0.60%
2005-07-01,3.00%
2005-08-01,15.70%
2005-09-01,18.00%
2005-10-01,6.50%
2005-11-01,7.40%
2005-12-01,-1.40%
2006-01-01,14.80%
2006-02-01,7.50%
2006-03-01,7.80%
2006-04-01,-2.30%
2006-05-01,11.10%
2006-06-01,14.30%
2006-07-01,21.60%
2006-08-01,2.10%
2006-09-01,-1.00%
2006-10-01,1.40%
2006-11-01,-0.10%
2006-12-01,0.20%
2007-01-01,0.10%
2007-02-01,6.40%
2007-03-01,-3.10%
2007-04-01,-4.50%
2007-05-01,-8.80%
2007-06-01,-3.40%
2007-07-01,-18.20%
2007-08-01,2.40%
2007-09-01,-4.60%
2007-10-01,-6.60%
2007-11-01,6.90%
2007-12-01,-0.80%
2008-01-01,-6.40%
2008-02-01,11.90%
2008-03-01,2.60%
2008-04-01,-7.80%
2008-05-01,2.70%
2008-06-01,5.90%
2008-07-01,7.10%
2008-08-01,-0.90%
2008-09-01,-9.00%
2008-10-01,-3.80%
2008-11-01,-14.30%
2008-12-01,-28.10%
2009-01-01,-24.70%
2009-02-01,-41.20%
2009-03-01,-29.60%
2009-04-01,-20.60%
2009-05-01,-31.90%
2009-06-01,-41.60%
2009-07-01,-30.90%
2009-08-01,-35.60%
2009-09-01,-26.70%
2009-10-01,-24.00%
2009-11-01,-21.50%
2009-12-01,-16.50%
2010-01-01,-1.90%
2010-02-01,5.60%
2010-03-01,-4.10%
2010-04-01,2.50%
2010-05-01,12.70%
2010-06-01,8.30%
2010-07-01,3.90%
2010-08-01,17.70%
2010-09-01,25.50%
2010-10-01,4.10%
2010-11-01,6.90%
2010-12-01,12.90%
2011-01-01,-0.60%
2011-02-01,5.60%
2011-03-01,11.50%
2011-04-01,9.10%
2011-05-01,-0.20%
2011-06-01,10.50%
2011-07-01,17.90%
2011-08-01,4.00%
2011-09-01,2.10%
2011-10-01,9.80%
2011-11-01,1.50%
2011-12-01,12.50%
2012-01-01,6.30%
2012-02-01,5.70%
2012-03-01,8.90%
2012-04-01,-1.10%
2012-05-01,6.60%
2012-06-01,1.00%
2012-07-01,-9.90%
2012-08-01,1.70%
2012-09-01,-6.10%
2012-10-01,-7.80%
2012-11-01,1.20%
2012-12-01,0.30%
2013-01-01,-3.40%
2013-02-01,-9.70%
2013-03-01,-11.30%
2013-04-01,2.40%
2013-05-01,-1.10%
2013-06-11,-1.1%
2013-07-10,16.5%
2013-08-12,4.9%
2013-09-11,6.5%
2013-11-12,11.4%
2013-12-10,17.8%
2014-01-15,16.6%
2014-02-11,6.7%
2014-03-12,23.6%
2014-04-09,10.8%
2014-05-18,16.1%
2014-06-11,17.6%
2014-07-09,-14.3%
2014-08-13,-3.0%
2014-09-09,1.1%
2014-10-08,-3.3%
2014-11-12,7.3%
2014-12-10,-4.9%
2015-01-14,-14.6%
2015-02-11,11.4%
2015-03-10,1.9%
2015-04-12,5.9%
2015-05-17,2.6%
2015-06-09,3.0%
2015-07-08,19.3%
2015-08-12,16.6%
2015-09-09,2.8%
2015-10-07,-3.5%
2015-11-11,-1.7%
2015-12-08,10.3%
2016-01-13,1.2%
2016-02-16,-3.6%
2016-03-13,8.4%
2016-04-10,-0.7%
2016-05-18,3.2%
2016-06-08,-8.2%
2016-07-10,-11.7%
2016-08-09,-0.9%
2016-09-11,5.2%
2016-10-11,11.6%
2016-11-09,4.3%
2016-12-11,-5.6%
2017-01-15,10.4%
2017-02-08,6.7%
2017-03-12,-8.2%
2017-04-11,5.6%
2017-05-16,-0.7%
2017-06-11,2.7%
2017-07-09,0.6%
2017-08-09,-5.2%
2017-09-10,-7.5%
2017-10-10,4.4%
2017-11-08,-3.5%
2017-12-12,2.3%
2018-01-16,4.1%
2018-02-14,-5.0%
2018-03-13,2.9%
2018-04-10,2.4%
2018-05-16,-2.4%
2018-06-10,9.6%
2018-07-10,16.5%
2018-08-08,0.3%
2018-09-12,13.9%
2018-10-09,12.6%
2018-11-07,-7.0%
2018-12-11,4.5%
2019-01-15,0.8%
2019-02-17,0.9%
2019-03-12,-2.9%
2019-04-09,-5.5%
2019-05-21,-0.7%
2019-06-11,2.5%
2019-07-07,-3.7%
2019-08-13,12.5%
2019-09-11,0.3%
2019-10-09,-14.5%
2019-11-10,5.1%
2019-12-11,-6.1%
2020-01-15,5.3%
2020-02-18,-3.5%
2020-03-15,-0.3%
2020-04-07,-2.4%
2020-05-19,-0.7%
2020-06-09,-17.7%
2020-07-08,-16.3%
2020-08-18,-22.5%
2020-09-09,-16.2%
