Date,Value
2000-02-01,45.30
2000-03-01,48.60
2000-04-01,55.20
2000-05-01,55.20
2000-06-01,50.20
2000-07-01,50.10
2000-08-01,50.40
2000-09-01,48.80
2000-10-01,47.80
2000-11-01,46.50
2000-12-01,45.30
2001-01-01,44.40
2001-02-01,41.50
2001-03-01,39.60
2001-04-01,40.30
2001-05-01,41.10
2001-06-01,42.30
2001-07-01,38.20
2001-08-01,34.80
2001-09-01,31.20
2001-10-01,28.40
2001-11-01,27.20
2001-12-01,29.60
2002-01-01,31.60
2002-02-01,31.90
2002-03-01,33.10
2002-04-01,43.90
2002-05-01,46.70
2002-06-01,46.20
2002-07-01,42.90
2002-08-01,42.40
2002-09-01,43.60
2002-10-01,42.40
2002-11-01,38.10
2002-12-01,36.70
2003-01-01,36.60
2003-02-01,35.50
2003-03-01,38.30
2003-04-01,41.30
2003-05-01,38.70
2003-06-01,38.40
2003-07-01,42.10
2003-08-01,44.90
2003-09-01,46.40
2003-10-01,48.60
2003-11-01,50.80
2003-12-01,48.30
2004-01-01,49.10
2004-02-01,48.60
2004-03-01,50.10
2004-04-01,53.70
2004-05-01,55.70
2004-06-01,52.80
2004-07-01,51.40
2004-08-01,54.30
2004-09-01,50.70
2004-10-01,47.30
2004-11-01,46.40
2004-12-01,45.30
2005-01-01,44.20
2005-02-01,45.00
2005-03-01,45.60
2005-04-01,49.50
2005-05-01,49.80
2005-06-01,50.30
2005-07-01,50.90
2005-08-01,50.40
2005-09-01,50.50
2005-10-01,51.70
2005-11-01,50.70
2005-12-01,52.90
2006-01-01,55.70
2006-02-01,52.10
2006-03-01,53.50
2006-04-01,57.30
2006-05-01,54.60
2006-06-01,51.50
2006-07-01,49.10
2006-08-01,48.40
2006-09-01,50.20
2006-10-01,51.00
2006-11-01,50.80
2006-12-01,48.90
2007-01-01,48.90
2007-02-01,47.20
2007-03-01,49.20
2007-04-01,50.80
2007-05-01,49.70
2007-06-01,46.80
2007-07-01,46.00
2007-08-01,44.70
2007-09-01,44.10
2007-10-01,42.90
2007-11-01,41.50
2007-12-01,38.80
2008-01-01,36.60
2008-02-01,31.80
2008-03-01,33.60
2008-04-08,36.9
2008-05-12,35.5
2008-06-09,32.1
2008-07-08,29.5
2008-08-08,29.3
2008-09-08,28.3
2008-10-08,28.0
2008-11-11,22.6
2008-12-08,21.0
2009-02-09,17.1
2009-03-09,19.4
2009-04-08,28.4
2009-05-13,34.2
2009-06-08,36.7
2009-07-08,42.2
2009-08-10,42.4
2009-09-08,41.7
2009-10-08,43.1
2009-11-10,40.9
2009-12-08,33.9
2010-01-12,35.4
2010-02-08,38.8
2010-03-08,42.1
2010-04-08,47.4
2010-05-13,49.8
2010-06-08,47.7
2010-07-08,47.5
2010-08-09,49.8
2010-09-08,45.1
2010-10-08,41.2
2010-11-09,40.2
2010-12-08,43.6
2011-01-12,45.1
2011-02-08,44.3
2011-03-08,48.4
2011-04-08,27.7
2011-05-12,28.3
2011-06-08,36.0
2011-07-08,49.6
2011-08-08,52.6
2011-09-08,47.3
2011-10-11,45.3
2011-11-09,45.9
2011-12-08,45.0
2012-01-12,47.0
2012-02-08,44.1
2012-03-08,45.9
2012-04-09,51.8
2012-05-10,50.9
2012-06-08,47.2
2012-07-09,43.8
2012-08-08,44.2
2012-09-10,43.6
2012-10-09,41.2
2012-11-08,39.0
2012-12-10,40.0
2013-01-11,45.8
2013-02-08,49.5
2013-03-08,53.2
2013-04-08,57.3
2013-05-10,56.5
2013-06-10,55.7
2013-07-08,53.0
2013-08-08,52.3
2013-09-09,51.2
2013-10-08,52.8
2013-11-11,51.8
2013-12-09,53.5
2014-01-14,55.7
2014-02-10,54.7
2014-03-10,53.0
2014-04-08,57.9
2014-05-12,41.6
2014-06-09,45.1
2014-07-08,47.7
2014-08-08,51.3
2014-09-08,47.4
2014-10-08,47.4
2014-11-11,44.0
2014-12-08,41.5
2015-01-13,45.2
2015-02-09,45.6
2015-03-09,50.1
2015-04-08,52.2
2015-05-13,53.6
2015-06-08,53.3
2015-07-08,51.0
2015-08-10,51.6
2015-09-08,49.3
2015-10-08,47.5
2015-11-10,48.2
2015-12-08,46.1
2016-01-12,48.7
2016-02-08,46.6
2016-03-08,44.6
2016-04-08,45.4
2016-05-12,43.5
2016-06-08,43.0
2016-07-08,41.2
2016-08-08,45.1
2016-09-08,45.6
2016-10-11,44.8
2016-11-09,49.3
2016-12-08,52.5
2017-01-12,51.4
2017-02-08,49.8
2017-03-08,48.6
2017-04-10,47.4
2017-05-11,48.1
2017-06-08,48.6
2017-07-10,50.0
2017-08-08,49.7
2017-09-08,49.7
2017-10-10,51.3
2017-11-09,52.2
2017-12-08,55.1
2018-01-12,53.9
2018-02-08,49.9
2018-03-08,48.6
2018-04-09,48.9
2018-05-10,49.0
2018-06-08,47.1
2018-07-09,48.1
2018-08-08,46.6
2018-09-10,48.7
2018-10-09,48.6
2018-11-08,49.5
2018-12-10,51.0
2019-01-11,48.0
2019-02-08,45.6
2019-03-08,47.5
2019-04-08,44.8
2019-05-14,45.3
2019-06-10,44.1
2019-07-08,44.0
2019-08-08,41.2
2019-08-09,41.2
2019-09-09,42.8
2019-10-08,46.7
2019-11-11,36.7
2019-12-09,39.4
2020-01-14,39.8
2020-02-10,41.9
2020-03-09,27.4
2020-04-08,14.2
2020-05-13,7.9
2020-06-08,15.5
2020-07-08,38.8
2020-08-11,41.1
