Date,Value
1970-01-01,23.50%
1970-02-01,30.00%
1970-03-01,23.70%
1970-04-01,21.60%
1970-05-01,20.90%
1970-06-01,17.40%
1970-07-01,22.50%
1970-08-01,20.80%
1970-09-01,15.70%
1970-10-01,20.10%
1970-11-01,24.80%
1970-12-01,12.80%
1971-01-01,22.80%
1971-02-01,15.00%
1971-03-01,21.50%
1971-04-01,28.60%
1971-05-01,24.00%
1971-06-01,27.20%
1971-07-01,25.00%
1971-08-01,26.20%
1971-09-01,29.50%
1971-10-01,16.70%
1971-11-01,10.50%
1971-12-01,21.10%
1972-01-01,7.30%
1972-02-01,6.50%
1972-03-01,5.90%
1972-04-01,1.80%
1972-05-01,1.60%
1972-06-01,-4.80%
1972-07-01,-7.80%
1972-08-01,-3.10%
1972-09-01,0.40%
1972-10-01,11.70%
1972-11-01,9.00%
1972-12-01,14.40%
1973-01-01,22.50%
1973-02-01,16.90%
1973-03-01,27.20%
1973-04-01,1.60%
1973-05-01,7.80%
1973-06-01,15.10%
1973-07-01,16.60%
1973-08-01,16.40%
1973-09-01,5.90%
1973-10-01,8.40%
1973-11-01,15.20%
1973-12-01,24.00%
1974-01-01,15.10%
1974-02-01,35.30%
1974-03-01,27.30%
1974-04-01,53.70%
1974-05-01,58.50%
1974-06-01,71.50%
1974-07-01,72.40%
1974-08-01,68.90%
1974-09-01,89.20%
1974-10-01,63.00%
1974-11-01,83.60%
1974-12-01,58.80%
1975-01-01,51.70%
1975-02-01,45.60%
1975-03-01,29.50%
1975-04-01,18.20%
1975-05-01,18.40%
1975-06-01,-0.30%
1975-07-01,-4.60%
1975-08-01,-4.40%
1975-09-01,-13.00%
1975-10-01,-5.70%
1975-11-01,-9.60%
1975-12-01,-12.70%
1976-01-01,0.40%
1976-02-01,0.50%
1976-03-01,9.90%
1976-04-01,23.80%
1976-05-01,13.80%
1976-06-01,24.60%
1976-07-01,32.00%
1976-08-01,24.10%
1976-09-01,21.40%
1976-10-01,29.80%
1976-11-01,19.40%
1976-12-01,23.60%
1977-01-01,19.80%
1977-02-01,24.50%
1977-03-01,16.40%
1977-04-01,12.50%
1977-05-01,18.40%
1977-06-01,6.60%
1977-07-01,7.00%
1977-08-01,10.30%
1977-09-01,9.70%
1977-10-01,2.90%
1977-11-01,4.60%
1977-12-01,4.40%
1978-01-01,-3.60%
1978-02-01,-1.60%
1978-03-01,6.20%
1978-04-01,2.90%
1978-05-01,-7.40%
1978-06-01,2.90%
1978-07-01,-1.70%
1978-08-01,-11.70%
1978-09-01,-11.20%
1978-10-01,-6.20%
1978-11-01,-13.30%
1978-12-01,-10.00%
1979-01-01,-7.90%
1979-02-01,-12.60%
1979-03-01,-13.70%
1979-04-01,-7.40%
1979-05-01,-4.30%
1979-06-01,2.50%
1979-07-01,5.50%
1979-08-01,12.90%
1979-09-01,16.70%
1979-10-01,20.90%
1979-11-01,25.80%
1979-12-01,32.00%
1980-01-01,38.50%
1980-02-01,38.90%
1980-03-01,48.90%
1980-04-01,37.90%
1980-05-01,51.40%
1980-06-01,38.90%
1980-07-01,27.70%
1980-08-01,28.90%
1980-09-01,30.00%
1980-10-01,24.20%
1980-11-01,24.70%
1980-12-01,14.60%
1981-01-01,15.90%
1981-02-01,16.20%
1981-03-01,6.90%
1981-04-01,9.30%
1981-05-01,7.50%
1981-06-01,10.20%
1981-07-01,17.30%
1981-08-01,23.60%
1981-09-01,19.20%
1981-10-01,18.60%
1981-11-01,23.70%
1981-12-01,14.60%
1982-01-01,3.10%
1982-02-01,18.60%
1982-03-01,9.80%
1982-04-01,10.10%
1982-05-01,11.30%
1982-06-01,0.10%
1982-07-01,0.20%
1982-08-01,-0.70%
1982-09-01,-3.60%
1982-10-01,-0.60%
1982-11-01,-3.90%
1982-12-01,1.80%
1983-01-01,-1.00%
1983-02-01,-6.50%
1983-03-01,-3.30%
1983-04-01,-4.00%
1983-05-01,-4.00%
1983-06-01,-0.40%
1983-07-01,2.60%
1983-08-01,-1.00%
1983-09-01,5.20%
1983-10-01,4.00%
1983-11-01,2.00%
1983-12-01,6.10%
1984-01-01,14.20%
1984-02-01,11.70%
1984-03-01,18.40%
1984-04-01,15.90%
1984-05-01,11.70%
1984-06-01,18.90%
1984-07-01,16.40%
1984-08-01,16.70%
1984-09-01,14.90%
1984-10-01,13.70%
1984-11-01,21.40%
1984-12-01,17.30%
1985-01-01,9.80%
1985-02-01,17.20%
1985-03-01,7.20%
1985-04-01,6.30%
1985-05-01,16.30%
1985-06-01,11.40%
1985-07-01,5.70%
1985-08-01,6.30%
1985-09-01,1.70%
1985-10-01,-0.70%
1985-11-01,-3.30%
1985-12-01,-4.90%
1986-01-01,-7.40%
1986-02-01,-7.60%
1986-03-01,-12.30%
1986-04-01,-16.00%
1986-05-01,-16.10%
1986-06-01,-17.70%
1986-07-01,-18.20%
1986-08-01,-18.20%
1986-09-01,-20.90%
1986-10-01,-16.60%
1986-11-01,-17.10%
1986-12-01,-16.40%
1987-01-01,-12.10%
1987-02-01,-8.60%
1987-03-01,-9.60%
1987-04-01,-6.70%
1987-05-01,-9.80%
1987-06-01,-12.80%
1987-07-01,-9.20%
1987-08-01,-4.30%
1987-09-01,1.80%
1987-10-01,-1.30%
1987-11-01,1.10%
1987-12-01,-3.40%
1988-01-01,-3.50%
1988-02-01,-7.40%
1988-03-01,-1.20%
1988-04-01,-1.40%
1988-05-01,-1.30%
1988-06-01,-1.10%
1988-07-01,2.90%
1988-08-01,3.30%
1988-09-01,4.50%
1988-10-01,6.90%
1988-11-01,3.70%
1988-12-01,8.50%
1989-01-01,3.60%
1989-02-01,11.40%
1989-03-01,10.50%
1989-04-01,16.10%
1989-05-01,8.60%
1989-06-01,12.90%
1989-07-01,17.60%
1989-08-01,9.20%
1989-09-01,10.30%
1989-10-01,13.50%
1989-11-01,6.20%
1989-12-01,10.90%
1990-01-01,10.80%
1990-02-01,10.80%
1990-03-01,10.90%
1990-04-01,14.30%
1990-05-01,12.30%
1990-06-01,16.20%
1990-07-01,11.60%
1990-08-01,9.20%
1990-09-01,9.10%
1990-10-01,4.40%
1990-11-01,8.70%
1990-12-01,4.80%
1991-01-01,4.80%
1991-02-01,9.40%
1991-03-01,2.50%
1991-04-01,2.20%
1991-05-01,-3.70%
1991-06-01,-0.30%
1991-07-01,-2.40%
1991-08-01,1.90%
1991-09-01,1.70%
1991-10-01,2.10%
1991-11-01,4.90%
1991-12-01,7.00%
1992-01-01,2.70%
1992-02-01,2.40%
1992-03-01,7.90%
1992-04-01,0.20%
1992-05-01,9.40%
1992-06-01,0.00%
1992-07-01,1.70%
1992-08-01,0.40%
1992-09-01,-2.30%
1992-10-01,4.50%
1992-11-01,0.30%
1992-12-01,-5.10%
1993-01-01,0.30%
1993-02-01,-0.30%
1993-03-01,-1.90%
1993-04-01,3.00%
1993-05-01,-2.70%
1993-06-01,-11.30%
1993-07-01,-8.60%
1993-08-01,-5.90%
1993-09-01,-11.70%
1993-10-01,-11.40%
1993-11-01,-11.70%
1993-12-01,-8.60%
1994-01-01,-7.20%
1994-02-01,-3.50%
1994-03-01,-6.80%
1994-04-01,-6.00%
1994-05-01,-2.60%
1994-06-01,-2.90%
1994-07-01,6.90%
1994-08-01,-1.60%
1994-09-01,6.40%
1994-10-01,3.00%
1994-11-01,3.30%
1994-12-01,9.50%
1995-01-01,5.50%
1995-02-01,-6.50%
1995-03-01,8.40%
1995-04-01,4.50%
1995-05-01,0.80%
1995-06-01,2.80%
1995-07-01,-2.90%
1995-08-01,-5.10%
1995-09-01,2.50%
1995-10-01,6.40%
1995-11-01,3.90%
1995-12-01,7.50%
1996-01-01,6.90%
1996-02-01,11.30%
1996-03-01,3.70%
1996-04-01,2.50%
1996-05-01,5.10%
1996-06-01,14.20%
1996-07-01,7.30%
1996-08-01,17.50%
1996-09-01,8.10%
1996-10-01,1.50%
1996-11-01,11.30%
1996-12-01,10.10%
1997-01-01,4.00%
1997-02-01,17.00%
1997-03-01,10.10%
1997-04-01,10.50%
1997-05-01,21.50%
1997-06-01,20.50%
1997-07-01,12.50%
1997-08-01,11.90%
1997-09-01,13.90%
1997-10-01,14.20%
1997-11-01,17.30%
1997-12-01,6.50%
1998-01-01,12.90%
1998-02-01,9.00%
1998-03-01,2.60%
1998-04-01,1.10%
1998-05-01,-1.80%
1998-06-01,-1.50%
1998-07-01,5.50%
1998-08-01,6.50%
1998-09-01,2.00%
1998-10-01,3.90%
1998-11-01,-5.70%
1998-12-01,-12.90%
1999-01-01,-12.20%
1999-02-01,-10.60%
1999-03-01,-12.20%
1999-04-01,-6.20%
1999-05-01,-7.40%
1999-06-01,-11.90%
1999-07-01,-6.00%
1999-08-01,-7.50%
1999-09-01,-6.90%
1999-10-01,-7.10%
1999-11-01,-5.70%
1999-12-01,5.70%
2000-01-01,3.50%
2000-02-01,1.80%
2000-03-01,15.10%
2000-04-01,9.20%
2000-05-01,8.80%
2000-06-01,8.20%
2000-07-01,9.80%
2000-08-01,2.20%
2000-09-01,12.50%
2000-10-01,9.60%
2000-11-01,8.30%
2000-12-01,10.10%
2001-01-01,8.30%
2001-02-01,3.20%
2001-03-01,1.50%
2001-04-01,4.70%
2001-05-01,-1.10%
2001-06-01,-0.90%
2001-07-01,-7.80%
2001-08-01,-6.40%
2001-09-01,-8.90%
2001-10-01,-11.00%
2001-11-01,-9.00%
2001-12-01,-9.20%
2002-01-01,-14.50%
2002-02-01,-1.80%
2002-03-01,-4.20%
2002-04-01,-3.00%
2002-05-01,1.60%
2002-06-01,8.80%
2002-07-01,7.00%
2002-08-01,8.90%
2002-09-01,6.20%
2002-10-01,6.90%
2002-11-01,14.10%
2002-12-01,19.30%
2003-01-01,15.30%
2003-02-01,7.90%
2003-03-01,7.50%
2003-04-01,0.70%
2003-05-01,4.70%
2003-06-01,3.60%
2003-07-01,0.00%
2003-08-01,5.60%
2003-09-01,6.40%
2003-10-01,9.20%
2003-11-01,5.40%
2003-12-01,-2.00%
2004-01-01,8.50%
2004-02-01,11.30%
2004-03-01,10.20%
2004-04-01,13.20%
2004-05-01,10.80%
2004-06-01,10.00%
2004-07-01,19.40%
2004-08-01,14.30%
2004-09-01,10.50%
2004-10-01,12.10%
2004-11-01,11.70%
2004-12-01,13.40%
2005-01-01,8.80%
2005-02-01,3.20%
2005-03-01,1.60%
2005-04-01,6.10%
2005-05-01,7.80%
2005-06-01,1.40%
2005-07-01,3.60%
2005-08-01,4.30%
2005-09-01,9.10%
2005-10-01,8.80%
2005-11-01,8.00%
2005-12-01,14.70%
2006-01-01,17.50%
2006-02-01,13.40%
2006-03-01,20.70%
2006-04-01,18.00%
2006-05-01,11.30%
2006-06-01,18.90%
2006-07-01,14.50%
2006-08-01,14.20%
2006-09-01,17.60%
2006-10-01,15.20%
2006-11-01,11.60%
2006-12-01,12.10%
2007-01-01,9.80%
2007-02-01,19.00%
2007-03-01,9.70%
2007-04-01,10.30%
2007-05-01,8.20%
2007-06-01,15.20%
2007-07-01,16.20%
2007-08-01,11.70%
2007-09-01,14.60%
2007-10-01,6.30%
2007-11-01,13.80%
2007-12-01,9.60%
2008-01-01,6.80%
2008-02-01,7.70%
2008-03-01,8.70%
2008-04-01,2.20%
