Date,Value
1982-07-01,43.60
1982-10-01,41.90
1983-01-01,41.90
1983-04-01,43.30
1983-07-01,44.90
1983-10-01,45.40
1984-01-01,46.60
1984-04-01,47.00
1984-07-01,47.10
1984-10-01,47.60
1985-01-01,48.20
1985-04-01,48.50
1985-07-01,47.80
1985-10-01,48.10
1986-01-01,47.60
1986-04-01,46.80
1986-07-01,45.60
1986-10-01,43.70
1987-01-01,42.30
1987-04-01,41.00
1987-07-01,44.30
1987-10-01,46.90
1988-01-01,48.40
1988-04-01,49.90
1988-07-01,49.80
1988-10-01,49.90
1989-01-01,50.80
1989-04-01,48.70
1989-07-01,47.60
1989-10-01,49.20
1990-01-01,50.70
1990-04-01,50.00
1990-07-01,49.90
1990-10-01,48.60
1991-01-01,49.00
1991-04-01,49.90
1991-07-01,48.70
1991-10-01,48.10
1992-01-01,46.10
1992-04-01,45.20
1992-07-01,43.80
1992-10-01,41.40
1993-01-01,40.10
1993-04-01,39.00
1993-07-01,42.30
1993-10-01,39.50
1994-01-01,36.40
1994-04-01,41.00
1994-07-01,42.80
1994-10-01,45.30
1995-01-01,46.90
1995-04-01,44.80
1995-07-01,41.90
1995-10-01,41.60
1996-01-01,44.00
1996-04-01,45.10
1996-07-01,46.10
1996-10-01,45.20
1997-01-01,43.90
1997-04-01,38.40
1997-07-01,41.90
1997-10-01,42.40
1998-01-01,36.80
1998-04-01,37.30
1998-07-01,35.50
1998-10-01,34.50
1999-01-01,36.60
1999-04-01,39.00
1999-07-01,38.70
1999-10-01,40.10
2000-01-01,41.30
2000-04-01,42.10
2000-07-01,42.90
2000-10-01,43.60
2001-01-01,43.20
2001-04-01,38.80
2001-07-01,39.10
2001-10-01,34.10
2002-01-01,34.10
2002-04-01,36.30
2002-07-01,38.10
2002-10-01,37.20
2003-01-01,36.40
2003-04-01,34.90
2003-07-01,36.00
2003-10-01,39.60
2004-01-01,40.30
2004-04-01,42.80
2004-05-01,45.10
2004-06-01,47.30
2004-07-01,44.30
2004-08-01,48.70
2004-09-01,49.10
2004-10-01,46.20
2004-11-01,48.30
2004-12-01,48.30
2005-01-01,45.00
2005-02-01,47.70
2005-03-01,47.70
2005-04-01,44.70
2005-05-01,47.10
2005-06-01,47.30
2005-07-01,46.10
2005-08-01,48.20
2005-09-01,48.40
2005-10-01,45.60
2005-11-01,48.10
2005-12-01,48.60
2006-01-01,47.40
2006-02-01,50.00
2006-03-01,50.10
2006-04-01,47.70
2006-05-01,49.50
2006-06-01,48.90
2006-07-01,46.60
2006-08-01,48.40
2006-09-01,47.50
2006-10-01,46.00
2006-11-01,48.30
2006-12-01,49.10
2007-01-01,47.00
2007-02-01,49.00
2007-03-01,49.00
2007-04-01,46.70
2007-05-01,47.00
2007-06-01,46.30
2007-07-01,44.30
2007-08-01,44.10
2007-09-01,43.90
2007-10-01,43.50
2007-11-01,42.70
2007-12-01,40.30
2008-01-01,39.20
2008-02-13,37.5
2008-03-12,36.1
2008-04-18,36.7
2008-05-16,35.2
2008-06-13,33.9
2008-07-11,32.6
2008-08-12,31.4
2008-09-16,30.1
2008-10-14,31.4
2008-11-12,29.4
2008-12-12,28.4
2009-01-20,26.2
2009-02-10,26.4
2009-03-13,26.7
2009-04-17,28.9
2009-05-18,32.4
2009-06-12,35.7
2009-07-13,37.6
2009-08-11,39.4
2009-09-11,40.1
2009-10-14,40.5
2009-11-13,40.5
2009-12-11,39.5
2010-01-19,37.6
2010-02-12,39.0
2010-03-15,39.8
2010-04-19,40.9
2010-05-18,42.0
2010-06-10,42.8
2010-07-13,43.5
2010-08-12,43.3
2010-09-09,42.4
2010-10-12,41.2
2010-11-10,40.9
2010-12-10,40.4
2011-01-17,40.1
2011-02-09,41.1
2011-03-14,40.6
2011-04-19,38.6
2011-05-16,33.1
2011-06-09,34.2
2011-07-11,35.3
2011-08-09,37.0
2011-09-09,37.0
2011-10-11,38.6
2011-11-10,38.6
2011-12-12,38.1
2012-01-16,38.9
2012-02-09,40.0
2012-03-12,39.5
2012-04-17,40.3
2012-05-15,40.0
2012-06-11,40.7
2012-07-10,40.4
