Date,Value
2008-03-06,30.0
2008-04-07,50.0
2008-05-09,20.0
2008-06-09,92.8
2008-07-04,92.6
2008-08-06,91.2
2008-09-10,91.6
2008-10-07,89.3
2008-11-06,89.2
2008-12-09,85.0
2009-01-09,81.5
2009-02-06,79.8
2009-03-10,77.1
2009-04-06,75.2
2009-05-12,76.6
2009-06-09,76.5
2009-06-23,76.2
2009-07-06,77.0
2009-07-17,76.9
2009-08-06,79.8
2009-09-09,83.0
2009-09-18,82.5
2009-10-07,83.3
2009-10-20,83.2
2009-11-06,86.4
2009-12-08,89.7
2009-12-17,89.4
2010-01-08,91.2
2010-02-05,94.0
2010-03-09,97.1
2010-04-06,97.9
2010-04-21,98.5
2010-05-12,102.8
2010-06-08,101.7
2010-07-06,98.7
2010-08-06,98.9
2010-09-07,98.2
2010-10-07,99.1
2010-10-20,99.5
2010-11-08,98.9
2010-12-07,97.2
2011-01-11,101.0
2011-02-07,101.4
2011-02-17,101.4
2011-03-07,101.9
2011-04-06,104.2
2011-05-11,99.5
2011-06-07,96.4
2011-07-06,99.8
2011-08-05,103.2
2011-09-07,106.0
2011-10-07,103.8
2011-11-07,91.6
2011-12-07,91.5
2012-01-11,92.9
2012-02-07,94.3
2012-03-07,94.9
2012-04-06,96.6
2012-05-09,96.6
2012-06-07,95.1
2012-07-06,95.9
2012-08-06,92.6
2012-09-07,91.8
2012-10-05,93.6
2012-11-06,91.7
2012-12-07,92.5
2013-01-10,91.9
2013-02-07,93.4
2013-03-07,96.3
2013-04-05,97.5
2013-05-09,97.6
2013-06-07,99.3
2013-07-05,110.5
2013-08-06,107.0
2013-09-06,107.8
2013-10-07,106.5
2013-11-07,109.5
2013-12-06,109.9
2014-01-10,110.8
2014-02-07,112.1
2014-03-07,112.2
2014-04-07,108.5
2014-04-22,108.9
2014-05-09,106.5
2014-06-06,106.6
2014-07-07,105.7
2014-08-06,105.5
2014-09-05,106.5
2014-09-19,105.4
2014-10-07,104.0
2014-10-20,104.4
2014-11-06,105.6
2014-11-19,105.6
2014-12-05,104.0
2015-01-09,103.8
2015-02-06,105.2
2015-02-19,105.6
2015-03-06,105.1
2015-03-17,105.5
2015-04-06,105.3
2015-04-21,104.8
2015-05-12,105.5
2015-05-20,106.0
2015-06-05,107.2
2015-06-19,106.4
2015-07-06,106.2
2015-07-21,106.2
2015-08-06,107.2
2015-08-24,106.5
2015-09-07,104.9
2015-09-28,105.0
2015-10-07,103.5
2015-10-23,103.5
2015-11-06,101.4
2015-11-25,101.6
2015-12-07,102.9
2016-01-08,103.9
2016-01-25,103.5
2016-02-05,102.0
2016-02-24,102.1
2016-03-07,101.4
2016-03-25,101.8
2016-04-06,99.8
2016-04-25,96.8
2016-05-11,98.4
2016-05-23,99.3
2016-06-07,100.5
2016-06-23,100.0
2016-07-07,100.0
2016-07-25,99.7
2016-08-05,98.4
2016-08-24,99.2
2016-09-07,100.0
2016-09-26,100.0
2016-10-07,101.2
2016-11-08,100.5
2016-11-24,103.0
2016-12-07,101.0
2016-12-26,100.8
2017-01-11,102.7
2017-01-23,102.8
2017-02-07,105.2
2017-02-23,104.8
2017-03-08,105.5
2017-03-24,104.9
2017-04-07,104.4
2017-04-24,104.8
2017-05-10,105.5
2017-05-24,105.5
2017-06-07,104.5
2017-06-26,104.2
2017-07-07,104.7
2017-07-24,104.6
2017-08-07,106.3
2017-08-24,105.9
2017-09-07,105.0
2017-09-25,105.2
2017-10-06,106.8
2017-10-23,107.2
2017-11-08,106.6
2017-11-24,106.4
2017-12-07,106.1
2017-12-25,106.5
2018-01-11,108.6
2018-01-24,108.3
2018-02-07,107.9
2018-02-26,107.4
2018-03-07,104.8
2018-03-20,105.6
2018-04-06,105.8
2018-04-24,106.0
2018-05-09,105.0
2018-05-24,105.6
2018-06-07,105.6
2018-06-25,106.2
2018-07-06,106.9
2018-07-24,106.9
2018-08-07,105.2
2018-08-23,104.7
2018-09-07,103.5
2018-09-25,103.9
2018-10-05,104.4
2018-10-24,104.5
2018-11-07,103.9
2018-11-26,104.3
2018-12-07,100.5
2018-12-25,99.6
2019-01-10,99.3
2019-01-24,99.1
2019-02-07,97.9
2019-02-25,97.5
2019-03-07,95.9
2019-03-20,95.9
2019-04-05,97.4
2019-04-24,97.1
2019-05-13,96.3
2019-05-27,95.9
2019-06-07,95.5
2019-06-24,95.9
2019-07-05,95.2
2019-07-24,94.9
2019-08-06,93.3
2019-08-26,93.3
2019-09-06,93.6
2019-09-24,93.7
2019-10-07,91.7
2019-10-24,91.9
2019-11-08,92.2
2019-11-25,91.9
2019-12-06,91.8
2019-12-23,91.6
2020-01-10,90.9
2020-01-23,90.8
2020-02-07,91.6
2020-02-25,91.6
2020-03-06,90.3
2020-03-24,90.5
2020-04-07,92.1
2020-04-23,91.7
2020-05-12,83.8
2020-05-25,84.7
2020-06-05,76.2
2020-06-24,77.7
2020-07-07,79.3
2020-07-27,78.4
2020-08-07,85.0
2020-08-26,84.4
