Date,Value
2008-03-06,-0.7%
2008-04-09,2.9%
2008-05-12,0.3%
2008-06-10,1.4%
2008-07-09,-2.7%
2008-08-11,-8.9%
2008-09-09,-14.2%
2008-11-10,-40.4%
2008-12-09,-62.2%
2009-01-14,-71.9%
2009-02-09,-84.4%
2009-03-10,-83.9%
2009-04-09,-84.5%
2009-05-12,-80.4%
2009-05-19,-80.4%
2009-06-09,-79.3%
2009-07-09,-73.1%
2009-08-10,-72.2%
2009-09-09,-71.3%
2009-09-15,-71.5%
2009-10-08,-61.9%
2009-11-10,-42.6%
2009-11-18,-42.5%
2009-12-09,-8.6%
2010-01-13,62.8%
2010-02-09,192.0%
2010-02-17,189.4%
2010-03-09,217.3%
2010-04-08,262.1%
2010-05-13,220.5%
2010-05-18,220.9%
2010-06-09,191.8%
2010-06-16,192.5%
2010-07-08,138.8%
2010-08-10,144.8%
2010-09-09,170.0%
2010-10-07,112.9%
2010-11-09,70.9%
2010-12-09,104.2%
2011-01-13,63.5%
2011-02-09,89.4%
2011-03-10,73.7%
2011-04-12,49.5%
2011-05-12,32.3%
2011-06-09,34.2%
2011-07-11,53.3%
2011-08-09,34.6%
2011-09-08,15.3%
2011-10-12,20.3%
2011-11-10,25.9%
2011-12-12,15.9%
2012-01-12,17.4%
2012-02-09,-6.6%
2012-03-08,-8.6%
2012-04-10,2.4%
2012-05-14,0.5%
2012-06-11,-2.9%
2012-07-11,-15.5%
2012-08-09,-6.8%
2012-09-11,-2.6%
2012-10-10,-3.0%
2012-11-12,-6.7%
2012-12-10,-20.7%
2013-01-15,-27.5%
2013-02-12,-26.1%
2013-03-11,-21.5%
2013-04-09,-21.6%
2013-05-14,-24.1%
2013-06-11,-7.4%
2013-07-09,-12.4%
2013-08-12,-12.1%
2013-09-10,-1.8%
2013-10-09,-6.3%
2013-11-12,8.4%
2013-12-10,15.4%
2014-01-15,28.0%
2014-02-12,39.6%
2014-03-11,26.0%
2014-04-10,41.8%
2014-05-14,48.8%
2014-06-10,24.1%
2014-07-09,34.2%
2014-08-11,37.7%
2014-09-09,35.6%
2014-10-09,34.8%
2014-11-11,31.2%
2014-12-09,36.6%
2015-01-14,33.8%
2015-02-12,20.4%
2015-03-10,28.9%
2015-04-09,14.6%
2015-05-14,10.4%
2015-06-09,15.0%
2015-07-09,6.6%
2015-08-11,1.6%
2015-09-09,-16.5%
2015-10-13,-19.1%
2015-11-11,-23.1%
2015-12-09,-17.9%
2016-01-14,-25.8%
2016-02-09,-17.2%
2016-03-09,-22.6%
2016-04-12,-21.2%
2016-05-16,-26.4%
2016-06-09,-25.0%
2016-07-11,-19.9%
2016-08-09,-19.6%
2016-09-12,-8.4%
2016-10-12,-6.3%
2016-11-10,-8.9%
2016-12-12,-5.6%
2017-01-16,4.4%
2017-02-09,3.5%
2017-03-09,9.1%
2017-04-11,22.6%
2017-05-15,34.7%
2017-06-12,24.4%
2017-07-11,31.1%
2017-08-09,26.3%
2017-09-11,36.3%
2017-10-11,45.3%
2017-11-13,49.9%
2017-12-11,46.9%
2017-12-19,46.9%
2018-01-15,48.3%
2018-02-13,48.8%
2018-03-12,39.5%
2018-04-10,28.1%
2018-05-14,22.0%
2018-06-11,14.9%
2018-07-10,11.4%
2018-08-09,13.0%
2018-09-11,5.3%
2018-10-10,2.8%
2018-11-12,-1.1%
2018-12-11,-16.8%
2019-01-15,-18.3%
2019-02-12,-18.8%
2019-03-11,-29.3%
2019-04-10,-28.5%
2019-05-15,-33.4%
2019-06-11,-27.3%
2019-07-09,-38.0%
2019-08-13,-33.0%
2019-08-22,-33.0%
2019-09-10,-37.1%
2019-10-09,-35.5%
2019-11-12,-37.4%
2019-12-10,-37.9%
2020-01-15,-33.6%
2020-02-12,-35.6%
2020-03-10,-30.1%
2020-04-09,-40.8%
2020-05-14,-48.3%
2020-06-09,-52.8%
2020-07-09,-32.0%
2020-08-12,-31.1%
