Date,Value
2008-02-28,50.8
2008-03-30,49.5
2008-04-29,48.6
2008-05-29,47.7
2008-06-29,46.5
2008-07-30,47.0
2008-08-28,46.9
2008-09-29,44.3
2008-10-30,42.2
2008-11-27,36.7
2008-12-25,30.8
2009-01-29,29.6
2009-02-26,31.6
2009-03-30,33.8
2009-04-29,41.4
2009-05-28,46.6
2009-06-29,48.2
2009-07-30,50.4
2009-08-30,53.6
2009-09-29,54.5
2009-10-29,54.3
2009-11-29,52.3
2009-12-29,53.8
2010-01-28,52.5
2010-02-25,52.5
2010-03-30,52.4
2010-04-29,53.5
2010-05-30,54.7
2010-06-29,53.9
2010-07-29,52.8
2010-08-30,50.1
2010-09-29,49.5
2010-10-28,47.2
2010-11-29,47.3
2010-12-29,48.3
2011-01-30,51.4
2011-02-27,52.9
2011-03-30,46.4
2011-04-27,45.7
2011-05-30,51.3
2011-06-29,50.7
2011-07-28,52.1
2011-08-30,51.9
2011-09-29,49.3
2011-10-30,50.6
2011-11-29,49.1
2011-12-29,50.2
2012-01-30,50.7
2012-02-28,50.5
2012-03-29,51.1
2012-04-26,50.7
2012-05-29,50.7
2012-06-28,49.9
2012-07-30,47.9
2012-08-30,47.7
2012-09-27,48.0
2012-10-30,46.9
2012-11-29,46.5
2012-12-27,45.0
2013-01-30,47.7
2013-02-27,48.5
2013-03-28,50.4
2013-04-29,51.1
2013-05-30,51.5
2013-06-27,52.3
2013-07-30,50.7
2013-08-29,52.2
2013-09-29,52.5
2013-10-30,54.2
2013-11-28,55.1
2013-12-26,55.2
2014-01-30,56.6
2014-02-27,55.5
2014-03-30,53.9
2014-04-29,49.4
2014-05-21,49.9
2014-06-01,49.9
2014-06-22,51.1
2014-06-30,51.5
2014-07-23,50.8
2014-07-31,50.5
2014-08-20,52.4
2014-08-31,52.2
2014-09-23,51.7
2014-09-30,51.7
2014-10-22,52.8
2014-11-03,52.4
2014-11-19,52.1
2014-11-30,52.0
2014-12-15,52.1
2015-01-04,52.0
2015-01-22,52.1
2015-02-01,52.2
2015-02-19,51.5
2015-03-01,51.6
2015-03-23,50.4
2015-03-31,50.3
2015-04-22,49.7
2015-04-30,49.9
2015-05-20,50.9
2015-05-31,50.9
2015-06-22,49.9
2015-06-30,50.1
2015-07-23,51.4
2015-08-02,51.2
2015-08-20,51.9
2015-08-31,51.7
2015-09-23,50.9
2015-09-30,51.0
2015-10-22,52.5
2015-11-01,52.4
2015-11-23,52.8
2015-11-30,52.6
2015-12-15,52.5
2016-01-03,52.6
2016-01-21,52.4
2016-01-31,52.3
2016-02-21,50.2
2016-02-29,50.1
2016-03-21,49.1
2016-03-31,49.1
2016-04-21,48.0
2016-05-01,48.2
2016-05-22,47.6
2016-05-31,47.7
2016-06-22,47.8
2016-06-30,48.1
2016-07-21,49.0
2016-07-31,49.3
2016-08-22,49.6
2016-08-31,49.5
2016-09-22,50.3
2016-10-02,50.4
2016-10-23,51.7
2016-10-31,51.4
2016-11-23,51.1
2016-11-30,51.3
2016-12-14,51.9
2017-01-03,52.4
2017-01-23,52.8
2017-01-31,52.7
2017-02-20,53.5
2017-02-28,53.3
2017-03-23,52.6
2017-04-02,52.4
2017-04-20,52.8
2017-04-30,52.7
2017-05-22,52.0
2017-05-31,53.1
2017-06-22,52.0
2017-07-02,52.4
2017-07-23,52.2
2017-07-31,52.1
2017-08-22,52.8
2017-08-31,52.2
2017-09-24,52.6
2017-10-01,52.9
2017-10-23,52.5
2017-10-31,52.8
2017-11-23,53.8
2017-11-30,53.6
2017-12-13,54.2
2018-01-03,54.0
2018-01-23,54.4
2018-01-31,54.8
2018-02-20,54.0
2018-02-28,54.1
2018-03-21,53.2
2018-04-01,53.1
2018-04-22,53.3
2018-04-30,53.8
2018-05-22,52.5
2018-05-31,52.8
2018-06-21,53.1
2018-07-01,53.0
2018-07-23,51.6
2018-07-31,52.3
2018-08-22,52.5
2018-09-02,52.5
2018-09-20,52.9
2018-09-30,52.5
2018-10-23,53.1
2018-10-31,52.9
2018-11-25,51.8
2018-12-02,52.2
2018-12-13,52.4
2019-01-03,52.6
2019-01-23,50.0
2019-01-31,50.3
2019-02-20,48.5
2019-02-28,48.9
2019-03-21,48.9
2019-03-31,49.2
2019-04-17,49.5
2019-05-06,50.2
2019-05-22,49.6
2019-06-02,49.8
2019-06-20,49.5
2019-06-30,49.3
2019-07-23,49.6
2019-07-31,49.4
2019-08-21,49.5
2019-09-01,49.3
2019-09-23,48.9
2019-09-30,48.9
2019-10-23,48.5
2019-10-31,48.4
2019-11-21,48.6
2019-12-01,48.9
2019-12-15,48.8
2020-01-05,48.4
2020-01-23,49.3
2020-02-02,48.8
2020-02-20,47.6
2020-03-01,47.8
2020-03-23,44.8
2020-03-31,44.8
2020-04-22,43.7
2020-04-30,41.9
2020-05-20,38.4
2020-05-31,38.4
2020-06-22,37.8
2020-06-30,40.1
2020-07-21,42.6
2020-08-02,45.2
2020-08-20,46.6
2020-08-31,47.2
