Date,Value
1997-04-01,-4.50
1997-05-01,-3.40
1997-06-01,-1.10
1997-07-01,0.10
1997-08-01,-4.80
1997-09-01,-2.80
1997-10-01,0.10
1997-11-01,3.40
1997-12-01,0.20
1998-01-01,-3.30
1998-02-01,6.30
1998-03-01,4.00
1998-04-01,-7.80
1998-05-01,9.20
1998-06-01,-3.60
1998-07-01,-11.20
1998-08-01,-1.40
1998-09-01,-2.70
1998-10-01,-2.00
1998-11-01,3.10
1998-12-01,3.10
1999-01-01,3.40
1999-02-01,8.50
1999-03-01,5.70
1999-04-01,8.90
1999-05-01,9.80
1999-06-01,11.40
1999-07-01,8.00
1999-08-01,9.80
1999-09-01,8.40
1999-10-01,9.00
1999-11-01,9.00
1999-12-01,11.70
2000-01-01,14.90
2000-02-01,10.50
2000-03-01,9.10
2000-04-01,9.60
2000-05-01,7.40
2000-06-01,3.00
2000-07-01,13.40
2000-08-01,0.30
2000-09-01,1.00
2000-10-01,-6.70
2000-11-01,-12.40
2000-12-01,-10.60
2001-01-01,-11.70
2001-02-01,-11.10
2001-03-01,-12.10
2001-04-01,-11.00
2001-05-01,-13.70
2001-06-01,-10.20
2001-07-01,-1.20
2001-08-01,-1.40
2001-09-01,-2.60
2001-10-01,-0.20
2001-11-01,-7.50
2001-12-01,-2.70
2002-01-01,1.50
2002-02-01,1.70
2002-03-01,7.50
2002-04-01,6.90
2002-05-01,11.00
2002-06-01,12.20
2002-07-01,8.70
2002-08-01,9.80
2002-09-01,10.10
2002-10-01,13.40
2002-11-01,10.80
2002-12-01,9.80
2003-01-01,7.30
2003-02-01,9.20
2003-03-01,7.90
2003-04-01,7.50
2003-05-01,8.40
2003-06-01,10.40
2003-07-01,9.00
2003-08-01,13.10
2003-09-01,15.30
2003-10-01,13.90
2003-11-01,14.50
2003-12-01,17.50
2004-01-01,15.20
2004-02-01,10.50
2004-03-01,14.30
2004-04-01,16.40
2004-05-01,16.80
2004-06-01,15.50
2004-07-01,16.80
2004-08-01,14.70
2004-09-01,12.50
2004-10-01,12.50
2004-11-01,15.00
2004-12-01,13.80
2005-01-01,13.40
2005-02-01,12.10
2005-03-01,13.60
2005-04-01,8.10
2005-05-01,7.80
2005-06-01,13.20
2005-07-01,9.90
2005-08-01,7.90
2005-09-01,10.00
2005-10-01,10.60
2005-11-01,4.70
2005-12-01,10.20
2006-01-01,11.00
2006-02-01,8.90
2006-03-01,9.50
2006-04-01,19.90
2006-05-01,13.10
2006-06-01,10.90
2006-07-01,14.40
2006-08-01,12.30
2006-09-01,10.20
2006-10-01,14.10
2006-11-01,14.70
2006-12-01,14.70
2007-01-01,9.40
2007-02-01,17.40
