Date,Value
1988-04-01,-66.70%
1988-05-01,-69.00%
1988-06-01,-44.20%
1988-07-01,-22.40%
1988-08-01,-14.30%
1988-09-01,-38.10%
1988-10-01,-33.70%
1988-11-01,22.80%
1988-12-01,51.80%
1989-01-01,39.40%
1989-03-01,30.40%
1989-04-01,12.50%
1989-05-01,15.70%
1989-06-01,25.80%
1989-07-01,37.90%
1989-08-01,40.40%
1989-09-01,52.90%
1989-10-01,66.80%
1989-11-01,52.80%
1989-12-01,39.20%
1990-01-01,17.60%
1990-03-01,19.20%
1990-04-01,10.00%
1990-05-01,-5.90%
1990-06-01,-14.80%
1990-07-01,4.90%
1990-08-01,15.10%
1990-09-01,5.00%
1990-10-01,-14.20%
1990-11-01,-40.40%
1990-12-01,-5.60%
1991-01-01,-6.60%
1991-03-01,-24.20%
1991-04-01,-24.60%
1991-05-01,-40.50%
1991-06-01,7.10%
1991-07-01,27.80%
1991-08-01,28.90%
1991-09-01,26.70%
1991-10-01,3.50%
1991-11-01,17.10%
1991-12-01,31.70%
1992-01-01,32.50%
1992-03-01,52.10%
1992-04-01,65.50%
1992-05-01,62.70%
1992-06-01,53.60%
1992-07-01,57.00%
1992-08-01,60.60%
1992-09-01,65.20%
1992-10-01,58.60%
1992-11-01,55.40%
1992-12-01,51.80%
1993-01-01,57.60%
1993-03-01,74.70%
1993-04-01,70.60%
1993-05-01,60.80%
1993-06-01,55.40%
1993-07-01,60.60%
1993-08-01,68.80%
1993-09-01,76.50%
1993-10-01,75.10%
1993-11-01,69.00%
1993-12-01,59.40%
1994-01-01,45.20%
1994-03-01,80.90%
1994-04-01,75.80%
1994-05-01,62.80%
1994-06-01,59.10%
1994-07-01,67.70%
1994-08-01,61.20%
1994-09-01,58.80%
1994-10-01,51.50%
1994-11-01,54.90%
1994-12-01,49.80%
1995-01-01,40.00%
1995-03-01,22.90%
1995-04-01,20.00%
1995-05-01,23.00%
1995-06-01,14.40%
1995-07-01,20.80%
1995-08-01,17.40%
1995-09-01,17.90%
1995-10-01,13.80%
1995-11-01,11.00%
1995-12-01,26.10%
1996-01-01,36.10%
1996-03-01,27.30%
1996-04-01,23.70%
1996-05-01,7.40%
1996-06-01,-10.00%
1996-07-01,-25.10%
1996-08-01,-15.70%
1996-09-01,6.10%
1996-10-01,21.40%
1996-11-01,12.40%
1996-12-01,20.20%
1997-01-01,7.00%
1997-03-01,11.80%
1997-04-01,5.60%
1997-05-01,-5.90%
1997-06-01,-7.70%
1997-07-01,-15.10%
1997-08-01,-3.00%
1997-09-01,8.50%
1997-10-01,27.80%
1997-11-01,34.70%
1997-12-01,25.60%
1998-01-01,5.80%
1998-03-01,-23.60%
1998-04-01,-23.40%
1998-05-01,-23.70%
1998-06-01,-9.10%
1998-07-01,11.50%
1998-08-01,14.90%
1998-09-01,39.80%
1998-10-01,14.30%
1998-11-01,9.40%
1998-12-01,27.00%
1999-01-01,44.10%
1999-03-01,67.90%
1999-04-01,59.00%
1999-05-01,52.90%
1999-06-01,46.20%
1999-07-01,28.60%
1999-08-01,24.40%
1999-09-01,19.60%
1999-10-01,17.40%
1999-11-01,16.80%
1999-12-01,24.70%
2000-01-01,21.00%
2000-03-01,21.00%
2000-04-01,26.50%
2000-05-01,14.80%
2000-06-01,-20.80%
2000-07-01,-55.50%
2000-08-01,-35.70%
2000-09-01,-14.30%
2000-10-01,-20.10%
2000-11-01,-30.90%
2000-12-01,-13.10%
2001-01-01,19.40%
2001-03-01,31.10%
2001-04-01,30.20%
2001-05-01,16.60%
2001-06-01,3.80%
2001-07-01,3.30%
2001-08-01,16.90%
2001-09-01,22.90%
2001-10-01,13.30%
2001-11-01,-18.80%
2001-12-01,-17.50%
2002-01-01,-1.70%
2002-03-01,15.60%
2002-04-01,19.60%
2002-05-01,14.20%
2002-06-01,6.70%
2002-07-01,-7.10%
2002-08-01,-21.90%
2002-09-01,-30.90%
2002-10-01,-20.70%
2002-11-01,-11.60%
2002-12-01,-0.10%
2003-01-01,-8.00%
2003-03-01,-16.20%
2003-04-01,-32.50%
2003-05-01,-41.80%
2003-06-01,-44.40%
2003-07-01,-33.60%
2003-08-01,-18.80%
2003-09-01,-9.60%
2003-10-01,-3.40%
