Date,Value
2008-03-03,0.9%
2008-04-02,2.0%
2008-05-04,-0.3%
2008-06-04,1.0%
2008-07-02,0.0%
2008-08-03,1.8%
2008-09-02,-3.3%
2008-11-03,-7.4%
2008-12-02,-7.2%
2009-01-06,-7.4%
2009-02-03,-4.3%
2009-03-03,-4.6%
2009-04-01,1.0%
2009-05-04,2.5%
2009-06-03,2.7%
2009-07-01,0.2%
2009-08-03,1.0%
2009-09-02,4.3%
2009-10-04,6.8%
2009-11-02,4.6%
2009-12-02,10.5%
2010-01-12,2.6%
2010-01-31,0.4%
2010-02-28,3.8%
2010-04-05,1.8%
2010-05-02,4.9%
2010-06-01,2.5%
2010-06-30,-1.2%
2010-08-01,-0.8%
2010-08-31,-1.4%
2010-10-03,2.9%
2010-10-31,3.5%
2010-11-30,4.5%
2011-01-12,2.0%
2011-01-31,3.8%
2011-02-28,2.7%
2011-04-03,4.7%
2011-05-01,1.6%
2011-05-31,0.3%
2011-07-03,-1.2%
2011-07-31,-0.1%
2011-08-31,-1.2%
2011-10-02,-1.3%
2011-10-31,-3.5%
2011-11-30,-1.0%
2012-01-11,-0.8%
2012-02-01,1.2%
2012-03-01,0.0%
2012-04-03,-1.7%
2012-05-01,-4.5%
2012-05-31,-4.2%
2012-07-02,-2.4%
2012-08-01,-0.5%
2012-09-03,0.5%
2012-10-01,3.5%
2012-11-01,1.3%
2012-12-03,1.0%
2013-01-09,1.0%
2013-02-03,0.3%
2013-03-03,1.0%
2013-04-01,7.4%
2013-05-01,12.6%
2013-06-04,-1.6%
2013-07-01,-3.7%
2013-08-04,0.6%
2013-09-02,0.7%
2013-10-01,0.9%
2013-11-03,1.3%
2013-12-02,-0.4%
2014-01-08,1.0%
2014-02-03,1.2%
2014-03-03,0.9%
2014-04-01,-0.1%
2014-05-01,-4.0%
2014-06-03,-2.2%
2014-07-01,-0.9%
2014-08-03,-2.4%
2014-09-01,-3.3%
2014-10-01,-1.3%
2014-11-03,-0.8%
2014-12-01,-1.6%
2015-01-06,-4.4%
2015-02-02,-0.9%
2015-03-02,1.8%
2015-04-01,4.6%
2015-05-03,-7.4%
2015-06-02,-4.7%
2015-07-01,-3.1%
2015-08-03,-11.2%
2015-09-01,-5.2%
2015-10-01,5.5%
2015-11-02,6.9%
2015-12-03,-5.6%
2016-01-11,-1.8%
2016-02-01,-2.3%
2016-03-02,0.4%
2016-04-04,-1.3%
2016-05-03,-0.8%
2016-06-02,1.0%
2016-07-04,3.7%
2016-08-02,2.0%
2016-09-04,3.2%
2016-10-04,5.1%
2016-11-02,0.7%
2016-12-04,2.7%
2017-01-11,0.7%
2017-02-02,-0.1%
2017-03-02,2.0%
2017-04-04,0.4%
2017-05-03,-0.2%
2017-06-05,3.2%
2017-07-04,2.1%
2017-08-02,-0.8%
2017-09-04,-0.8%
2017-10-03,0.8%
2017-11-05,-0.3%
2017-12-04,-0.9%
2018-01-16,-2.2%
2018-02-04,0.7%
2018-03-04,2.8%
2018-04-04,1.2%
2018-05-02,1.0%
2018-06-05,1.5%
2018-07-03,-1.0%
2018-08-05,-3.2%
2018-09-04,-1.1%
2018-10-02,-1.8%
2018-11-04,-2.4%
2018-12-04,-0.6%
2019-01-08,-0.2%
2019-02-04,2.1%
2019-03-04,2.8%
2019-04-02,1.4%
2019-05-05,2.5%
2019-06-05,0.0%
2019-07-02,-3.9%
2019-08-04,-1.4%
2019-09-03,0.3%
2019-10-02,0.0%
2019-11-04,1.2%
2019-12-03,4.3%
2020-01-08,-2.8%
2020-02-04,-0.9%
2020-03-03,-2.1%
2020-04-05,-2.1%
2020-05-04,-1.1%
2020-06-03,-0.1%
2020-07-05,-0.7%
2020-08-04,2.3%
2020-09-02,-0.9%
