Date,Value
1995-03-01,5.30%
1995-04-01,-7.60%
1995-05-01,-8.20%
1995-06-01,-0.30%
1995-07-01,6.70%
1995-08-01,-8.70%
1995-09-01,6.80%
1995-10-01,-3.50%
1995-11-01,25.20%
1995-12-01,-16.70%
1996-01-01,2.10%
1996-02-01,0.90%
1996-03-01,6.70%
1996-04-01,9.10%
1996-05-01,-5.20%
1996-06-01,9.00%
1996-07-01,-11.90%
1996-08-01,-6.10%
1996-09-01,1.60%
1996-10-01,-4.30%
1996-11-01,9.80%
1996-12-01,0.20%
1997-01-01,-1.50%
1997-02-01,4.80%
1997-03-01,-3.50%
1997-04-01,-7.70%
1997-05-01,18.50%
1997-06-01,-4.80%
1997-07-01,12.20%
1997-08-01,2.60%
1997-09-01,-4.20%
1997-10-01,11.20%
1997-11-01,-10.10%
1997-12-01,0.90%
1998-01-01,-1.60%
1998-02-01,-9.10%
1998-03-01,14.80%
1998-04-01,-17.10%
1998-05-01,-5.70%
1998-06-01,-9.50%
1998-07-01,-1.70%
1998-08-01,-1.20%
1998-09-01,-0.30%
1998-10-01,-3.30%
1998-11-01,2.40%
1998-12-01,30.80%
1999-01-01,-8.70%
1999-02-01,8.60%
1999-03-01,0.30%
1999-04-01,6.10%
1999-05-01,7.20%
1999-06-01,2.00%
1999-07-01,-4.80%
1999-08-01,9.30%
1999-09-01,-0.50%
1999-10-01,1.50%
1999-11-01,-7.30%
1999-12-01,-13.70%
2000-01-01,6.40%
2000-02-01,-4.50%
2000-03-01,-11.20%
2000-04-01,5.50%
2000-05-01,-14.20%
2000-06-01,17.10%
2000-07-01,-10.10%
2000-08-01,4.30%
2000-09-01,-7.50%
2000-10-01,-0.50%
2000-11-01,-0.80%
2000-12-01,-0.90%
2001-01-01,-7.80%
2001-02-01,6.80%
2001-03-01,4.20%
2001-04-01,0.60%
2001-05-01,3.80%
2001-06-01,-0.10%
2001-07-01,4.10%
2001-08-01,-9.70%
2001-09-01,19.30%
2001-10-01,-9.40%
2001-11-01,7.20%
2001-12-01,3.80%
2002-01-01,-11.40%
2002-02-01,3.30%
2002-03-01,15.30%
2002-04-01,-4.60%
2002-05-01,16.80%
2002-06-01,-6.50%
2002-07-01,1.30%
2002-08-01,18.10%
2002-09-01,-18.30%
2002-10-01,14.50%
2002-11-01,41.80%
2002-12-01,-33.60%
2003-01-01,20.00%
2003-02-01,-14.10%
2003-03-01,-11.40%
2003-04-01,23.10%
2003-05-01,-3.60%
2003-06-01,0.90%
2003-07-01,4.40%
2003-08-01,-1.20%
2003-09-01,11.20%
2003-10-01,-1.00%
2003-11-01,-12.30%
2003-12-01,24.30%
2004-01-01,-14.60%
2004-02-01,21.50%
2004-03-01,-10.20%
2004-04-01,-2.90%
2004-05-01,3.70%
2004-06-01,-5.80%
2004-07-01,31.00%
2004-08-01,-32.90%
2004-09-01,-4.90%
2004-10-01,-1.00%
2004-11-01,24.50%
2004-12-01,-14.20%
2005-01-01,1.80%
2005-02-01,-4.10%
2005-03-01,-0.40%
2005-04-01,23.00%
2005-05-01,-31.90%
2005-06-01,2.30%
2005-07-01,12.60%
2005-08-01,-5.10%
2005-09-01,1.10%
2005-10-01,-0.40%
2005-11-01,-5.30%
2005-12-01,4.80%
2006-01-01,19.80%
2006-02-01,-12.90%
2006-03-01,7.80%
2006-04-01,-9.30%
2006-05-01,-5.00%
2006-06-01,8.10%
2006-07-01,-8.70%
2006-08-01,13.50%
2006-09-01,-0.40%
2006-10-01,6.60%
2006-11-01,-2.10%
2006-12-01,-11.60%
2007-01-01,-2.70%
2007-02-01,4.10%
2007-03-01,1.90%
2007-04-01,2.60%
2007-05-01,-3.10%
2007-06-01,3.40%
2007-07-01,22.10%
2007-08-01,-20.80%
2007-09-01,7.90%
2007-10-01,-12.20%
2007-11-01,-2.30%
2007-12-01,-0.50%
2008-01-01,-2.80%
2008-02-26,3.3%
2008-03-30,-6.5%
2008-04-29,-9.1%
2008-05-29,82.1%
2008-06-29,-42.3%
2008-07-28,-20.1%
2008-08-28,4.7%
2008-09-29,-7.9%
2008-10-29,8.4%
2008-11-27,-21.9%
2009-01-13,4.3%
2009-01-29,-6.0%
2009-02-26,-13.1%
2009-03-29,11.6%
2009-04-29,-4.6%
2009-05-28,11.2%
2009-06-28,3.5%
2009-07-28,-9.5%
2009-08-27,5.0%
2009-09-28,1.7%
2009-10-29,3.3%
2009-11-29,11.7%
2010-01-13,1.2%
2010-01-28,-2.4%
2010-02-25,-2.8%
2010-03-29,5.9%
