Date,Value
1993-02-01,4.10%
1993-03-01,3.20%
1993-04-01,1.60%
1993-05-01,4.50%
1993-06-01,4.00%
1993-07-01,3.60%
1993-08-01,3.70%
1993-09-01,4.50%
1993-10-01,4.70%
1993-11-01,4.50%
1993-12-01,6.90%
1994-01-01,4.80%
1994-02-01,8.20%
1994-03-01,9.90%
1994-04-01,9.40%
1994-05-01,12.00%
1994-06-01,12.60%
1994-07-01,16.10%
1994-08-01,14.10%
1994-09-01,15.00%
1994-10-01,14.30%
1994-11-01,15.40%
1994-12-01,15.00%
1995-01-01,14.40%
1995-02-01,10.10%
1995-03-01,11.80%
1995-04-01,10.60%
1995-05-01,9.30%
1995-06-01,7.60%
1995-07-01,7.70%
1995-08-01,6.00%
1995-09-01,6.20%
1995-10-01,7.60%
1995-11-01,7.20%
1995-12-01,8.00%
1996-01-01,9.30%
1996-02-01,11.20%
1996-03-01,11.60%
1996-04-01,15.40%
1996-05-01,12.80%
1996-06-01,14.10%
1996-07-01,10.00%
1996-08-01,13.60%
1996-09-01,9.50%
1996-10-01,7.80%
1996-11-01,8.80%
1996-12-01,7.00%
1997-01-01,5.50%
1997-02-01,7.90%
1997-03-01,6.90%
1997-04-01,5.40%
1997-05-01,5.80%
1997-06-01,4.40%
1997-07-01,6.60%
1997-08-01,5.00%
1997-09-01,8.00%
1997-10-01,7.80%
1997-11-01,6.70%
1997-12-01,7.80%
1998-01-01,6.60%
1998-02-01,2.20%
1998-03-01,-0.40%
1998-04-01,-0.20%
1998-05-01,-0.60%
1998-06-01,-2.00%
1998-07-01,-1.30%
1998-08-01,-3.20%
1998-09-01,-2.90%
1998-10-01,-3.30%
1998-11-01,-3.50%
1998-12-01,-5.10%
1999-01-01,-2.20%
1999-02-01,-0.20%
1999-03-01,2.20%
1999-04-01,0.80%
1999-05-01,2.50%
1999-06-01,3.20%
1999-07-01,3.50%
1999-08-01,4.20%
1999-09-01,2.60%
1999-10-01,4.30%
1999-11-01,3.30%
1999-12-01,4.00%
2000-01-01,2.10%
2000-02-01,2.20%
2000-03-01,1.50%
2000-04-01,1.80%
2000-05-01,2.60%
2000-06-01,1.90%
2000-07-01,1.80%
2000-08-01,0.40%
2000-09-01,0.30%
2000-10-01,0.30%
2000-11-01,0.10%
2000-12-01,1.20%
2001-01-01,-0.50%
2001-02-01,-0.30%
2001-03-01,-0.60%
2001-04-01,-1.10%
