Date,Value
2008-02-27,0.0%
2008-03-19,5.3%
2008-04-20,-0.2%
2008-05-19,-11.8%
2008-05-19,-11.8%
2008-06-19,9.4%
2008-07-20,-1.4%
2008-08-20,2.1%
2008-09-18,-0.5%
2008-10-21,-6.0%
2008-11-20,0.7%
2008-12-18,0.8%
2009-02-03,3.9%
2009-02-26,-3.0%
2009-03-19,2.9%
2009-04-20,-0.5%
2009-05-20,2.4%
2009-06-21,0.2%
2009-07-20,-3.8%
2009-08-20,3.9%
2009-09-20,-0.8%
2009-10-20,3.8%
2009-11-22,-0.7%
2009-12-20,-3.7%
2010-02-03,8.5%
2010-02-28,-2.4%
2010-03-18,-1.9%
2010-04-22,1.1%
2010-05-20,-1.8%
2010-06-20,1.0%
2010-07-20,0.3%
2010-08-19,1.4%
2010-09-20,0.6%
2010-10-20,0.9%
2010-11-21,-2.0%
2010-12-20,0.5%
2011-02-03,1.4%
2011-03-08,2.0%
2011-04-12,-4.0%
2011-05-03,-7.1%
2011-05-19,8.2%
2011-06-20,-0.3%
2011-07-20,-5.1%
2011-08-18,2.0%
2011-09-20,8.0%
2011-10-20,18.1%
2011-11-21,-7.8%
2011-12-20,-11.6%
2012-02-02,4.5%
2012-03-04,-2.3%
2012-03-20,-4.9%
2012-04-23,2.3%
2012-05-20,0.8%
2012-06-21,-1.0%
2012-07-19,2.8%
2012-08-20,-3.4%
2012-09-20,5.4%
2012-10-18,-3.3%
2012-11-21,-1.7%
2012-12-20,1.7%
2013-01-31,1.8%
2013-02-26,-2.5%
2013-03-21,4.1%
2013-04-21,1.0%
2013-05-20,2.2%
2013-06-23,-0.6%
2013-07-18,-1.5%
2013-08-20,1.3%
2013-09-19,0.0%
2013-10-20,-1.0%
2013-11-21,-2.1%
2013-12-19,2.8%
2014-01-29,0.2%
2014-02-26,2.6%
2014-03-20,2.2%
2014-04-22,-3.0%
2014-05-20,1.7%
2014-06-22,0.3%
2014-07-20,-0.3%
2014-08-20,-0.5%
2014-09-18,-3.0%
2014-10-20,0.9%
2014-11-23,3.3%
2014-12-18,3.1%
2015-01-29,-1.3%
2015-02-25,0.8%
2015-03-19,6.9%
2015-04-22,-3.6%
2015-05-20,1.4%
2015-06-21,0.1%
2015-07-20,-0.2%
2015-08-20,-2.7%
2015-09-20,0.2%
2015-10-20,4.2%
2015-11-22,0.2%
2015-12-20,3.9%
2016-01-31,-1.3%
2016-02-24,2.9%
2016-03-20,-1.6%
2016-04-20,4.1%
2016-05-19,-1.1%
2016-06-21,0.1%
2016-07-20,-1.0%
2016-08-18,2.9%
2016-09-20,-1.9%
2016-10-20,3.6%
2016-12-11,2.2%
2016-12-20,0.5%
2017-01-30,-1.3%
2017-02-26,1.9%
2017-03-20,-1.9%
2017-04-25,1.5%
2017-05-18,3.5%
2017-06-21,-3.0%
2017-07-20,5.1%
2017-08-20,-5.3%
2017-09-20,-0.3%
2017-10-19,0.3%
2017-11-21,1.9%
2018-02-01,-2.8%
2018-02-27,0.0%
2018-03-20,2.0%
2018-04-23,-2.1%
2018-05-20,-1.3%
2018-06-21,2.7%
2018-07-19,-3.5%
2018-08-20,0.6%
2018-09-20,2.8%
2018-10-18,-1.9%
2018-11-21,4.0%
2019-01-24,2.1%
2019-02-14,-2.5%
2019-03-14,-0.1%
2019-04-11,-1.5%
2019-05-13,2.5%
2019-06-11,-3.1%
2019-07-14,-0.2%
2019-08-08,-0.2%
2019-09-10,1.3%
2019-10-14,1.4%
2019-11-11,-0.1%
2019-12-11,0.0%
2020-01-22,-0.9%
2020-02-16,1.0%
2020-03-15,-0.6%
2020-04-13,-7.7%
2020-05-13,-40.9%
2020-06-14,-98.9%
2020-07-14,82.3%
2020-08-11,65.6%
2020-09-13,8.8%
