Date,Value
2001-02-01,4.20%
2001-03-01,-1.30%
2001-04-01,3.90%
2001-05-01,-1.20%
2001-06-01,0.00%
2001-07-01,7.30%
2001-08-01,1.10%
2001-09-01,3.50%
2001-10-01,1.60%
2001-11-01,1.60%
2001-12-01,2.10%
2002-01-01,0.00%
2002-02-01,2.30%
2002-03-01,1.40%
2002-04-01,9.00%
2002-05-01,-7.10%
2002-06-01,2.20%
2002-07-01,-3.50%
2002-08-01,-1.40%
2002-09-01,-0.10%
2002-10-01,-3.30%
2002-11-01,0.70%
2002-12-01,-2.70%
2003-01-01,-3.00%
2003-02-01,0.60%
2003-03-01,-1.40%
2003-04-01,-1.30%
2003-05-01,0.30%
2003-06-01,-0.40%
2003-07-01,0.90%
2003-08-01,1.10%
2003-09-01,-2.40%
2003-10-01,1.10%
2003-11-01,1.40%
2003-12-01,-2.00%
2004-01-01,0.50%
2004-02-01,2.80%
2004-03-01,1.00%
2004-04-01,1.30%
2004-05-01,1.40%
2004-06-01,1.70%
2004-07-01,2.70%
2004-08-01,0.40%
2004-09-01,3.90%
2004-10-01,-0.80%
2004-11-01,-1.00%
2004-12-01,3.00%
2005-01-01,-1.60%
2005-02-01,-0.80%
2005-03-01,1.30%
2005-04-01,2.50%
2005-05-01,2.40%
2005-06-01,-0.20%
2005-07-01,3.00%
2005-08-01,3.90%
2005-09-01,4.20%
2005-10-01,1.90%
2005-11-01,3.80%
2005-12-01,1.90%
2006-01-01,1.70%
2006-02-01,2.40%
2006-03-01,0.80%
2006-04-01,0.80%
2006-05-01,1.70%
2006-06-01,3.30%
2006-07-01,2.60%
2006-08-01,3.60%
2006-09-01,4.90%
2006-10-01,2.30%
2006-11-01,1.80%
2006-12-01,3.30%
2007-01-01,5.40%
2007-02-01,4.80%
2007-03-01,4.50%
2007-04-01,6.60%
2007-05-01,5.20%
2007-06-01,4.20%
2007-07-01,3.40%
2007-08-01,4.30%
2007-09-01,4.00%
2007-10-01,5.10%
2007-11-01,4.50%
2007-12-01,3.40%
2008-01-01,2.80%
2008-02-18,1.2%
2008-03-17,1.3%
2008-04-17,7.6%
2008-05-16,9.7%
2008-06-16,-9.4%
2008-07-16,7.4%
2008-08-18,0.7%
2008-09-15,6.2%
2008-10-16,0.0%
2008-11-18,6.4%
2008-12-18,2.9%
2009-01-19,-1.4%
2009-02-17,3.6%
2009-03-18,1.2%
2009-04-17,-3.8%
2009-05-15,1.2%
2009-06-17,1.2%
2009-07-15,-1.4%
2009-08-17,0.9%
2009-09-16,1.0%
2009-10-16,-1.0%
2009-11-17,-1.6%
2009-12-07,3.1%
2010-01-11,0.6%
2010-02-08,4.7%
2010-03-08,4.4%
2010-04-07,3.1%
2010-05-07,4.5%
2010-06-02,1.3%
2010-07-05,3.8%
2010-08-02,0.9%
2010-09-02,4.8%
2010-10-01,0.5%
2010-11-03,3.8%
2010-12-02,3.5%
2011-01-10,2.5%
2011-02-01,-0.4%
2011-03-03,-2.6%
2011-04-01,1.5%
2011-05-02,-0.2%
2011-06-01,7.5%
2011-07-04,-4.1%
2011-08-02,7.4%
2011-09-01,1.9%
2011-10-03,-1.9%
2011-10-31,-0.9%
2011-12-02,-0.2%
2012-01-09,1.8%
2012-02-01,0.6%
2012-03-05,4.4%
2012-04-02,0.8%
2012-05-04,4.2%
2012-06-01,0.1%
2012-07-02,6.2%
2012-08-02,3.7%
2012-09-03,3.2%
2012-10-01,5.9%
2012-11-01,5.4%
2012-12-03,2.7%
2013-01-16,2.9%
2013-02-08,5.1%
2013-03-11,1.9%
2013-04-09,2.4%
2013-05-13,-0.9%
2013-06-10,3.3%
2013-07-09,1.8%
2013-08-12,2.3%
2013-09-09,0.8%
2013-10-08,2.4%
2013-11-08,1.0%
2013-12-09,1.2%
2014-01-15,4.2%
2014-02-07,2.3%
2014-03-10,0.3%
2014-04-08,1.0%
2014-05-12,3.0%
2014-06-10,0.4%
2014-07-08,-0.6%
2014-08-11,3.4%
2014-09-08,-0.6%
2014-10-07,1.9%
2014-11-07,0.3%
2014-12-08,0.3%
2015-01-16,-1.2%
2015-02-06,2.2%
2015-03-16,-0.3%
2015-04-17,-2.7%
2015-05-18,-2.8%
2015-06-15,1.6%
2015-07-16,-1.8%
2015-08-17,-0.9%
2015-09-14,-0.1%
2015-10-01,-0.3%
2015-11-02,0.2%
2015-12-01,-0.8%
2016-01-11,-3.1%
2016-02-02,-1.6%
2016-03-01,0.2%
2016-04-01,-0.2%
2016-05-02,-1.3%
2016-06-01,-1.9%
2016-07-01,-1.6%
2016-08-02,-3.9%
2016-09-01,-2.2%
2016-10-03,-3.0%
2016-11-01,-2.3%
2016-12-01,-0.5%
2017-01-09,0.9%
2017-02-02,-3.5%
2017-03-02,-1.4%
2017-04-03,0.6%
2017-05-01,2.1%
2017-06-01,-1.2%
2017-07-03,-0.3%
2017-08-02,1.5%
2017-09-01,-0.7%
2017-10-02,-0.2%
2017-11-02,-0.4%
2017-11-30,-3.0%
2018-01-09,-0.2%
2018-02-01,0.6%
2018-03-01,-1.4%
2018-04-03,-0.2%
2018-05-02,-1.8%
2018-05-31,2.2%
2018-07-02,-0.1%
2018-08-02,0.3%
2018-09-03,-0.3%
2018-10-01,0.4%
2018-11-02,-2.7%
2018-12-03,0.8%
2019-01-08,-0.5%
2019-02-01,-0.3%
2019-03-01,-0.4%
2019-04-01,-0.2%
2019-05-02,-0.7%
2019-05-31,-0.7%
2019-07-01,-1.7%
2019-08-05,0.7%
2019-09-02,1.4%
2019-10-01,-1.4%
2019-11-01,0.9%
2019-12-02,0.7%
2020-01-09,0.0%
2020-01-31,0.1%
2020-02-28,-0.1%
2020-03-31,0.3%
2020-04-30,-5.6%
2020-06-02,-19.9%
2020-06-30,6.6%
2020-07-31,1.1%
2020-08-31,4.1%
2020-10-01,2.5%
