Date,Value
1995-02-01,62.00
1995-03-01,58.80
1995-04-01,59.20
1995-05-01,57.10
1995-06-01,57.10
1995-07-01,55.60
1995-08-01,54.40
1995-09-01,53.40
1995-10-01,53.30
1995-11-01,51.00
1995-12-01,48.50
1996-01-01,47.30
1996-02-01,50.10
1996-03-01,49.50
1996-04-01,47.90
1996-05-01,45.50
1996-06-01,39.80
1996-07-01,45.60
1996-08-01,47.10
1996-09-01,46.80
1996-10-01,47.20
1996-11-01,47.70
1996-12-01,46.00
1997-01-01,50.70
1997-02-01,50.90
1997-03-01,53.20
1997-04-01,53.10
1997-05-01,53.90
1997-06-01,54.60
1997-07-01,56.50
1997-08-01,60.20
1997-09-01,57.10
1997-10-01,57.10
1997-11-01,57.80
1997-12-01,59.20
1998-01-01,58.60
1998-02-01,57.70
1998-03-01,57.20
1998-04-01,57.70
1998-05-01,57.50
1998-06-01,57.20
1998-07-01,54.80
1998-08-01,55.20
1998-09-01,55.30
1998-10-01,50.10
1998-11-01,49.80
1998-12-01,50.10
1999-01-01,51.40
1999-02-01,46.50
1999-03-01,48.00
1999-04-01,48.70
1999-05-01,51.20
1999-06-01,51.80
1999-07-01,52.70
1999-08-01,55.20
1999-09-01,55.80
1999-10-01,58.40
1999-11-01,61.30
1999-12-01,61.10
2000-01-01,60.50
2000-02-01,58.90
2000-03-01,61.20
2000-04-01,62.00
2000-05-01,63.90
2000-06-01,64.40
2000-07-01,64.70
2000-08-01,60.40
2000-09-01,61.70
2000-10-01,61.90
2000-11-01,63.10
2000-12-01,60.40
2001-01-01,58.60
2001-02-01,57.30
2001-03-01,54.80
2001-04-01,51.40
2001-05-01,46.70
2001-06-01,47.80
2001-07-01,47.00
2001-08-01,45.00
2001-09-01,44.00
2001-10-01,44.30
2001-11-01,41.10
2001-12-01,39.00
2002-01-01,42.90
2002-02-01,44.70
2002-03-01,46.70
2002-04-01,47.90
2002-05-01,48.90
2002-06-01,50.20
2002-07-01,50.10
2002-08-01,49.30
2002-09-01,47.10
2002-10-01,45.80
2002-11-01,45.90
2002-12-01,51.50
2003-01-01,47.70
2003-02-01,47.90
2003-03-01,49.40
2003-04-01,46.10
2003-05-01,45.20
2003-06-01,43.50
2003-07-01,43.90
2003-08-01,48.30
2003-09-01,51.50
2003-10-01,52.00
2003-11-01,53.60
2003-12-01,54.60
2004-01-01,54.00
2004-02-01,56.60
2004-03-01,54.60
2004-04-01,59.20
2004-05-01,58.60
2004-06-01,58.20
2004-07-01,58.10
2004-08-01,54.50
2004-09-01,55.50
2004-10-01,55.10
2004-11-01,54.40
2004-12-01,53.60
2005-01-01,53.90
2005-02-01,52.90
2005-03-01,47.60
2005-04-01,51.50
2005-05-01,50.90
2005-06-01,52.50
2005-07-01,52.00
2005-08-01,51.60
2005-09-01,50.50
2005-10-01,57.80
2005-11-01,57.90
2005-12-01,56.10
2006-01-01,56.30
2006-02-01,58.80
2006-03-01,61.30
2006-04-01,63.40
2006-05-01,63.70
2006-06-01,64.20
2006-07-01,63.90
2006-08-01,64.30
2006-09-01,65.10
2006-10-01,65.00
2006-11-01,63.50
2006-12-01,65.80
2007-01-01,65.90
2007-02-01,62.70
2007-03-01,64.60
2007-04-01,61.30
2007-05-01,63.00
2007-06-01,59.50
2007-07-01,63.00
2007-08-01,62.80
2007-09-01,62.20
2007-10-01,58.70
2007-11-01,60.70
2007-12-01,61.40
2008-01-01,62.20
2008-02-01,62.30
2008-03-03,60.5
2008-04-01,55.3
2008-05-02,56.7
2008-06-02,55.7
2008-07-01,54.9
2008-08-04,54.1
2008-09-01,52.5
2008-10-01,47.8
2008-11-03,47.0
2008-12-01,35.2
2009-01-05,36.9
2009-02-02,35.0
2009-03-02,32.6
2009-04-01,32.6
2009-05-04,34.7
2009-06-02,39.8
2009-07-01,41.8
2009-08-03,44.3
2009-09-01,50.2
2009-10-01,54.3
2009-11-02,54.0
2009-12-01,56.9
2010-01-04,54.6
2010-02-01,56.0
2010-03-01,57.4
2010-04-01,65.5
2010-05-03,65.9
2010-06-01,66.4
2010-07-01,65.7
2010-08-02,66.9
2010-09-01,61.4
2010-10-01,59.7
2010-11-01,59.2
2010-12-01,61.8
2011-01-03,59.6
2011-02-01,60.5
2011-03-01,63.5
2011-04-01,59.3
2011-05-02,58.4
2011-06-01,59.2
2011-07-01,53.4
2011-08-02,53.5
2011-09-01,51.7
2011-10-03,48.2
2011-11-01,46.9
2011-12-01,44.8
2012-01-03,50.7
2012-02-01,47.3
2012-03-01,49.0
2012-04-02,51.1
2012-05-02,46.9
2012-06-01,45.4
2012-07-02,48.1
2012-08-02,48.6
2012-09-03,46.7
2012-10-01,43.6
2012-11-01,46.1
2012-12-03,48.5
2013-01-03,49.5
2013-02-01,52.5
2013-03-01,50.8
2013-04-02,48.3
2013-05-02,50.2
2013-06-03,52.2
2013-07-01,51.9
2013-08-02,57.4
2013-09-02,54.6
2013-10-01,55.3
2013-11-01,54.2
2013-12-02,56.5
2014-01-03,53.9
2014-02-03,56.1
2014-03-03,57.6
2014-04-01,54.4
2014-05-02,55.8
2014-06-02,52.5
2014-07-01,54.0
2014-08-04,54.3
2014-09-01,52.9
2014-10-01,50.4
2014-11-03,55.3
2014-12-01,52.1
2015-01-05,54.0
2015-02-02,48.2
2015-03-02,47.3
2015-04-01,47.9
2015-05-04,47.9
2015-06-01,49.4
2015-07-01,50.0
2015-08-03,48.7
2015-09-01,52.2
2015-10-01,49.5
2015-11-02,50.7
2015-12-01,49.7
2016-01-04,52.1
2016-02-01,50.0
2016-03-01,51.6
2016-04-01,53.2
2016-05-02,54.7
2016-06-01,55.8
2016-07-01,51.6
2016-08-02,50.1
2016-09-01,51.0
2016-10-03,53.2
2016-11-01,54.7
2016-12-01,56.6
2017-01-03,56.0
2017-02-01,54.6
2017-03-01,57.8
2017-04-03,58.6
2017-05-02,57.4
2017-06-01,55.6
2017-07-03,60.1
2017-08-02,60.9
2017-09-01,61.2
2017-10-02,61.7
2017-11-01,62.0
2017-12-01,65.1
2018-01-03,65.2
2018-02-01,65.3
2018-03-01,65.5
2018-04-03,60.3
2018-05-02,63.6
2018-06-01,62.4
2018-07-02,61.6
2018-08-02,61.9
2018-09-03,64.8
2018-10-01,59.7
2018-11-01,57.4
2018-12-03,57.7
2019-01-03,57.8
2019-02-01,54.3
2019-03-01,55.4
2019-04-01,50.3
2019-05-02,48.5
2019-06-03,48.6
2019-07-01,47.7
2019-08-02,44.7
2019-09-02,47.2
2019-10-01,44.6
2019-11-01,49.4
2019-12-02,48.8
2020-01-03,50.2
2020-02-03,47.8
2020-03-02,49.5
2020-04-01,43.7
2020-05-04,40.7
2020-06-02,42.1
2020-07-01,41.9
2020-08-03,49.2
