Date,Value
2014-11-26,6.3%
2014-12-23,5.2%
2015-02-26,2.1%
2015-03-31,3.7%
2015-05-28,3.7%
2015-06-30,5.7%
2015-08-28,5.0%
2015-09-30,3.1%
2015-11-27,6.6%
2015-12-23,5.8%
2016-02-25,2.4%
2016-03-31,3.0%
2016-05-26,-0.4%
2016-06-30,-0.8%
2016-08-26,-0.8%
2016-09-30,-0.8%
2016-11-25,-1.6%
2016-12-23,-2.2%
2017-02-22,-0.9%
2017-03-31,-0.9%
2017-05-25,0.8%
2017-06-30,0.7%
2017-08-24,0.0%
2017-09-29,2.5%
2017-11-23,1.3%
2017-12-22,1.7%
2018-02-22,2.1%
2018-03-29,2.6%
2018-05-25,2.0%
2018-06-29,2.0%
2018-08-10,0.8%
2018-09-28,-0.2%
2018-11-09,-1.9%
2018-12-21,-1.8%
2019-02-11,-3.7%
2019-03-29,-2.5%
2019-05-10,-1.4%
2019-06-28,-1.5%
2019-08-09,-1.6%
2019-09-30,-1.4%
2019-11-11,-0.6%
2019-12-20,0.5%
2020-02-11,0.9%
2020-03-31,1.8%
2020-05-13,0.7%
2020-06-30,0.8%
2020-08-12,-31.3%
2020-09-30,-26.1%
