Date,Value
1983-08-01,54.00
1983-09-01,42.00
1983-10-01,70.00
1983-11-01,62.00
1983-12-01,62.00
1984-01-01,65.00
1984-02-01,48.00
1984-03-01,60.00
1984-04-01,45.00
1984-05-01,52.00
1984-06-01,52.00
1984-07-01,60.00
1984-08-01,72.00
1984-09-01,59.00
1984-10-01,59.00
1984-11-01,56.00
1984-12-01,51.00
1985-01-01,60.00
1985-02-01,61.00
1985-03-01,49.00
1985-04-01,61.00
1985-05-01,52.00
1985-06-01,56.00
1985-07-01,50.00
1985-08-01,50.00
1985-09-01,63.00
1985-10-01,45.00
1985-11-01,46.00
1985-12-01,55.00
1986-01-01,49.00
1986-02-01,45.00
1986-03-01,37.00
1986-04-01,35.00
1986-05-01,22.00
1986-06-01,49.00
1986-07-01,44.00
1986-08-01,51.00
1986-09-01,57.00
1986-10-01,66.00
1986-11-01,51.00
1986-12-01,54.00
1987-01-01,54.00
1987-02-01,51.00
1987-03-01,44.00
1987-04-01,33.00
1987-05-01,43.00
1987-06-01,49.00
1987-07-01,43.00
1987-08-01,64.00
1987-09-01,39.00
1987-10-01,42.00
1987-11-01,42.00
1987-12-01,40.00
1988-01-01,48.00
1988-02-01,67.00
1988-03-01,46.00
1988-04-01,40.00
1988-05-01,31.00
1988-06-01,57.00
1988-07-01,58.00
1988-08-01,58.00
1988-09-01,59.00
1988-10-01,54.00
1988-11-01,32.00
1988-12-01,54.00
1989-01-01,43.00
1989-02-01,24.00
1989-03-01,12.00
1989-04-01,35.00
1989-05-01,30.00
1989-06-01,48.00
1989-07-01,27.00
1989-08-01,2.00
1989-09-01,21.00
1989-10-01,27.00
1989-11-01,16.00
1989-12-01,6.00
1990-01-01,30.00
1990-02-01,50.00
1990-03-01,30.00
1990-04-01,18.00
1990-05-01,41.00
1990-06-01,20.00
1990-07-01,27.00
1990-08-01,20.00
1990-09-01,17.00
1990-10-01,17.00
1990-11-01,22.00
1990-12-01,1.00
1991-01-01,2.00
1991-02-01,-7.00
1991-03-01,-1.00
1991-04-01,11.00
1991-05-01,0.00
1991-06-01,-8.00
1991-07-01,-4.00
1991-08-01,0.00
1991-09-01,11.00
1991-10-01,8.00
1991-11-01,20.00
1991-12-01,25.00
1992-01-01,5.00
1992-02-01,21.00
1992-03-01,24.00
1992-04-01,-5.00
1992-05-01,20.00
1992-06-01,14.00
1992-07-01,-3.00
1992-08-01,-15.00
1992-09-01,-12.00
1992-10-01,4.00
1992-11-01,-4.00
1992-12-01,-9.00
1993-01-01,-4.00
1993-02-01,11.00
1993-03-01,19.00
1993-04-01,25.00
1993-05-01,17.00
1993-06-01,18.00
1993-07-01,30.00
1993-08-01,32.00
1993-09-01,31.00
1993-10-01,25.00
1993-11-01,26.00
1993-12-01,23.00
1994-01-01,34.00
1994-02-01,15.00
1994-03-01,10.00
1994-04-01,12.00
1994-05-01,22.00
1994-06-01,12.00
1994-07-01,27.00
1994-08-01,12.00
1994-09-01,2.00
1994-10-01,28.00
1994-11-01,-3.00
1994-12-01,6.00
1995-01-01,19.00
1995-02-01,-2.00
1995-03-01,-11.00
1995-04-01,-11.00
1995-05-01,25.00
1995-06-01,8.00
1995-07-01,3.00
1995-08-01,11.00
1995-09-01,-7.00
1995-10-01,0.00
1995-11-01,16.00
1995-12-01,23.00
1996-01-01,31.00
1996-02-01,31.00
1996-03-01,30.00
1996-04-01,27.00
1996-05-01,32.00
1996-06-01,29.00
1996-07-01,45.00
1996-08-01,43.00
1996-09-01,53.00
1996-10-01,46.00
1996-11-01,55.00
1996-12-01,48.00
1997-01-01,33.00
1997-02-01,36.00
1997-03-01,24.00
1997-04-01,33.00
1997-05-01,42.00
1997-06-01,21.00
1997-07-01,39.00
1997-08-01,35.00
1997-09-01,22.00
1997-10-01,26.00
1997-11-01,38.00
1997-12-01,23.00
1998-01-01,35.00
1998-02-01,36.00
1998-03-01,33.00
1998-04-01,14.00
1998-05-01,26.00
1998-06-01,25.00
1998-07-01,19.00
1998-08-01,6.00
1998-09-01,-2.00
1998-10-01,14.00
1998-11-01,-4.00
1998-12-01,-9.00
1999-01-01,4.00
1999-02-01,-9.00
1999-03-01,2.00
1999-04-01,14.00
1999-05-01,15.00
1999-06-01,11.00
1999-07-01,22.00
1999-08-01,28.00
1999-09-01,33.00
1999-10-01,41.00
1999-11-01,16.00
1999-12-01,23.00
2000-01-01,41.00
2000-02-01,29.00
2000-03-01,47.00
2000-04-01,23.00
2000-05-01,33.00
2000-06-01,45.00
2000-07-01,15.00
2000-08-01,24.00
2000-09-01,18.00
2000-10-01,14.00
2000-11-01,0.00
2000-12-01,13.00
2001-01-01,16.00
2001-02-01,36.00
2001-03-01,32.00
2001-04-01,30.00
2001-05-01,32.00
2001-06-01,35.00
2001-07-01,30.00
2001-08-01,44.00
2001-09-01,49.00
2001-10-01,54.00
2001-11-01,19.00
2001-12-01,29.00
2002-01-01,48.00
2002-02-01,39.00
2002-03-01,33.00
2002-04-01,31.00
2002-05-01,57.00
2002-06-01,25.00
2002-07-01,16.00
2002-08-01,16.00
2002-09-01,5.00
2002-10-01,18.00
2002-11-01,25.00
2002-12-01,21.00
2003-01-01,-3.00
2003-02-01,7.00
2003-03-01,2.00
2003-04-01,-13.00
2003-05-01,10.00
2003-06-01,14.00
2003-07-01,10.00
2003-08-01,27.00
2003-09-01,12.00
2003-10-01,17.00
2003-11-01,35.00
2003-12-01,19.00
2004-01-01,33.00
2004-02-01,38.00
2004-03-01,26.00
2004-04-01,17.00
2004-05-01,30.00
2004-06-01,51.00
2004-07-01,43.00
2004-08-01,24.00
2004-09-01,2.00
2004-10-01,-9.00
2004-11-01,11.00
2004-12-01,19.00
2005-01-01,33.00
2005-02-01,-3.00
2005-03-01,2.00
2005-04-01,-9.00
2005-05-01,-14.00
2005-06-01,-7.00
2005-07-01,-19.00
2005-08-01,-18.00
2005-09-01,-18.00
2005-10-01,-24.00
2005-11-01,-18.00
2005-12-01,-35.00
2006-01-01,0.00
2006-02-01,-11.00
2006-03-01,-18.00
2006-04-01,-16.00
2006-05-01,2.00
2006-06-01,9.00
2006-07-01,9.00
2006-08-01,7.00
2006-09-01,12.00
2006-10-01,14.00
2006-11-01,-4.00
2006-12-01,-9.00
2007-01-01,25.00
2007-02-01,30.00
2007-03-01,19.00
2007-04-01,32.00
2007-05-01,44.00
2007-06-01,31.00
2007-07-01,17.00
2007-08-01,18.00
2007-09-01,15.00
2007-10-01,12.00
2007-11-01,10.00
2007-12-01,13.00
2008-01-01,8.00
2008-02-26,-3
2008-03-27,1
2008-04-29,-26
2008-05-29,-14
2008-06-25,-9
2008-07-29,-36
2008-08-28,-46
2008-09-24,-27
2008-10-28,-27
2008-11-28,-46
2008-12-17,-55
2009-01-27,-47
2009-02-24,-25
2009-03-25,-44
2009-04-28,3
2009-05-28,-17
2009-06-24,-17
2009-07-28,-15
2009-08-27,-16
2009-09-29,3
2009-10-27,8
2009-11-26,13
2009-12-17,13
2010-01-27,-8
2010-02-25,23
2010-03-23,13
2010-04-27,13
2010-05-27,-18
2010-06-23,-5
2010-07-27,33
2010-08-26,35
2010-09-28,49
2010-10-28,36
2010-11-25,43
2010-12-15,56
2011-01-27,37
2011-02-24,6
2011-03-30,15
2011-05-03,21
2011-05-24,18
2011-06-23,-2
2011-07-28,-5
2011-08-25,-14
2011-09-27,-15
2011-10-27,-11
2011-11-28,-19
2011-12-20,9
2012-01-26,-22
2012-02-28,-2
2012-03-27,0
2012-04-26,-6
2012-05-29,21
2012-06-27,42
2012-07-30,11
2012-08-23,-3
2012-09-26,6
2012-10-30,30
2012-11-29,33
2012-12-19,19
2013-01-24,17
2013-02-26,8
2013-03-26,0
2013-04-24,-1
2013-05-29,-11
2013-06-25,1
2013-07-29,17
2013-08-28,27
2013-09-25,34
2013-10-28,2
2013-11-27,1
2013-12-18,34
2014-01-23,14
2014-02-25,37
2014-03-25,13
2014-04-24,30
2014-05-28,16
2014-06-25,4
2014-07-23,21
2014-08-28,37
2014-09-25,31
2014-10-27,31
2014-11-26,27
2014-12-19,61
2015-01-29,39
2015-02-23,1
2015-03-26,18
2015-04-29,12
2015-05-26,51
2015-06-25,29
2015-07-29,21
2015-08-26,24
2015-09-29,49
2015-10-29,19
2015-11-24,7
2015-12-21,19
2016-01-28,16
2016-02-24,10
2016-03-24,7
2016-04-27,-13
2016-05-24,7
2016-06-28,4
2016-07-27,-14
2016-08-25,9
2016-09-27,-8
2016-10-27,21
2016-11-25,26
2016-12-20,35
2017-01-26,-8
2017-02-23,9
2017-03-23,9
2017-04-27,38
2017-05-23,2
2017-06-27,12
2017-07-27,22
2017-08-24,-10
2017-09-27,42
2017-10-26,-36
2017-11-23,26
2017-12-20,20
2018-01-25,12
2018-02-22,8
2018-03-28,-8
2018-04-26,-2
2018-05-23,11
2018-06-27,32
2018-07-25,20
2018-08-23,29
2018-09-26,23
2018-10-30,5
2018-11-27,19
2018-12-20,-13
2019-01-25,0
2019-02-22,0
2019-03-27,-18
2019-04-25,13
2019-05-24,-27
2019-06-25,-42
2019-07-25,-16
2019-08-22,-49
2019-09-25,-16
2019-10-28,-10
2019-11-25,-3
2019-12-19,0
2020-01-28,0
2020-02-25,1
2020-03-25,-3
2020-04-28,-55
2020-05-26,-50
2020-06-25,-37
2020-07-28,4
2020-08-25,-6
2020-09-24,11
