Date,Value
1971-03-01,18.70K
1971-04-01,21.20K
1971-05-01,25.60K
1971-06-01,42.60K
1971-07-01,13.50K
1971-08-01,7.70K
1971-09-01,1.20K
1971-10-01,19.90K
1971-11-01,31.80K
1971-12-01,31.80K
1972-01-01,10.10K
1972-02-01,-3.60K
1972-03-01,14.40K
1972-04-01,11.10K
1972-05-01,-3.70K
1972-06-01,-30.10K
1972-07-01,-23.40K
1972-08-01,-12.60K
1972-09-01,-17.10K
1972-10-01,4.00K
1972-11-01,-16.00K
1972-12-01,-14.50K
1973-01-01,-26.80K
1973-02-01,-35.70K
1973-03-01,-29.40K
1973-04-01,-14.00K
1973-05-01,-13.10K
1973-06-01,-9.60K
1973-07-01,-7.40K
1973-08-01,-23.90K
1973-09-01,-19.50K
1973-10-01,-17.40K
1973-11-01,-12.90K
1973-12-01,-15.30K
1974-01-01,-18.60K
1974-02-01,46.10K
1974-03-01,17.90K
1974-04-01,8.20K
1974-05-01,2.60K
1974-06-01,-3.10K
1974-07-01,14.60K
1974-08-01,1.90K
1974-09-01,19.40K
1974-10-01,4.10K
1974-11-01,5.40K
1974-12-01,5.20K
1975-01-01,13.60K
1975-02-01,29.30K
1975-03-01,21.30K
1975-04-01,32.60K
1975-05-01,41.70K
1975-06-01,51.00K
1975-07-01,39.80K
1975-08-01,44.50K
1975-09-01,27.10K
1975-10-01,31.20K
1975-11-01,57.40K
1975-12-01,35.70K
1976-01-01,27.00K
1976-02-01,24.90K
1976-03-01,20.30K
1976-04-01,13.30K
1976-05-01,14.50K
1976-06-01,18.10K
1976-07-01,-2.70K
1976-08-01,7.50K
1976-09-01,14.60K
1976-10-01,-0.60K
1976-11-01,-9.20K
1976-12-01,7.30K
1977-01-01,3.70K
1977-02-01,2.30K
1977-03-01,-3.70K
1977-04-01,0.50K
1977-05-01,9.70K
1977-06-01,2.10K
1977-07-01,29.60K
1977-08-01,20.50K
1977-09-01,2.90K
1977-10-01,20.90K
1977-11-01,-5.50K
1977-12-01,-2.00K
1978-01-01,-4.60K
1978-02-01,-14.00K
1978-03-01,-16.60K
1978-04-01,-2.80K
1978-05-01,-0.80K
1978-06-01,-6.70K
1978-07-01,-0.30K
1978-08-01,-5.70K
1978-09-01,10.00K
1978-10-01,-14.40K
1978-11-01,-14.80K
1978-12-01,-20.70K
1979-01-01,-10.90K
1979-02-01,5.30K
1979-03-01,20.30K
1979-04-01,-2.70K
1979-05-01,-30.10K
1979-06-01,0.00K
1979-07-01,-18.80K
1979-08-01,-4.20K
1979-09-01,-12.70K
1979-10-01,-7.40K
1979-11-01,9.00K
1979-12-01,-9.50K
1980-01-01,11.10K
1980-02-01,16.70K
1980-03-01,35.20K
1980-04-01,29.10K
1980-05-01,47.20K
1980-06-01,38.80K
1980-07-01,50.80K
1980-08-01,62.90K
1980-09-01,96.70K
1980-10-01,70.10K
1980-11-01,88.00K
1980-12-01,110.20K
1981-01-01,87.60K
1981-02-01,64.90K
1981-03-01,68.90K
1981-04-01,73.10K
1981-05-01,63.80K
1981-06-01,62.60K
1981-07-01,46.40K
1981-08-01,46.50K
1981-09-01,37.90K
1981-10-01,41.10K
1981-11-01,37.40K
1981-12-01,34.60K
1982-01-01,18.70K
1982-02-01,29.50K
1982-03-01,12.70K
1982-04-01,10.00K
1982-05-01,28.50K
1982-06-01,14.40K
1982-07-01,30.50K
1982-08-01,29.20K
1982-09-01,26.30K
1982-10-01,28.30K
1982-11-01,33.30K
1982-12-01,26.60K
1983-01-01,31.10K
1983-02-01,17.30K
1983-03-01,8.80K
1983-04-01,23.60K
1983-05-01,16.20K
1983-06-01,16.90K
1983-07-01,23.40K
1983-08-01,2.70K
1983-09-01,-8.60K
1983-10-01,13.80K
1983-11-01,4.70K
1983-12-01,9.00K
1984-01-01,12.20K
1984-02-01,10.00K
1984-03-01,23.00K
1984-04-01,11.00K
1984-05-01,-10.20K
1984-06-01,16.40K
1984-07-01,4.60K
1984-08-01,16.40K
1984-09-01,8.80K
1984-10-01,31.30K
1984-11-01,11.60K
1984-12-01,12.50K
1985-01-01,6.60K
1985-02-01,9.20K
1985-03-01,17.90K
1985-04-01,-5.70K
1985-05-01,21.20K
1985-06-01,2.40K
1985-07-01,-12.20K
1985-08-01,6.60K
1985-09-01,2.40K
1985-10-01,7.30K
1985-11-01,6.50K
1985-12-01,1.30K
1986-01-01,20.80K
1986-02-01,11.10K
1986-03-01,8.70K
1986-04-01,32.90K
1986-05-01,-9.80K
1986-06-01,8.10K
1986-07-01,1.40K
1986-08-01,4.20K
1986-09-01,-2.40K
1986-10-01,-15.60K
1986-11-01,-19.30K
1986-12-01,-7.10K
1987-01-01,-24.20K
1987-02-01,-6.50K
1987-03-01,-48.50K
1987-04-01,-41.80K
1987-05-01,-13.50K
1987-06-01,-65.40K
1987-07-01,-38.00K
1987-08-01,-43.70K
1987-09-01,-43.00K
1987-10-01,-43.40K
1987-11-01,-56.60K
1987-12-01,-55.40K
1988-01-01,-29.80K
1988-02-01,-47.20K
1988-03-01,-39.20K
1988-04-01,-43.80K
1988-05-01,-43.20K
1988-06-01,-45.20K
1988-07-01,-45.40K
1988-08-01,-57.40K
1988-09-01,-37.60K
1988-10-01,-20.40K
1988-11-01,-36.40K
1988-12-01,-51.00K
1989-01-01,-63.20K
1989-02-01,-38.50K
1989-03-01,-49.10K
1989-04-01,-41.30K
1989-05-01,-56.30K
1989-06-01,-32.80K
1989-07-01,-25.50K
1989-08-01,-19.30K
1989-09-01,-37.80K
1989-10-01,-20.20K
1989-11-01,-13.30K
1989-12-01,-23.00K
1990-01-01,-19.20K
1990-02-01,-23.60K
1990-03-01,-8.90K
1990-04-01,-12.90K
1990-05-01,-13.90K
1990-06-01,-2.70K
1990-07-01,16.80K
1990-08-01,22.70K
1990-09-01,28.20K
1990-10-01,45.30K
1990-11-01,45.40K
1990-12-01,47.60K
1991-01-01,73.00K
1991-02-01,24.60K
1991-03-01,89.80K
1991-04-01,118.70K
1991-05-01,64.00K
1991-06-01,62.30K
1991-07-01,68.80K
1991-08-01,66.60K
1991-09-01,50.00K
1991-10-01,43.60K
1991-11-01,35.20K
1991-12-01,34.70K
1992-01-01,31.10K
1992-02-01,28.50K
1992-03-01,44.70K
1992-04-01,27.00K
1992-05-01,28.90K
1992-06-01,31.70K
1992-07-01,14.40K
1992-08-01,22.10K
1992-09-01,44.50K
1992-10-01,30.00K
1992-11-01,40.70K
1992-12-01,40.50K
1993-01-01,71.40K
1993-02-01,-22.80K
1993-03-01,-6.90K
1993-04-01,-7.50K
1993-05-01,2.40K
1993-06-01,-16.10K
1993-07-01,-7.60K
1993-08-01,-23.70K
1993-09-01,-3.30K
1993-10-01,-18.90K
1993-11-01,-32.00K
1993-12-01,-29.60K
1994-01-01,-29.50K
1994-02-01,1.20K
1994-03-01,-31.80K
1994-04-01,-22.20K
1994-05-01,-35.70K
1994-06-01,-23.70K
1994-07-01,-27.70K
1994-08-01,-31.40K
1994-09-01,-40.30K
1994-10-01,-28.70K
1994-11-01,-39.60K
1994-12-01,-31.40K
1995-01-01,-46.10K
1995-02-01,-20.10K
1995-03-01,-28.70K
1995-04-01,-16.70K
1995-05-01,-22.30K
1995-06-01,-12.50K
1995-07-01,-13.10K
1995-08-01,-10.50K
1995-09-01,-22.80K
1995-10-01,-26.80K
1995-11-01,4.80K
1995-12-01,-9.90K
1996-01-01,-7.00K
1996-02-01,-23.40K
1996-03-01,6.80K
1996-04-01,-26.10K
1996-05-01,-8.00K
1996-06-01,-18.10K
1996-07-01,-18.50K
1996-08-01,-31.10K
1996-09-01,-20.40K
1996-10-01,-39.20K
1996-11-01,-41.40K
1996-12-01,-98.50K
1997-01-01,-31.80K
1997-02-01,-53.70K
1997-03-01,-65.60K
1997-04-01,-48.50K
1997-05-01,-41.70K
1997-06-01,-43.00K
1997-07-01,-48.10K
1997-08-01,-17.40K
1997-09-01,-27.60K
1997-10-01,-28.70K
1997-11-01,-33.70K
1997-12-01,-32.40K
1998-01-01,-21.20K
1998-02-01,-10.00K
1998-03-01,-19.80K
1998-04-01,-15.80K
1998-05-01,-5.50K
1998-06-01,-9.40K
1998-07-01,-5.80K
1998-08-01,-0.20K
1998-09-01,-3.30K
1998-10-01,-13.50K
1998-11-01,-5.30K
1998-12-01,3.40K
1999-01-01,-11.00K
1999-02-01,-4.60K
1999-03-01,-5.20K
1999-04-01,-7.00K
1999-05-01,-9.40K
1999-06-01,-15.00K
1999-07-01,-10.00K
1999-08-01,-18.40K
1999-09-01,-15.70K
1999-10-01,-6.10K
1999-11-01,-22.20K
1999-12-01,-16.60K
2000-01-01,-24.80K
2000-02-01,3.60K
2000-03-01,-10.70K
2000-04-01,-8.20K
2000-05-01,-30.70K
2000-06-01,-8.60K
2000-07-01,-11.10K
2000-08-01,-18.90K
2000-09-01,-14.30K
2000-10-01,-15.60K
2000-11-01,-0.10K
2000-12-01,-9.10K
2001-01-01,-5.70K
2001-02-01,-21.30K
2001-03-01,-9.10K
2001-04-01,-8.60K
2001-05-01,-15.40K
2001-06-01,-0.60K
2001-07-01,-13.30K
2001-08-01,-9.80K
2001-09-01,-0.60K
2001-10-01,-5.10K
2001-11-01,6.90K
2001-12-01,6.70K
2002-01-01,6.80K
2002-02-01,-8.30K
2002-03-01,-6.30K
2002-04-01,-4.40K
2002-05-01,7.40K
2002-06-01,-7.80K
