Date,Value
2008-03-04,52.4
2008-04-02,47.2
2008-05-02,46.1
2008-06-03,43.9
2008-07-02,38.8
2008-08-04,36.7
2008-09-02,40.5
2008-10-02,38.8
2008-11-04,35.1
2008-12-02,31.8
2009-01-05,29.3
2009-02-03,34.5
2009-03-03,27.8
2009-04-02,30.9
2009-05-05,38.1
2009-06-02,45.9
2009-07-02,44.5
2009-08-04,47.0
2009-09-02,47.7
2009-10-02,46.7
2009-11-03,46.2
2009-12-02,47.0
2010-01-05,47.1
2010-02-02,48.6
2010-03-02,48.5
2010-04-06,53.1
2010-05-05,58.2
2010-06-02,58.5
2010-07-02,58.4
2010-08-03,54.1
2010-09-02,52.1
2010-10-04,53.8
2010-11-02,51.6
2010-12-02,51.8
2011-01-05,49.1
2011-02-02,53.7
2011-03-02,56.5
2011-04-04,56.4
2011-05-04,53.3
2011-06-02,54.0
2011-07-04,53.6
2011-08-02,53.5
2011-09-02,52.6
2011-10-04,50.1
2011-11-02,53.9
2011-12-02,52.3
2012-01-04,53.2
2012-02-02,51.4
2012-03-02,54.3
2012-04-03,56.7
2012-05-02,55.8
2012-06-06,54.4
2012-07-03,48.2
2012-08-02,50.9
2012-09-04,49.0
2012-10-02,49.5
2012-11-02,50.9
2012-12-04,49.3
2013-01-03,48.7
2013-02-04,48.7
2013-03-04,46.8
2013-04-03,47.2
2013-05-02,49.4
2013-06-04,50.8
2013-07-02,51.0
2013-08-02,57.0
2013-09-03,59.1
2013-10-02,58.9
2013-11-04,59.4
2013-12-03,62.6
2014-01-03,62.1
2014-02-04,64.6
2014-03-04,62.6
2014-04-02,62.5
2014-05-02,60.8
2014-06-03,60.0
2014-07-02,62.6
2014-08-04,62.4
2014-09-02,64.0
2014-10-02,64.2
2014-11-04,61.4
2014-12-02,59.4
2015-01-05,57.6
2015-02-03,59.1
2015-03-03,60.1
2015-04-02,57.8
2015-05-05,54.2
2015-06-02,55.9
2015-07-02,58.1
2015-08-04,57.1
2015-09-02,57.3
2015-10-02,59.9
2015-11-03,58.8
2015-12-02,55.3
2016-01-05,57.8
2016-02-02,55.0
2016-03-02,54.2
2016-04-04,54.2
2016-05-04,52.0
2016-06-02,51.2
2016-07-04,46.0
2016-08-02,45.9
2016-09-02,49.2
2016-10-04,52.3
2016-11-02,52.6
2016-12-02,52.8
2017-01-04,54.2
2017-02-02,52.2
2017-03-02,52.5
2017-04-04,52.2
2017-05-03,53.1
2017-06-02,56.0
2017-07-04,54.8
2017-08-02,51.9
2017-09-04,51.1
2017-10-03,48.1
2017-11-02,50.8
2017-12-04,53.1
2018-01-03,52.2
2018-02-02,50.2
2018-03-02,51.4
2018-04-04,47.0
2018-05-02,52.5
2018-06-04,52.5
2018-07-03,53.1
2018-08-02,55.8
2018-09-04,52.9
2018-10-02,52.1
2018-11-02,53.2
2018-12-04,53.4
2019-01-03,52.8
2019-02-04,50.6
2019-03-04,49.5
2019-04-02,49.7
2019-05-02,50.5
2019-06-04,48.6
2019-07-02,43.1
2019-08-02,45.3
2019-09-03,45.0
2019-10-02,43.3
2019-11-04,44.2
2019-12-03,45.3
2020-01-03,44.4
2020-02-04,48.4
2020-03-03,52.6
2020-04-06,39.3
2020-05-06,8.2
2020-06-04,28.9
2020-07-06,55.3
2020-08-06,58.1
