Date,Value
1997-02-01,0.40%
1997-03-01,0.20%
1997-04-01,0.10%
1997-05-01,0.20%
1997-06-01,0.10%
1997-07-01,0.10%
1997-08-01,0.20%
1997-09-01,0.30%
1997-10-01,0.30%
1997-11-01,0.50%
1997-12-01,0.30%
1998-01-01,0.30%
1998-02-01,0.30%
1998-03-01,-0.30%
1998-04-01,-0.50%
1998-05-01,-0.70%
1998-06-01,-0.70%
1998-07-01,-0.90%
1998-08-01,-1.00%
1998-09-01,-1.20%
1998-10-01,-1.20%
1998-11-01,-1.30%
1998-12-01,-1.40%
1999-01-01,-1.50%
1999-02-01,-1.60%
1999-03-01,-1.00%
1999-04-01,-1.00%
1999-05-01,-1.00%
1999-06-01,-1.00%
1999-07-01,-0.80%
1999-08-01,-1.10%
1999-09-01,-1.20%
1999-10-01,-1.10%
1999-11-01,-0.90%
1999-12-01,-0.80%
2000-01-01,-0.80%
2000-02-01,-0.80%
2000-03-01,-0.80%
2000-04-01,-0.70%
2000-05-01,-0.40%
2000-06-01,-0.50%
2000-07-01,-0.50%
2000-08-01,-0.10%
2000-09-01,0.00%
2000-10-01,-0.10%
2000-11-01,-0.40%
2000-12-01,-0.50%
2001-01-01,-0.40%
2001-02-01,-0.50%
2001-03-01,-0.80%
2001-04-01,-0.70%
2001-05-01,-0.80%
2001-06-01,-0.50%
2001-07-01,-0.70%
2001-08-01,-0.80%
2001-09-01,-0.70%
2001-10-01,-0.80%
2001-11-01,-0.80%
2001-12-01,-0.60%
2002-01-01,-0.70%
2002-02-01,-0.70%
2002-03-01,-0.70%
2002-04-01,-0.80%
2002-05-01,-0.70%
2002-06-01,-0.60%
2002-07-01,-0.40%
2002-08-01,-0.30%
2002-09-01,-0.20%
2002-10-01,-0.10%
2002-11-01,0.00%
2002-12-01,0.00%
2003-01-01,0.20%
2003-02-01,0.30%
2003-03-01,0.30%
2003-04-01,0.40%
2003-05-01,0.20%
2003-06-01,0.10%
2003-07-01,0.00%
2003-08-01,0.00%
2003-09-01,-0.10%
2003-10-01,-0.10%
2003-11-01,-0.20%
2003-12-01,-0.20%
2004-01-01,-0.30%
2004-02-01,-0.60%
2004-03-01,-0.40%
2004-04-01,-0.80%
2004-05-01,-0.70%
2004-06-01,-0.40%
2004-07-01,-0.30%
2004-08-01,-0.20%
2004-09-01,-0.10%
2004-10-01,0.10%
2004-11-01,0.30%
2004-12-01,0.20%
2005-01-01,0.30%
2005-02-01,0.60%
2005-03-01,0.80%
2005-04-01,1.10%
2005-05-01,1.10%
2005-06-01,0.90%
2005-07-01,0.90%
2005-08-01,1.10%
2005-09-01,1.00%
2005-10-01,0.80%
2005-11-01,0.90%
2005-12-01,1.10%
2006-01-01,1.20%
2006-02-01,1.50%
2006-03-01,1.40%
2006-04-01,1.40%
2006-05-01,1.70%
2006-06-01,1.70%
2006-07-01,1.80%
2006-08-01,1.50%
2006-09-01,1.60%
2006-10-01,1.80%
2006-11-01,1.60%
2006-12-01,1.50%
2007-01-01,1.30%
2007-02-01,1.10%
2007-03-01,1.40%
2007-04-01,1.50%
2007-05-01,1.30%
2007-06-01,1.30%
2007-07-01,1.30%
2007-08-01,1.30%
2007-09-01,1.30%
2007-10-01,1.20%
2007-11-01,1.30%
2007-12-01,1.40%
2008-01-01,1.60%
2008-02-01,2.30%
2008-03-01,2.00%
2008-04-01,2.20%
2008-05-01,2.60%
2008-06-01,3.10%
2008-07-01,3.40%
2008-08-01,4.20%
2008-09-01,4.40%
2008-10-01,5.00%
2008-11-01,4.90%
2008-12-01,5.00%
2009-01-01,4.80%
2009-02-01,3.80%
2009-03-01,3.50%
2009-04-01,3.00%
2009-05-01,2.70%
2009-06-01,2.20%
2009-07-01,1.40%
2009-08-01,0.50%
2009-09-01,0.20%
2009-10-01,-0.10%
2009-11-01,0.00%
2009-12-01,-0.10%
2010-01-01,0.10%
2010-02-01,0.10%
2010-03-01,0.40%
2010-04-01,0.80%
2010-05-01,1.10%
2010-06-01,1.20%
2010-07-01,1.90%
2010-08-01,2.30%
2010-09-01,2.20%
2010-10-01,2.10%
2010-11-01,2.00%
2010-12-01,2.10%
2011-01-01,2.00%
2011-02-01,2.40%
2011-03-01,2.50%
2011-04-01,2.50%
2011-05-01,3.00%
2011-06-01,3.00%
2011-07-01,2.80%
2011-08-01,2.80%
2011-09-01,3.20%
2011-10-01,3.10%
2011-11-01,2.90%
2011-12-01,2.60%
2012-01-01,2.60%
2012-02-01,2.20%
2012-03-01,2.30%
2012-04-01,2.00%
2012-05-01,1.40%
2012-06-01,1.30%
2012-07-01,1.00%
2012-08-01,0.80%
2012-09-01,0.50%
2012-10-01,0.50%
2012-11-01,0.60%
2012-12-01,0.70%
2013-01-01,0.40%
2013-02-01,0.80%
2013-03-01,0.70%
2013-04-01,0.90%
2013-05-01,0.80%
2013-06-18,0.8%
2013-07-16,1.0%
2013-08-13,1.1%
2013-09-17,1.0%
2013-10-15,0.7%
2013-11-12,0.9%
2013-12-17,0.7%
2014-01-14,1.0%
2014-02-18,1.2%
2014-03-25,1.1%
2014-04-15,1.0%
2014-05-20,1.0%
2014-06-17,1.0%
2014-07-15,1.0%
2014-08-19,0.9%
2014-09-16,0.9%
2014-10-14,0.8%
2014-11-18,0.9%
2014-12-16,1.4%
2015-01-13,0.8%
2015-02-17,0.5%
2015-03-24,0.2%
2015-04-14,0.1%
2015-05-19,0.1%
2015-06-16,0.1%
2015-07-14,0.1%
2015-08-18,0.3%
2015-09-15,0.1%
2015-10-13,0.2%
2015-11-17,0.3%
2015-12-15,-0.1%
2016-01-19,0.1%
2016-02-16,0.0%
2016-03-22,0.2%
2016-04-12,0.2%
2016-05-17,0.5%
2016-06-14,0.5%
2016-07-19,0.7%
2016-08-16,1.0%
2016-09-13,1.3%
2016-10-18,1.4%
2016-11-15,1.9%
2016-12-13,2.2%
2017-01-17,2.1%
2017-02-14,2.4%
2017-03-21,2.4%
2017-04-11,2.5%
2017-05-16,2.8%
2017-06-13,2.8%
2017-07-18,2.9%
2017-08-15,2.4%
2017-09-12,2.5%
2017-10-17,2.5%
2017-11-14,2.1%
2017-12-12,2.2%
2018-01-16,2.5%
2018-02-13,2.2%
2018-03-20,2.4%
2018-04-18,2.2%
2018-05-23,2.4%
2018-06-13,2.1%
2018-07-18,2.1%
2018-08-15,2.2%
2018-09-19,2.1%
2018-10-17,2.4%
2018-11-14,2.4%
2018-12-19,2.4%
2019-01-16,2.5%
2019-02-13,2.4%
2019-03-20,2.2%
2019-04-17,2.2%
2019-05-22,2.2%
2019-06-19,2.0%
2019-07-17,1.7%
2019-08-14,2.0%
2019-09-18,2.0%
2019-10-16,1.7%
2019-11-13,1.3%
2019-12-18,1.1%
2020-01-15,0.9%
2020-02-19,0.7%
2020-03-25,0.4%
2020-04-22,0.9%
2020-05-20,0.6%
2020-06-17,0.6%
2020-07-15,0.5%
2020-08-19,0.1%
