Date,Value
1984-04-01,7.30%
1984-05-01,7.00%
1984-06-01,6.60%
1984-07-01,6.60%
1984-08-01,6.50%
1984-09-01,6.60%
1984-10-01,6.80%
1984-11-01,7.30%
1984-12-01,8.00%
1985-01-01,8.40%
1985-02-01,9.10%
1985-03-01,9.20%
1985-04-01,9.00%
1985-05-01,9.30%
1985-06-01,9.20%
1985-07-01,8.90%
1985-08-01,8.00%
1985-09-01,7.60%
1985-10-01,7.70%
1985-11-01,8.00%
1985-12-01,8.20%
1986-01-01,8.70%
1986-02-01,8.90%
1986-03-01,9.20%
1986-04-01,9.20%
1986-05-01,9.70%
1986-06-01,10.20%
1986-07-01,11.00%
1986-08-01,12.20%
1986-09-01,13.10%
1986-10-01,13.20%
1986-11-01,13.30%
1986-12-01,13.30%
1987-01-01,13.50%
1987-02-01,13.40%
1987-03-01,13.90%
1987-04-01,14.80%
1987-05-01,14.90%
1987-06-01,14.80%
1987-07-01,14.60%
1987-08-01,14.40%
1987-09-01,14.40%
1987-10-01,14.60%
1987-11-01,14.60%
1987-12-01,15.20%
1988-01-01,15.50%
1988-02-01,16.10%
1988-03-01,16.30%
1988-04-01,17.30%
1988-05-01,18.50%
1988-06-01,20.20%
1988-07-01,22.30%
1988-08-01,24.70%
1988-09-01,27.60%
1988-10-01,30.30%
1988-11-01,33.00%
1988-12-01,34.10%
1989-01-01,34.00%
1989-02-01,33.90%
1989-03-01,33.30%
1989-04-01,32.10%
1989-05-01,30.50%
1989-06-01,28.80%
1989-07-01,25.90%
1989-08-01,22.70%
1989-09-01,18.50%
1989-10-01,14.30%
1989-11-01,10.20%
1989-12-01,7.00%
1990-01-01,5.10%
1990-02-01,3.40%
1990-03-01,2.50%
1990-04-01,1.30%
1990-05-01,0.50%
1990-06-01,-0.70%
1990-07-01,-1.10%
1990-08-01,-1.70%
1990-09-01,-1.70%
1990-10-01,-1.40%
1990-11-01,-0.90%
1990-12-01,-0.20%
1991-01-01,0.00%
1991-02-01,0.30%
1991-03-01,0.00%
1991-04-01,-0.20%
1991-05-01,-0.60%
1991-06-01,-0.50%
1991-07-01,-0.50%
1991-08-01,-0.50%
1991-09-01,-0.80%
1991-10-01,-1.50%
1991-11-01,-1.80%
1991-12-01,-2.20%
1992-01-01,-2.40%
1992-02-01,-3.20%
1992-03-01,-3.80%
1992-04-01,-4.40%
1992-05-01,-4.90%
1992-06-01,-5.60%
