Date,Value
1970-01-01,2.60%
1970-02-01,-0.40%
1970-03-01,1.00%
1970-04-01,2.40%
1970-05-01,0.10%
1970-06-01,-0.80%
1970-07-01,-1.20%
1970-08-01,-0.40%
1970-09-01,1.10%
1970-10-01,0.60%
1970-11-01,3.60%
1970-12-01,0.00%
1971-01-01,0.10%
1971-02-01,3.30%
1971-03-01,-0.40%
1971-04-01,-2.80%
1971-05-01,-0.80%
1971-06-01,0.50%
1971-07-01,0.00%
1971-08-01,-1.00%
1971-09-01,-0.40%
1971-10-01,-0.70%
1971-11-01,-2.00%
1971-12-01,-0.80%
1972-01-01,-1.10%
1972-02-01,-4.40%
1972-03-01,-10.30%
1972-04-01,-0.30%
1972-05-01,0.50%
1972-06-01,2.20%
1972-07-01,3.00%
1972-08-01,2.30%
1972-09-01,2.60%
1972-10-01,5.00%
1972-11-01,6.20%
1972-12-01,7.40%
1973-01-01,7.40%
1973-02-01,14.00%
1973-03-01,22.70%
1973-04-01,13.00%
1973-05-01,9.30%
1973-06-01,7.20%
1973-07-01,8.60%
1973-08-01,9.40%
1973-09-01,8.40%
1973-10-01,6.30%
1973-11-01,6.00%
1973-12-01,3.90%
1974-01-01,2.20%
1974-02-01,-8.00%
1974-03-01,-7.10%
1974-04-01,-4.90%
1974-05-01,1.00%
1974-06-01,2.00%
1974-07-01,0.60%
1974-08-01,0.60%
1974-09-01,1.00%
1974-10-01,-0.40%
1974-11-01,-3.30%
1974-12-01,-2.50%
1975-01-01,-3.10%
1975-02-01,5.50%
1975-03-01,4.60%
1975-04-01,-1.00%
1975-05-01,-7.50%
1975-06-01,-9.80%
1975-07-01,-9.60%
1975-08-01,-10.30%
1975-09-01,-11.80%
1975-10-01,-8.40%
1975-11-01,-5.40%
1975-12-01,-5.10%
1976-01-01,-4.10%
1976-02-01,-4.50%
1976-03-01,-2.60%
1976-04-01,-0.10%
1976-05-01,2.40%
1976-06-01,5.40%
1976-07-01,2.70%
1976-08-01,4.20%
1976-09-01,5.50%
1976-10-01,5.30%
1976-11-01,6.30%
1976-12-01,6.90%
1977-01-01,8.30%
1977-02-01,9.70%
1977-03-01,7.90%
1977-04-01,7.60%
1977-05-01,5.90%
1977-06-01,6.90%
1977-07-01,4.70%
1977-08-01,5.00%
1977-09-01,6.00%
1977-10-01,4.60%
1977-11-01,2.10%
1977-12-01,0.50%
1978-01-01,1.70%
1978-02-01,-0.40%
1978-03-01,0.00%
1978-04-01,-1.10%
1978-05-01,5.90%
1978-06-01,-0.20%
1978-07-01,3.90%
1978-08-01,4.90%
1978-09-01,4.80%
1978-10-01,4.30%
1978-11-01,2.60%
1978-12-01,4.20%
1979-01-01,5.50%
1979-02-01,-1.70%
1979-03-01,5.70%
1979-04-01,8.10%
1979-05-01,1.70%
1979-06-01,6.90%
1979-07-01,8.70%
1979-08-01,5.80%
1979-09-01,1.40%
1979-10-01,1.10%
1979-11-01,3.50%
1979-12-01,4.10%
1980-01-01,1.50%
1980-02-01,8.30%
1980-03-01,-1.50%
1980-04-01,-3.30%
1980-05-01,-5.90%
1980-06-01,-7.20%
1980-07-01,-8.60%
1980-08-01,-9.50%
1980-09-01,-7.80%
1980-10-01,-9.00%
1980-11-01,-9.70%
1980-12-01,-10.90%
1981-01-01,-12.00%
1981-02-01,-11.60%
1981-03-01,-8.70%
1981-04-01,-8.00%
1981-05-01,-5.00%
1981-06-01,-6.40%
1981-07-01,-4.50%
1981-08-01,-2.10%
1981-09-01,-0.40%
1981-10-01,1.50%
1981-11-01,4.20%
1981-12-01,3.00%
1982-01-01,2.10%
1982-02-01,2.50%
