Date,Value
2008-03-03,51.3
2008-04-01,51.3
2008-05-01,51.0
2008-06-02,50.0
2008-07-01,45.8
2008-08-01,44.3
2008-09-01,45.9
2008-10-01,41.0
2008-11-03,41.5
2008-12-01,34.4
2009-01-02,34.9
2009-02-02,35.8
2009-03-02,34.7
2009-04-01,39.1
2009-05-01,42.9
2009-06-01,45.4
2009-07-01,47.0
2009-08-03,50.8
2009-09-01,49.7
2009-10-01,49.5
2009-11-02,53.7
2009-12-01,51.8
2010-01-04,54.1
2010-02-01,56.7
2010-03-01,56.6
2010-04-01,57.2
2010-05-04,58.0
2010-06-01,58.0
2010-07-01,57.5
2010-08-02,57.3
2010-09-01,54.3
2010-10-01,53.4
2010-11-01,54.9
2010-12-01,58.0
2011-01-04,58.3
2011-02-01,62.0
2011-03-01,61.5
2011-04-01,57.1
2011-05-03,54.6
2011-06-01,52.1
2011-07-01,51.3
2011-08-01,49.1
2011-09-01,49.0
2011-10-03,51.1
2011-11-01,47.4
2011-12-01,47.6
2012-01-03,49.6
2012-02-01,52.1
2012-03-01,51.2
2012-04-02,52.1
2012-05-01,50.5
2012-06-01,45.9
2012-07-02,48.6
2012-08-01,45.4
2012-09-03,49.5
2012-10-01,48.4
2012-11-01,47.5
2012-12-03,49.1
2013-01-02,51.4
2013-02-01,50.8
2013-03-01,47.9
2013-04-02,48.3
2013-05-01,49.8
2013-06-03,51.3
2013-07-01,52.5
2013-08-01,54.6
2013-09-02,57.2
2013-10-01,56.7
2013-11-01,56.0
2013-12-02,58.4
2014-01-02,57.3
2014-02-03,56.7
2014-03-03,56.9
2014-04-01,55.3
2014-05-01,57.3
2014-06-02,57.0
2014-07-01,57.5
2014-08-01,55.4
2014-09-01,52.5
2014-10-01,51.6
2014-11-03,53.2
2014-12-01,53.5
2015-01-02,52.5
2015-02-02,53.0
2015-03-02,54.1
2015-04-01,54.4
2015-05-01,51.9
2015-06-01,52.0
2015-07-01,51.4
2015-08-03,51.9
2015-09-01,51.5
2015-10-01,51.5
2015-11-02,55.5
2015-12-01,52.7
2016-01-04,51.9
2016-02-01,52.9
2016-03-01,50.8
2016-04-01,51.0
2016-05-03,49.2
2016-06-01,50.1
2016-07-01,52.1
2016-07-22,49.1
2016-08-01,48.2
2016-09-01,53.3
2016-10-03,55.4
2016-11-01,54.3
2016-12-01,53.4
2017-01-03,56.1
2017-02-01,55.9
2017-03-01,54.6
2017-04-03,54.2
2017-05-02,57.3
2017-06-01,56.7
2017-07-03,54.3
2017-08-01,55.1
2017-09-01,56.9
2017-10-02,55.9
2017-11-01,56.3
2017-12-01,58.2
2018-01-02,56.3
2018-02-01,55.3
2018-03-01,55.2
2018-04-03,55.1
2018-05-01,53.9
2018-06-01,54.4
2018-07-02,54.4
2018-08-01,54.0
2018-09-03,52.8
2018-10-01,53.8
2018-11-01,51.1
2018-12-03,53.1
2019-01-02,54.2
2019-02-01,52.8
2019-03-01,52.0
2019-04-01,55.1
2019-05-01,53.1
2019-06-03,49.4
2019-07-01,48.0
2019-08-01,48.0
2019-09-02,47.4
2019-10-01,48.3
2019-11-01,49.6
2019-11-22,48.3
2019-12-02,48.9
2019-12-16,47.4
2020-01-02,47.5
2020-01-24,49.8
2020-02-03,50.0
2020-02-21,51.9
2020-03-02,51.7
2020-03-24,48.0
2020-04-01,47.8
2020-04-23,32.9
2020-05-01,32.6
2020-05-21,40.6
2020-06-01,40.7
2020-06-23,50.1
2020-07-01,50.1
2020-07-24,53.6
2020-08-03,53.3
2020-08-21,55.3
2020-09-01,55.2
2020-09-23,54.3
2020-10-01,54.1
