Date,Value
1986-11-01,120.80K
1986-12-01,115.80K
1987-01-01,120.80K
1987-02-01,118.40K
1987-03-01,111.40K
1987-04-01,115.40K
1987-05-01,116.20K
1987-06-01,111.20K
1987-07-01,115.20K
1987-08-01,118.30K
1987-09-01,122.30K
1987-10-01,127.30K
1987-11-01,128.90K
1987-12-01,127.90K
1988-01-01,129.90K
1988-02-01,132.50K
1988-03-01,143.50K
1988-04-01,151.50K
1988-05-01,142.80K
1988-06-01,151.80K
1988-07-01,150.80K
1988-08-01,143.20K
1988-09-01,127.20K
1988-10-01,120.20K
1988-11-01,114.10K
1988-12-01,112.10K
1989-01-01,106.10K
1989-02-01,96.70K
1989-03-01,96.70K
1989-04-01,95.70K
1989-05-01,99.40K
1989-06-01,92.40K
1989-07-01,91.40K
1989-08-01,88.60K
1989-09-01,102.60K
1989-10-01,103.60K
1989-11-01,101.10K
1989-12-01,102.10K
1990-01-01,99.10K
1990-02-01,105.60K
1990-03-01,103.60K
1990-04-01,98.60K
1990-05-01,82.10K
1990-06-01,82.10K
1990-07-01,79.10K
1990-08-01,81.90K
1990-09-01,83.90K
1990-10-01,80.90K
1990-11-01,88.20K
1990-12-01,92.20K
1991-01-01,89.20K
1991-02-01,85.30K
1991-03-01,80.30K
1991-04-01,75.30K
1991-05-01,86.60K
1991-06-01,88.60K
1991-07-01,83.60K
1991-08-01,82.90K
1991-09-01,79.90K
1991-10-01,81.90K
1991-11-01,83.40K
1991-12-01,78.40K
1992-01-01,77.40K
1992-02-01,77.60K
1992-03-01,75.60K
1992-04-01,78.60K
1992-05-01,74.10K
1992-06-01,74.10K
1992-07-01,74.10K
1992-08-01,81.50K
1992-09-01,74.50K
1992-10-01,64.50K
1992-11-01,66.60K
1992-12-01,62.60K
1993-01-01,73.60K
1993-02-01,79.30K
1993-03-01,79.30K
1993-04-01,74.30K
1993-05-01,86.87K
1993-06-01,87.82K
1993-07-01,84.05K
1993-08-01,82.60K
1993-09-01,81.88K
1993-10-01,82.05K
1993-11-01,79.96K
1993-12-01,83.27K
1994-01-01,81.64K
1994-02-01,89.88K
1994-03-01,90.58K
1994-04-01,87.94K
1994-05-01,87.45K
1994-06-01,86.86K
1994-07-01,83.81K
1994-08-01,79.75K
1994-09-01,77.91K
1994-10-01,82.34K
1994-11-01,81.84K
1994-12-01,82.47K
1995-01-01,87.41K
1995-02-01,80.06K
1995-03-01,80.57K
1995-04-01,74.06K
1995-05-01,75.19K
1995-06-01,70.48K
1995-07-01,68.65K
1995-08-01,72.61K
1995-09-01,75.38K
1995-10-01,74.27K
1995-11-01,80.07K
1995-12-01,81.07K
1996-01-01,84.53K
1996-02-01,85.45K
1996-03-01,79.92K
1996-04-01,82.97K
1996-05-01,81.01K
