Date,Value
1986-11-01,2.16B
1986-12-01,1.96B
1987-01-01,2.01B
1987-02-01,2.04B
1987-03-01,1.92B
1987-04-01,1.67B
1987-05-01,2.13B
1987-06-01,1.97B
1987-07-01,1.91B
1987-08-01,2.27B
1987-09-01,1.99B
1987-10-01,2.21B
1987-11-01,2.15B
1987-12-01,2.41B
1988-01-01,2.42B
1988-02-01,2.47B
1988-03-01,2.57B
1988-04-01,2.93B
1988-05-01,2.88B
1988-06-01,2.99B
1988-07-01,3.13B
1988-08-01,3.57B
1988-09-01,3.45B
1988-10-01,2.99B
1988-11-01,2.64B
1988-12-01,2.57B
1989-01-01,2.52B
1989-02-01,2.55B
1989-03-01,2.54B
1989-04-01,2.49B
1989-05-01,2.33B
1989-06-01,2.45B
1989-07-01,2.76B
1989-08-01,2.51B
1989-09-01,2.67B
1989-10-01,3.01B
1989-11-01,2.93B
1989-12-01,2.84B
1990-01-01,3.19B
1990-02-01,2.87B
1990-03-01,3.03B
1990-04-01,2.97B
1990-05-01,2.92B
1990-06-01,2.83B
1990-07-01,2.75B
1990-08-01,2.72B
1990-09-01,2.62B
1990-10-01,2.60B
1990-11-01,2.77B
1990-12-01,2.82B
1991-01-01,2.49B
1991-02-01,2.47B
1991-03-01,2.40B
1991-04-01,2.49B
1991-05-01,2.27B
1991-06-01,2.32B
1991-07-01,2.20B
1991-08-01,2.17B
1991-09-01,2.12B
1991-10-01,2.06B
1991-11-01,1.88B
1991-12-01,2.05B
1992-01-01,1.70B
1992-02-01,2.01B
1992-03-01,1.88B
1992-04-01,1.62B
1992-05-01,1.77B
1992-06-01,1.58B
1992-07-01,1.50B
1992-08-01,1.81B
1992-09-01,1.91B
1992-10-01,1.08B
1992-11-01,1.04B
1992-12-01,0.81B
1993-01-01,1.44B
1993-02-01,1.17B
1993-03-01,1.10B
1993-04-01,1.05B
1993-05-01,1.18B
1993-06-01,1.37B
1993-07-01,1.16B
1993-08-01,1.35B
1993-09-01,1.17B
1993-10-01,1.70B
1993-11-01,1.66B
1993-12-01,1.51B
1994-01-01,1.45B
1994-02-01,1.47B
1994-03-01,1.38B
1994-04-01,1.64B
1994-05-01,1.62B
1994-06-01,1.49B
1994-07-01,1.72B
1994-08-01,1.81B
1994-09-01,1.56B
1994-10-01,1.42B
1994-11-01,1.52B
1994-12-01,1.45B
1995-01-01,1.51B
1995-02-01,1.42B
1995-03-01,1.46B
1995-04-01,1.32B
1995-05-01,1.35B
1995-06-01,1.18B
1995-07-01,1.17B
1995-08-01,0.95B
1995-09-01,0.91B
1995-10-01,1.42B
1995-11-01,1.01B
1995-12-01,1.01B
1996-01-01,1.23B
1996-02-01,1.37B
1996-03-01,1.26B
1996-04-01,1.42B
1996-05-01,1.25B
1996-06-01,1.44B
1996-07-01,1.63B
1996-08-01,1.26B
1996-09-01,1.43B
1996-10-01,1.65B
1996-11-01,1.80B
1996-12-01,1.89B
1997-01-01,1.94B
1997-02-01,1.78B
1997-03-01,1.92B
1997-04-01,2.11B
1997-05-01,1.62B
1997-06-01,2.03B
1997-07-01,1.95B
1997-08-01,1.61B
1997-09-01,1.90B
1997-10-01,1.93B
1997-11-01,1.81B
1997-12-01,1.84B
1998-01-01,1.83B
1998-02-01,1.94B
1998-03-01,1.93B
1998-04-01,1.80B
1998-05-01,1.94B
1998-06-01,1.95B
1998-07-01,2.06B
1998-08-01,2.28B
1998-09-01,2.03B
1998-10-01,1.99B
1998-11-01,2.03B
1998-12-01,1.96B
1999-01-01,2.15B
1999-02-01,2.26B
1999-03-01,2.28B
1999-04-01,3.11B
1999-05-01,3.01B
1999-06-01,2.86B
1999-07-01,2.91B
1999-08-01,3.35B
1999-09-01,3.05B
1999-10-01,3.32B
1999-11-01,3.72B
1999-12-01,3.04B
2000-01-01,3.19B
2000-02-01,3.26B
2000-03-01,2.93B
2000-04-01,3.62B
2000-05-01,3.27B
2000-06-01,3.23B
2000-07-01,3.70B
2000-08-01,2.78B
2000-09-01,3.17B
2000-10-01,2.95B
2000-11-01,2.99B
2000-12-01,3.33B
2001-01-01,3.62B
2001-02-01,3.68B
2001-03-01,3.70B
2001-04-01,3.84B
2001-05-01,4.03B
2001-06-01,4.21B
2001-07-01,4.27B
2001-08-01,4.56B
2001-09-01,4.89B
2001-10-01,4.38B
2001-11-01,4.53B
2001-12-01,4.74B
2002-01-01,4.79B
2002-02-01,4.98B
2002-03-01,5.32B
2002-04-01,5.66B
2002-05-01,5.84B
2002-06-01,6.39B
2002-07-01,6.40B
2002-08-01,6.22B
2002-09-01,6.78B
2002-10-01,6.91B
2002-11-01,7.68B
2002-12-01,7.30B
2003-01-01,7.33B
2003-02-01,7.68B
2003-03-01,7.25B
2003-04-01,7.43B
2003-05-01,7.36B
2003-06-01,7.50B
2003-07-01,7.68B
2003-08-01,8.49B
2003-09-01,7.86B
2003-10-01,9.69B
2003-11-01,10.18B
2003-12-01,8.95B
2004-01-01,8.91B
2004-02-01,9.14B
2004-03-01,8.97B
2004-04-01,8.96B
2004-05-01,9.27B
2004-06-01,8.38B
2004-07-01,8.94B
2004-08-01,8.81B
2004-09-01,7.96B
2004-10-01,7.55B
2004-11-01,7.22B
2004-12-01,5.57B
2005-01-01,8.42B
2005-02-01,6.42B
2005-03-01,7.04B
2005-04-01,6.31B
2005-05-01,7.54B
2005-06-01,7.18B
2005-07-01,7.26B
2005-08-01,6.84B
2005-09-01,7.43B
2005-10-01,7.45B
2005-11-01,7.54B
2005-12-01,7.81B
2006-01-01,8.08B
2006-02-01,8.19B
2006-03-01,7.43B
2006-04-01,8.77B
2006-05-01,8.22B
2006-06-01,9.28B
2006-07-01,8.62B
2006-08-01,9.08B
2006-09-01,9.32B
2006-10-01,8.69B
2006-11-01,10.31B
2006-12-01,10.00B
2007-01-01,9.60B
2007-02-01,9.64B
2007-03-01,8.97B
2007-04-01,8.97B
2007-05-01,8.56B
2007-06-01,9.02B
2007-07-01,9.25B
2007-08-01,9.20B
2007-09-01,9.17B
2007-10-01,9.63B
2007-11-01,7.77B
2007-12-01,7.33B
2008-01-01,6.85B
2008-02-01,6.34B
2008-03-01,6.01B
2008-04-01,5.68B
2008-05-01,4.96B
2008-06-01,3.51B
2008-07-01,2.67B
2008-08-01,3.01B
2008-09-01,0.24B
2008-10-01,1.20B
2008-11-01,0.32B
2008-12-01,0.50B
2009-01-01,1.03B
2009-02-01,0.34B
2009-03-01,0.91B
2009-04-01,0.40B
2009-05-01,0.85B
2009-06-01,0.11B
2009-07-01,0.43B
2009-08-01,-0.03B
2009-09-01,0.99B
2009-10-01,1.17B
2009-11-01,0.97B
2009-12-01,1.49B
2010-01-01,1.21B
2010-02-01,0.98B
2010-03-01,0.98B
2010-04-01,0.50B
2010-05-01,0.13B
2010-06-01,0.76B
2010-07-01,0.67B
2010-08-01,-0.28B
2010-09-01,1.52B
2010-10-01,0.29B
2010-11-01,0.59B
2010-12-01,0.57B
2011-01-01,-0.16B
2011-02-01,1.16B
2011-03-01,0.39B
2011-04-01,0.36B
2011-05-01,0.53B
2011-06-01,1.13B
2011-07-01,-0.25B
2011-08-01,0.41B
2011-09-01,0.86B
2011-10-01,0.52B
2011-11-01,1.00B
2011-12-01,0.63B
2012-01-01,0.28B
2012-02-01,1.61B
2012-03-01,0.90B
2012-03-29,1.20B
2012-05-02,1.00B
2012-05-30,1.10B
2012-07-03,0.60B
2012-07-30,-0.40B
2012-08-30,1.10B
2012-10-01,-0.30B
2012-10-29,0.50B
2013-01-04,-0.20B
2013-01-30,1.00B
2013-03-01,0.10B
2013-04-02,0.90B
2013-04-30,0.40B
2013-05-31,0.90B
2013-07-01,0.30B
2013-07-29,1.00B
2013-08-30,0.70B
2013-09-30,1.00B
2013-10-29,1.00B
2013-11-29,1.20B
2014-01-03,0.90B
2014-01-30,1.70B
2014-03-03,1.40B
2014-03-31,1.70B
2014-05-01,1.80B
2014-06-02,1.70B
2014-06-30,2.00B
2014-07-29,2.10B
2014-09-01,2.30B
2014-09-29,2.30B
2014-10-29,1.80B
2014-12-01,1.50B
2015-01-02,2.10B
2015-01-30,1.60B
2015-03-02,1.60B
2015-03-30,1.70B
2015-05-01,1.80B
2015-06-02,1.70B
2015-06-29,2.10B
2015-07-29,2.60B
2015-09-01,2.70B
2015-09-29,3.40B
2015-10-29,3.60B
