Date,Value
2008-03-04,78
2008-04-08,77
2008-05-06,70
2008-06-03,69
2008-07-08,63
2008-08-05,51
2008-09-02,52
2008-10-07,50
2008-11-04,55
2008-12-02,50
2009-01-06,47
2009-02-03,40
2009-03-03,43
2009-04-07,41
2009-05-05,50
2009-06-02,53
2009-07-07,58
2009-08-04,60
2009-09-08,63
2009-10-06,71
2009-11-03,72
2009-12-08,73
2010-01-05,69
2010-02-02,73
2010-03-02,80
2010-04-14,72
2010-05-12,74
2010-06-15,65
2010-07-13,63
2010-08-10,56
2010-09-13,61
2010-10-12,53
2010-11-11,52
2010-12-16,45
2011-01-17,53
2011-02-15,47
2011-03-17,38
2011-04-13,44
2011-05-18,43
2011-06-14,55
2011-07-20,51
2011-08-24,49
2011-09-20,48
2011-10-20,45
2011-11-16,36
2011-12-19,40
2012-01-18,38
2012-02-15,47
2012-03-22,44
2012-04-25,53
2012-05-10,44
2012-06-15,41
