Date,Value
1997-02-01,-5.20%
1997-03-01,-6.30%
1997-04-01,-8.40%
1997-05-01,-11.40%
1997-06-01,-9.20%
1997-07-01,-8.80%
1997-08-01,-8.20%
1997-09-01,-7.30%
1997-10-01,-8.20%
1997-11-01,-8.70%
1997-12-01,-8.40%
1998-01-01,-9.20%
1998-02-01,-9.90%
1998-03-01,-9.30%
1998-04-01,-9.30%
1998-05-01,-8.20%
1998-06-01,-8.00%
1998-07-01,-9.10%
1998-08-01,-8.60%
1998-09-01,-9.20%
1998-10-01,-9.20%
1998-11-01,-9.40%
1998-12-01,-8.40%
1999-01-01,-9.20%
1999-02-01,-7.30%
1999-03-01,-7.10%
1999-04-01,-5.00%
1999-05-01,-2.80%
1999-06-01,-4.30%
1999-07-01,-2.00%
1999-08-01,0.80%
1999-09-01,0.70%
1999-10-01,1.50%
1999-11-01,1.30%
1999-12-01,4.00%
2000-01-01,5.90%
2000-02-01,4.80%
2000-03-01,7.60%
2000-04-01,7.10%
2000-05-01,3.50%
2000-06-01,7.60%
2000-07-01,9.00%
2000-08-01,6.20%
2000-09-01,8.10%
2000-10-01,10.50%
2000-11-01,10.20%
2000-12-01,9.10%
2001-01-01,4.60%
2001-02-01,4.80%
2001-03-01,4.40%
2001-04-01,2.50%
2001-05-01,6.10%
2001-06-01,3.80%
2001-07-01,1.70%
2001-08-01,-0.60%
2001-09-01,-3.00%
2001-10-01,-6.50%
2001-11-01,-8.40%
2001-12-01,-10.00%
2002-01-01,-7.60%
2002-02-01,-6.80%
2002-03-01,-8.00%
2002-04-01,-4.90%
2002-05-01,-5.50%
2002-06-01,-7.10%
2002-07-01,-7.30%
2002-08-01,-5.30%
2002-09-01,-3.80%
2002-10-01,-2.70%
2002-11-01,-0.30%
2002-12-01,-1.60%
2003-01-01,1.30%
2003-02-01,1.80%
2003-03-01,2.60%
2003-04-01,1.60%
2003-05-01,-1.50%
2003-06-01,-1.50%
2003-07-01,-0.70%
2003-08-01,1.00%
2003-09-01,2.10%
2003-10-01,0.70%
2003-11-01,2.00%
2003-12-01,4.00%
2004-01-01,1.60%
2004-02-01,-0.50%
2004-03-01,-2.10%
2004-04-01,0.20%
2004-05-01,3.10%
2004-06-01,6.10%
2004-07-01,3.60%
2004-08-01,3.20%
2004-09-01,4.00%
2004-10-01,6.80%
2004-11-01,8.20%
2004-12-01,5.30%
2005-01-01,2.70%
2005-02-01,7.60%
2005-03-01,9.10%
2005-04-01,9.20%
2005-05-01,8.60%
2005-06-01,6.10%
2005-07-01,10.90%
2005-08-01,14.20%
2005-09-01,12.90%
2005-10-01,10.30%
2005-11-01,8.80%
2005-12-01,14.40%
2006-01-01,19.30%
2006-02-01,17.10%
2006-03-01,15.80%
2006-04-01,13.70%
2006-05-01,16.40%
2006-06-01,14.30%
2006-07-01,11.40%
2006-08-01,10.30%
2006-09-01,8.00%
2006-10-01,5.40%
2006-11-01,3.80%
2006-12-01,2.30%
2007-01-01,1.30%
2007-02-01,-3.70%
2007-03-01,-2.10%
2007-04-01,-0.40%
2007-05-01,-1.90%
2007-06-01,0.40%
2007-07-01,1.70%
2007-08-01,0.20%
2007-09-01,-0.10%
2007-10-01,6.10%
2007-11-01,9.70%
2007-12-01,12.30%
2008-01-01,13.50%
2008-02-01,20.70%
2008-03-01,21.60%
2008-04-01,21.80%
2008-05-01,25.90%
2008-06-01,30.90%
2008-07-01,34.80%
2008-08-01,32.30%
2008-09-01,29.80%
2008-10-01,24.20%
2008-11-01,15.90%
2008-12-01,8.50%
2009-01-01,3.70%
2009-02-01,1.70%
2009-03-01,-0.20%
2009-04-01,-1.60%
2009-05-01,-7.30%
2009-06-01,-10.80%
2009-07-01,-14.50%
2009-08-01,-14.80%
2009-09-01,-10.60%
2009-10-01,-8.90%
2009-11-01,-2.50%
2009-12-01,0.60%
2010-01-01,3.80%
2010-02-01,4.10%
2010-03-01,4.70%
2010-04-01,6.90%
2010-05-01,9.40%
2010-06-01,9.20%
2010-07-01,8.30%
2010-08-01,9.00%
2010-09-01,7.50%
2010-10-01,8.30%
2010-11-01,8.20%
2010-12-01,8.90%
2011-01-01,12.10%
2011-02-01,13.20%
2011-03-01,13.90%
2011-04-01,13.50%
2011-05-01,16.90%
2011-06-01,15.30%
2011-07-01,16.40%
2011-08-01,17.60%
2011-09-01,15.60%
2011-10-01,16.90%
2011-11-01,13.40%
2011-12-01,12.80%
2012-01-01,8.60%
2012-02-01,6.40%
2012-03-01,7.50%
2012-04-01,5.70%
2012-05-11,1.2%
2012-06-08,0.1%
2012-07-06,-2.3%
2012-08-10,-2.4%
2012-09-07,1.4%
2012-10-16,-1.2%
2012-11-13,0.1%
2012-12-18,-0.3%
2013-01-15,0.3%
2013-02-12,1.8%
2013-03-19,2.5%
2013-04-16,0.4%
2013-05-21,-0.1%
2013-06-18,2.2%
2013-07-16,4.2%
2013-08-13,5.0%
2013-09-17,2.8%
2013-10-15,1.1%
2013-11-12,-0.3%
2013-12-17,-1.0%
2014-01-14,-1.2%
2014-02-18,-3.1%
2014-03-25,-5.7%
2014-04-15,-6.5%
2014-05-20,-5.5%
2014-06-17,-5.0%
2014-07-15,-4.4%
2014-08-19,-7.3%
2014-09-16,-7.2%
2014-10-14,-7.4%
2014-11-18,-8.4%
2014-12-16,-8.8%
2015-01-13,-10.7%
2015-02-17,-14.2%
2015-03-24,-13.5%
2015-04-14,-13.0%
2015-05-19,-11.7%
2015-06-16,-12.0%
2015-07-14,-12.6%
2015-08-18,-12.4%
2015-09-15,-13.8%
2015-10-13,-13.3%
2015-11-17,-12.1%
2015-12-15,-13.1%
2016-01-19,-10.8%
2016-02-16,-7.6%
2016-03-22,-8.1%
2016-04-12,-6.5%
2016-05-17,-6.5%
2016-06-14,-3.9%
2016-07-19,-0.5%
2016-08-16,4.3%
2016-09-13,7.6%
2016-10-18,7.2%
2016-11-15,12.2%
2016-12-13,12.9%
2017-01-17,15.8%
2017-02-14,20.5%
2017-03-21,19.1%
2017-04-11,17.9%
2017-05-16,16.6%
2017-06-13,11.6%
2017-07-18,9.9%
2017-08-15,6.5%
2017-09-12,7.6%
2017-10-17,8.4%
2017-11-14,4.6%
2017-12-12,7.3%
2018-01-16,4.9%
2018-02-13,4.7%
2018-03-20,3.4%
2018-04-18,4.2%
2018-05-23,5.3%
2018-06-13,9.2%
2018-07-18,10.2%
2018-08-15,10.9%
2018-09-19,8.7%
2018-10-17,10.3%
2018-11-14,10.0%
2018-12-19,5.6%
2019-01-16,3.7%
2019-02-13,2.9%
2019-03-20,3.7%
2019-04-17,3.7%
2019-05-22,3.8%
2019-06-19,1.3%
2019-07-17,-0.3%
2019-08-14,1.3%
2019-09-18,-0.8%
2019-10-16,-2.8%
2019-11-13,-5.1%
2019-12-18,-2.7%
2020-01-15,-0.1%
2020-02-19,2.1%
2020-03-25,-0.5%
2020-04-22,-2.9%
2020-05-20,-9.8%
2020-06-17,-10.0%
2020-07-15,-6.4%
2020-08-19,-5.7%
2020-09-16,-5.8%
