Date,Value
2008-03-05,54.0
2008-04-03,52.1
2008-05-06,50.4
2008-06-04,49.8
2008-07-03,47.1
2008-08-05,47.4
2008-09-03,49.2
2008-10-03,46.0
2008-11-05,42.4
2008-12-03,40.1
2009-01-06,40.2
2009-02-04,42.5
2009-03-04,43.2
2009-04-03,45.5
2009-05-06,48.7
2009-06-03,51.7
2009-07-03,51.6
2009-08-05,53.2
2009-09-03,54.1
2009-10-05,55.3
2009-11-04,56.9
2009-12-03,56.6
2010-01-06,56.8
2010-02-03,54.5
2010-03-03,58.4
2010-04-07,56.5
2010-05-06,55.3
2010-06-03,55.4
2010-07-05,54.4
2010-08-04,53.1
2010-09-03,51.3
2010-10-05,52.8
2010-11-03,53.2
2010-12-03,53.0
2011-01-06,49.7
2011-02-03,54.5
2011-03-03,52.6
2011-04-05,57.1
2011-05-05,54.3
2011-06-03,53.8
2011-07-05,53.9
2011-08-03,55.4
2011-09-05,51.1
2011-10-05,52.9
2011-11-03,51.3
2011-12-05,52.1
2012-01-05,54.0
2012-02-03,56.0
2012-03-05,53.8
2012-04-04,55.3
2012-05-03,53.3
2012-06-07,53.3
2012-07-04,51.3
2012-08-03,51.0
2012-09-04,53.7
2012-10-03,52.2
2012-11-05,50.6
2012-12-05,50.2
2013-01-04,48.9
2013-02-05,51.5
2013-03-05,51.8
2013-04-04,52.4
2013-05-03,52.9
2013-06-05,54.9
2013-07-03,56.9
2013-08-05,60.2
2013-09-04,60.5
2013-10-03,60.3
2013-11-05,62.5
2013-12-04,60.0
2014-01-06,58.8
2014-02-05,58.3
2014-03-05,58.2
2014-04-03,57.6
2014-05-06,58.7
2014-06-04,58.6
2014-07-03,57.7
2014-08-05,59.1
2014-09-03,60.5
2014-10-03,58.7
2014-11-05,56.2
2014-12-03,58.6
2015-01-06,55.8
2015-02-04,57.2
2015-03-04,56.7
2015-04-07,58.9
2015-05-06,59.5
2015-06-03,56.5
2015-07-03,58.5
2015-08-05,57.4
2015-09-03,55.6
2015-10-05,53.3
2015-11-04,54.9
2015-12-03,55.9
2016-01-06,55.5
2016-02-03,55.6
2016-03-03,52.7
2016-04-05,53.7
2016-05-05,52.3
2016-06-03,53.5
2016-07-05,52.3
2016-07-22,47.4
2016-08-03,47.4
2016-09-05,52.9
2016-10-05,52.6
2016-11-03,54.5
2016-12-05,55.2
2017-01-05,56.2
2017-02-03,54.5
2017-03-03,53.3
2017-04-05,55.0
2017-05-04,55.8
2017-06-05,53.8
2017-07-05,53.4
2017-08-03,53.8
2017-09-05,53.2
2017-10-04,53.6
2017-11-03,55.6
2017-12-05,53.8
2018-01-04,54.2
2018-02-05,53.0
2018-03-05,54.5
2018-04-05,51.7
2018-05-03,52.8
2018-06-05,54.0
2018-07-04,55.1
2018-08-03,53.5
2018-09-05,54.3
2018-10-03,53.9
2018-11-05,52.2
2018-12-05,50.4
2019-01-04,51.2
2019-02-05,50.1
2019-03-05,51.3
2019-04-03,48.9
2019-05-03,50.4
2019-06-05,51.0
2019-07-03,50.2
2019-08-05,51.4
2019-09-04,50.6
2019-10-03,49.5
2019-11-05,50.0
2019-11-22,48.6
2019-12-04,49.3
2019-12-16,49.0
2020-01-06,50.0
2020-01-24,52.9
2020-02-05,53.9
2020-02-21,53.3
2020-03-04,53.2
2020-03-24,35.7
2020-04-03,34.5
2020-04-23,12.3
2020-05-05,13.4
2020-05-21,27.8
2020-06-03,29.0
2020-06-23,47.0
2020-07-03,47.1
2020-07-24,56.6
2020-08-05,56.5
2020-08-21,60.1
2020-09-03,58.8
2020-09-23,55.1
