Date,Value
1970-01-01,8.98M
1970-02-01,8.52M
1970-03-01,9.13M
1970-04-01,8.59M
1970-05-01,8.93M
1970-06-01,8.95M
1970-07-01,9.35M
1970-08-01,9.05M
1970-09-01,8.85M
1970-10-01,8.86M
1970-11-01,7.47M
1970-12-01,6.36M
1971-01-01,6.76M
1971-02-01,9.76M
1971-03-01,9.82M
1971-04-01,10.35M
1971-05-01,9.96M
1971-06-01,9.77M
1971-07-01,10.10M
1971-08-01,9.56M
1971-09-01,10.01M
1971-10-01,11.51M
1971-11-01,11.15M
1971-12-01,10.68M
1972-01-01,10.07M
1972-02-01,10.36M
1972-03-01,10.55M
1972-04-01,10.50M
1972-05-01,10.59M
1972-06-01,10.80M
1972-07-01,10.57M
1972-08-01,10.70M
1972-09-01,10.92M
1972-10-01,10.80M
1972-11-01,11.23M
1972-12-01,11.61M
1973-01-01,11.85M
1973-02-01,11.95M
1973-03-01,12.12M
1973-04-01,12.84M
1973-05-01,12.34M
1973-06-01,12.41M
1973-07-01,11.63M
1973-08-01,11.35M
1973-09-01,10.92M
1973-10-01,11.13M
1973-11-01,9.75M
1973-12-01,10.15M
1974-01-01,9.61M
1974-02-01,9.60M
1974-03-01,9.13M
1974-04-01,9.17M
1974-05-01,9.05M
1974-06-01,8.99M
1974-07-01,8.92M
1974-08-01,8.90M
1974-09-01,10.37M
1974-10-01,8.96M
1974-11-01,7.94M
1974-12-01,7.06M
1975-01-01,7.19M
1975-02-01,7.96M
1975-03-01,9.11M
1975-04-01,7.61M
1975-05-01,7.29M
1975-06-01,7.72M
1975-07-01,8.04M
1975-08-01,8.98M
1975-09-01,8.72M
1975-10-01,9.10M
1975-11-01,9.09M
1975-12-01,9.26M
1976-01-01,9.57M
1976-02-01,9.74M
1976-03-01,10.13M
1976-04-01,10.20M
1976-05-01,10.00M
1976-06-01,9.76M
1976-07-01,9.78M
1976-08-01,9.98M
1976-09-01,9.51M
1976-10-01,10.14M
1976-11-01,9.57M
1976-12-01,10.03M
1977-01-01,11.07M
1977-02-01,10.72M
1977-03-01,10.89M
1977-04-01,11.29M
1977-05-01,11.26M
1977-06-01,11.22M
1977-07-01,11.33M
1977-08-01,11.04M
1977-09-01,11.12M
1977-10-01,10.84M
1977-11-01,10.93M
1977-12-01,10.81M
1978-01-01,11.10M
1978-02-01,10.07M
1978-03-01,10.45M
1978-04-01,10.95M
1978-05-01,11.79M
1978-06-01,11.80M
1978-07-01,11.81M
1978-08-01,11.07M
1978-09-01,11.65M
1978-10-01,10.80M
1978-11-01,11.40M
1978-12-01,11.10M
1979-01-01,11.08M
1979-02-01,10.96M
1979-03-01,11.27M
1979-04-01,11.37M
1979-05-01,10.89M
