Date,Value
2008-02-20,1.050M
2008-03-18,0.980M
2008-04-16,0.930M
2008-05-16,0.980M
2008-06-17,0.970M
2008-07-17,1.090M
2008-08-19,0.940M
2008-09-17,0.850M
2008-10-17,0.790M
2008-11-19,0.710M
2008-12-16,0.620M
2009-01-22,0.550M
2009-02-18,0.520M
2009-03-17,0.550M
2009-04-16,0.510M
2009-05-19,0.490M
2009-06-16,0.520M
2009-07-17,0.560M
2009-08-18,0.560M
2009-09-17,0.580M
2009-10-20,0.570M
2009-11-18,0.550M
2009-12-16,0.580M
2010-01-20,0.650M
2010-02-17,0.620M
2010-03-16,0.610M
2010-04-16,0.690M
2010-05-18,0.610M
2010-06-16,0.570M
2010-07-20,0.590M
2010-08-17,0.570M
2010-09-21,0.570M
2010-10-19,0.540M
2010-11-17,0.550M
2010-12-16,0.530M
2011-01-19,0.640M
2011-02-16,0.560M
2011-03-16,0.520M
2011-04-19,0.590M
2011-05-17,0.550M
2011-06-16,0.610M
2011-07-19,0.624M
2011-08-16,0.597M
2011-09-20,0.620M
2011-10-19,0.594M
2011-11-17,0.653M
2011-12-20,0.681M
2012-01-19,0.679M
2012-02-16,0.676M
2012-03-20,0.717M
2012-04-17,0.747M
2012-05-16,0.715M
2012-06-19,0.780M
2012-07-18,0.755M
2012-08-16,0.812M
2012-09-19,0.803M
2012-10-17,0.894M
2012-11-20,0.866M
2012-12-19,0.899M
2013-01-17,0.903M
2013-02-20,0.925M
2013-03-19,0.946M
2013-04-16,0.902M
2013-05-16,1.017M
2013-06-18,0.974M
2013-07-17,0.911M
2013-08-16,0.943M
2013-09-18,0.918M
2013-11-26,0.970M
2013-11-26,1.034M
2013-12-18,1.007M
2014-01-17,0.986M
2014-02-19,0.937M
2014-03-18,1.018M
2014-04-16,0.990M
2014-05-16,1.080M
2014-06-17,0.991M
2014-07-17,0.963M
2014-08-19,1.052M
2014-09-18,0.998M
2014-10-17,1.018M
2014-11-19,1.080M
2014-12-16,1.035M
2015-01-21,1.032M
2015-02-18,1.053M
2015-03-17,1.092M
2015-04-16,1.039M
2015-05-19,1.143M
2015-06-16,1.275M
2015-07-17,1.343M
2015-08-18,1.119M
2015-09-17,1.170M
2015-10-20,1.103M
2015-11-18,1.150M
2015-12-16,1.289M
2016-01-20,1.232M
2016-02-17,1.202M
2016-03-16,1.167M
2016-04-19,1.086M
2016-05-17,1.116M
2016-06-17,1.138M
2016-07-19,1.153M
2016-08-16,1.152M
2016-09-20,1.139M
2016-10-19,1.225M
2016-11-17,1.229M
2016-12-16,1.201M
2017-01-19,1.210M
2017-02-16,1.285M
2017-03-16,1.213M
2017-04-18,1.260M
2017-05-16,1.229M
2017-06-16,1.168M
2017-07-19,1.254M
2017-08-16,1.223M
2017-09-19,1.300M
2017-10-18,1.215M
2017-11-17,1.297M
2017-12-19,1.298M
2018-01-18,1.302M
2018-02-16,1.396M
2018-03-16,1.298M
2018-04-17,1.354M
2018-05-16,1.352M
2018-06-19,1.301M
2018-07-18,1.273M
2018-08-16,1.311M
2018-09-19,1.229M
2018-10-17,1.241M
2018-11-20,1.263M
2018-12-18,1.328M
2019-02-26,1.326M
2019-03-08,1.345M
2019-03-26,1.296M
2019-04-19,1.269M
2019-05-16,1.296M
2019-06-18,1.294M
2019-07-17,1.220M
2019-08-16,1.336M
2019-09-18,1.419M
2019-10-17,1.387M
2019-11-19,1.461M
2019-12-17,1.482M
2020-01-17,1.416M
2020-02-19,1.551M
2020-03-18,1.464M
2020-04-16,1.353M
2020-05-19,1.074M
2020-06-17,1.220M
2020-07-17,1.241M
2020-08-18,1.495M
