Date,Value
1970-01-01,85.50%
1970-02-01,83.60%
1970-03-01,83.30%
1970-04-01,83.00%
1970-05-01,82.50%
1970-06-01,82.10%
1970-07-01,81.60%
1970-08-01,81.60%
1970-09-01,81.20%
1970-10-01,80.40%
1970-11-01,78.50%
1970-12-01,77.80%
1971-01-01,79.30%
1971-02-01,79.70%
1971-03-01,79.40%
1971-04-01,79.10%
1971-05-01,79.30%
1971-06-01,79.50%
1971-07-01,79.70%
1971-08-01,79.20%
1971-09-01,78.60%
1971-10-01,79.70%
1971-11-01,80.10%
1971-12-01,80.20%
1972-01-01,80.90%
1972-02-01,82.60%
1972-03-01,83.20%
1972-04-01,83.70%
1972-05-01,84.30%
1972-06-01,84.10%
1972-07-01,84.10%
1972-08-01,83.80%
1972-09-01,84.70%
1972-10-01,85.10%
1972-11-01,86.00%
1972-12-01,86.80%
1973-01-01,87.50%
1973-02-01,87.80%
1973-03-01,88.80%
1973-04-01,88.60%
1973-05-01,88.10%
1973-06-01,88.40%
1973-07-01,88.10%
1973-08-01,88.20%
1973-09-01,87.80%
1973-10-01,88.30%
1973-11-01,88.60%
1973-12-01,88.80%
1974-01-01,88.30%
1974-02-01,87.40%
1974-03-01,86.90%
1974-04-01,86.70%
1974-05-01,86.20%
1974-06-01,86.70%
1974-07-01,86.40%
1974-08-01,86.20%
1974-09-01,85.20%
1974-10-01,85.10%
1974-11-01,84.60%
1974-12-01,81.70%
1975-01-01,78.60%
1975-02-01,77.40%
1975-03-01,75.50%
1975-04-01,74.60%
1975-05-01,74.50%
1975-06-01,74.20%
1975-07-01,74.60%
1975-08-01,75.30%
1975-09-01,75.80%
1975-10-01,76.60%
1975-11-01,76.80%
1975-12-01,76.80%
1976-01-01,77.60%
1976-02-01,78.60%
1976-03-01,79.20%
1976-04-01,79.10%
1976-05-01,79.40%
1976-06-01,79.50%
1976-07-01,79.40%
1976-08-01,79.70%
1976-09-01,80.00%
1976-10-01,80.10%
1976-11-01,79.90%
1976-12-01,80.90%
1977-01-01,81.60%
1977-02-01,81.00%
1977-03-01,82.00%
1977-04-01,82.80%
1977-05-01,83.30%
1977-06-01,83.80%
1977-07-01,84.20%
1977-08-01,84.20%
1977-09-01,83.90%
1977-10-01,84.10%
1977-11-01,84.10%
1977-12-01,83.90%
1978-01-01,83.70%
1978-02-01,82.40%
1978-03-01,82.50%
1978-04-01,83.80%
1978-05-01,85.40%
1978-06-01,85.40%
1978-07-01,85.70%
1978-08-01,85.50%
1978-09-01,85.50%
1978-10-01,85.50%
1978-11-01,86.00%
1978-12-01,86.40%
1979-01-01,86.70%
1979-02-01,85.90%
1979-03-01,86.10%
1979-04-01,86.20%
1979-05-01,85.10%
1979-06-01,85.50%
1979-07-01,85.30%
1979-08-01,85.00%
1979-09-01,84.20%
1979-10-01,84.10%
1979-11-01,84.40%
1979-12-01,84.20%
1980-01-01,84.10%
1980-02-01,84.30%
1980-03-01,84.10%
1980-04-01,83.70%
1980-05-01,81.80%
1980-06-01,79.70%
1980-07-01,78.50%
1980-08-01,77.90%
1980-09-01,77.90%
1980-10-01,79.00%
1980-11-01,79.80%
1980-12-01,81.00%
1981-01-01,81.30%
1981-02-01,80.70%
1981-03-01,80.10%
1981-04-01,80.30%
1981-05-01,79.70%
1981-06-01,80.00%
1981-07-01,80.20%
1981-08-01,80.50%
1981-09-01,80.30%
