Date,Value
1970-01-01,50.30
1970-02-01,44.70
1970-03-01,43.20
1970-04-01,41.40
1970-05-01,38.90
1970-06-01,35.20
1970-07-01,43.50
1970-08-01,46.00
1970-09-01,46.80
1970-10-01,41.10
1970-11-01,35.40
1970-12-01,38.10
1971-01-01,36.70
1971-02-01,41.40
1971-03-01,47.40
1971-04-01,47.60
1971-05-01,49.00
1971-06-01,51.20
1971-07-01,48.10
1971-08-01,49.40
1971-09-01,51.10
1971-10-01,53.30
1971-11-01,55.80
1971-12-01,56.80
1972-01-01,58.70
1972-02-01,60.40
1972-03-01,57.90
1972-04-01,62.70
1972-05-01,62.90
1972-06-01,64.80
1972-07-01,62.10
1972-08-01,67.90
1972-09-01,66.30
1972-10-01,69.30
1972-11-01,71.60
1972-12-01,73.80
1973-01-01,74.40
1973-02-01,78.60
1973-03-01,78.10
1973-04-01,74.90
1973-05-01,75.00
1973-06-01,71.50
1973-07-01,72.60
1973-08-01,67.80
1973-09-01,69.10
1973-10-01,69.50
1973-11-01,69.40
1973-12-01,78.80
1974-01-01,76.30
1974-02-01,68.60
1974-03-01,69.60
1974-04-01,59.00
1974-05-01,63.00
1974-06-01,58.10
1974-07-01,60.40
1974-08-01,63.00
1974-09-01,57.80
1974-10-01,46.60
1974-11-01,41.00
1974-12-01,35.60
1975-01-01,25.60
1975-02-01,24.40
1975-03-01,23.90
1975-04-01,28.90
1975-05-01,33.10
1975-06-01,36.70
1975-07-01,39.40
1975-08-01,43.60
1975-09-01,51.30
1975-10-01,50.20
1975-11-01,51.00
1975-12-01,51.00
1976-01-01,51.50
1976-02-01,55.60
1976-03-01,59.50
1976-04-01,62.90
1976-05-01,60.40
1976-06-01,60.10
1976-07-01,59.20
1976-08-01,59.00
1976-09-01,60.90
1976-10-01,57.20
1976-11-01,56.30
1976-12-01,56.30
1977-01-01,57.10
1977-02-01,61.40
1977-03-01,57.40
1977-04-01,57.80
1977-05-01,57.40
1977-06-01,60.30
1977-07-01,58.50
1977-08-01,58.60
1977-09-01,56.30
1977-10-01,56.50
1977-11-01,59.80
1977-12-01,59.30
1978-01-01,64.80
1978-02-01,64.70
1978-03-01,61.30
1978-04-01,58.30
1978-05-01,62.50
1978-06-01,62.90
1978-07-01,63.00
1978-08-01,64.90
1978-09-01,61.70
1978-10-01,65.60
1978-11-01,63.70
1978-12-01,66.30
1979-01-01,63.80
1979-02-01,61.60
1979-03-01,61.30
1979-04-01,66.90
1979-05-01,63.80
1979-06-01,60.70
1979-07-01,60.30
1979-08-01,55.20
1979-09-01,44.60
1979-10-01,49.70
1979-11-01,51.10
1979-12-01,49.10
1980-01-01,47.10
1980-02-01,43.90
1980-03-01,44.90
1980-04-01,44.20
1980-05-01,35.40
1980-06-01,25.20
1980-07-01,21.40
1980-08-01,26.80
1980-09-01,37.40
1980-10-01,45.30
1980-11-01,45.20
1980-12-01,52.00
1981-01-01,51.10
1981-02-01,49.90
1981-03-01,52.10
1981-04-01,52.00
1981-05-01,52.60
1981-06-01,51.50
1981-07-01,50.80
1981-08-01,49.10
1981-09-01,50.20
1981-10-01,42.70
1981-11-01,42.20
1981-12-01,34.70
1982-01-01,33.90
1982-02-01,34.90
1982-03-01,32.20
1982-04-01,32.10
1982-05-01,33.60
1982-06-01,36.20
1982-07-01,36.60
1982-08-01,38.20
1982-09-01,35.40
1982-10-01,43.60
1982-11-01,38.70
1982-12-01,40.20
1983-01-01,41.30
1983-02-01,46.50
1983-03-01,52.80
1983-04-01,56.10
1983-05-01,55.70
1983-06-01,56.90
1983-07-01,50.70
1983-08-01,63.30
1983-09-01,68.40
1983-10-01,64.90
1983-11-01,69.10
1983-12-01,70.50
1984-01-01,74.00
1984-02-01,69.90
1984-03-01,65.00
1984-04-01,69.50
1984-05-01,69.80
1984-06-01,67.70
1984-07-01,64.60
1984-08-01,63.30
1984-09-01,56.10
1984-10-01,59.80
1984-11-01,53.70
1984-12-01,53.10
1985-01-01,51.50
1985-02-01,52.30
1985-03-01,52.60
1985-04-01,48.80
1985-05-01,57.30
1985-06-01,49.00
1985-07-01,51.00
1985-08-01,48.90
1985-09-01,50.90
1985-10-01,51.10
1985-11-01,46.90
1985-12-01,54.40
1986-01-01,54.50
1986-02-01,55.20
1986-03-01,58.00
1986-04-01,56.40
1986-05-01,54.80
1986-06-01,56.20
1986-07-01,55.90
1986-08-01,53.40
1986-09-01,55.80
1986-10-01,53.30
1986-11-01,54.60
1986-12-01,54.90
1987-01-01,55.60
1987-02-01,53.30
1987-03-01,54.70
1987-04-01,58.80
1987-05-01,58.60
1987-06-01,60.20
1987-07-01,56.70
1987-08-01,65.10
1987-09-01,66.40
1987-10-01,67.90
1987-11-01,69.50
1987-12-01,67.80
1988-01-01,69.60
1988-02-01,68.70
1988-03-01,62.30
1988-04-01,63.30
1988-05-01,56.70
1988-06-01,60.10
1988-07-01,62.60
1988-08-01,71.80
1988-09-01,64.00
1988-10-01,62.40
1988-11-01,60.60
1988-12-01,60.70
1989-01-01,59.30
1989-02-01,61.50
1989-03-01,58.90
1989-04-01,55.10
1989-05-01,54.50
1989-06-01,51.80
1989-07-01,49.70
1989-08-01,49.60
1989-09-01,45.50
1989-10-01,45.80
1989-11-01,51.00
1989-12-01,48.90
1990-01-01,49.20
1990-02-01,47.60
1990-03-01,50.50
1990-04-01,52.70
1990-05-01,53.50
1990-06-01,55.10
1990-07-01,53.10
1990-08-01,50.30
1990-09-01,48.70
1990-10-01,48.80
1990-11-01,46.20
1990-12-01,45.00
1991-01-01,43.90
1991-02-01,41.60
1991-03-01,44.80
1991-04-01,44.40
1991-05-01,41.50
1991-06-01,46.80
1991-07-01,48.10
1991-08-01,49.90
1991-09-01,54.00
1991-10-01,54.60
1991-11-01,55.20
1991-12-01,52.90
1992-01-01,49.90
1992-02-01,48.70
1992-03-01,49.30
1992-04-01,51.50
1992-05-01,53.60
1992-06-01,56.10
1992-07-01,56.40
1992-08-01,58.10
1992-09-01,58.60
1992-10-01,57.90
1992-11-01,49.80
1992-12-01,54.30
1993-01-01,58.80
1993-02-01,61.70
1993-03-01,61.70
1993-04-01,60.20
1993-05-01,54.80
1993-06-01,53.10
1993-07-01,53.70
1993-08-01,52.00
1993-09-01,52.50
1993-10-01,55.10
1993-11-01,56.30
1993-12-01,60.70
1994-01-01,60.20
1994-02-01,60.00
1994-03-01,62.20
1994-04-01,64.30
1994-05-01,66.70
1994-06-01,67.50
1994-07-01,65.40
1994-08-01,67.10
1994-09-01,64.60
1994-10-01,63.60
1994-11-01,65.20
1994-12-01,63.40
1995-01-01,63.30
1995-02-01,63.50
1995-03-01,64.80
1995-04-01,55.90
1995-05-01,56.60
1995-06-01,53.30
1995-07-01,46.60
1995-08-01,51.30
1995-09-01,49.80
1995-10-01,48.20
1995-11-01,54.80
1995-12-01,48.50
1996-01-01,55.40
1996-02-01,50.70
1996-03-01,46.30
1996-04-01,49.60
1996-05-01,50.80
1996-06-01,52.40
1996-07-01,53.30
1996-08-01,49.80
1996-09-01,57.10
1996-10-01,56.40
1996-11-01,58.00
1996-12-01,57.40
1997-01-01,58.40
1997-02-01,56.90
1997-03-01,57.50
1997-04-01,57.90
1997-05-01,57.20
1997-06-01,57.00
1997-07-01,59.90
1997-08-01,57.70
1997-09-01,62.90
1997-10-01,59.30
1997-11-01,57.60
1997-12-01,60.80
1998-01-01,59.80
1998-02-01,60.20
1998-03-01,58.50
1998-04-01,58.40
1998-05-01,57.10
1998-06-01,56.60
1998-07-01,51.00
1998-08-01,54.90
1998-09-01,50.90
1998-10-01,52.40
1998-11-01,49.40
1998-12-01,51.90
1999-01-01,52.60
1999-02-01,50.40
1999-03-01,52.10
1999-04-01,55.60
1999-05-01,61.20
1999-06-01,57.40
1999-07-01,56.50
1999-08-01,58.80
1999-09-01,58.60
1999-10-01,52.00
1999-11-01,59.10
1999-12-01,59.40
2000-01-01,56.70
2000-02-01,59.30
2000-03-01,57.20
2000-04-01,56.30
2000-05-01,55.60
2000-06-01,53.50
2000-07-01,53.40
2000-08-01,52.10
2000-09-01,47.20
2000-10-01,50.10
2000-11-01,48.00
2000-12-01,43.70
2001-01-01,45.30
2001-02-01,42.50
2001-03-01,41.60
2001-04-01,35.10
2001-05-01,39.40
2001-06-01,37.60
2001-07-01,41.40
2001-08-01,39.30
2001-09-01,43.10
2001-10-01,46.80
2001-11-01,45.20
2001-12-01,43.10
