Date,Value
2007-02-01,29.30
2007-03-01,24.20
2007-04-01,27.20
2007-05-01,8.40
2007-06-01,36.30
2007-07-01,18.60
2007-08-01,22.30
2007-09-01,27.90
2007-10-01,30.20
2007-11-01,28.60
2007-12-01,21.80
2008-01-01,18.30
2008-02-01,10.90
2008-03-01,4.00
2008-04-01,1.90
2008-05-01,9.80
2008-06-01,11.30
2008-07-01,0.70
2008-08-01,10.00
2008-09-01,1.80
2008-10-01,-8.90
2008-11-01,-14.20
2008-12-01,-16.10
2009-01-01,-18.50
2009-02-01,-16.00
2009-03-01,-12.70
2009-04-01,-15.40
2009-05-01,-4.30
2009-06-01,-3.80
2009-07-01,4.40
2009-08-01,-1.10
2009-09-01,-10.30
2009-10-01,-3.80
2009-11-01,-1.50
2009-12-01,0.40
2010-01-01,1.90
2010-02-01,11.70
2010-03-01,9.80
2010-04-01,13.00
2010-05-01,12.20
2010-06-01,3.50
2010-07-01,20.10
2010-08-01,7.50
2010-09-01,7.30
2010-10-01,5.00
2010-11-01,21.70
2010-12-01,17.60
2011-01-01,14.20
2011-02-01,7.30
2011-03-01,0.70
2011-04-01,22.50
2011-05-01,13.30
2011-06-01,2.10
2011-07-01,8.70
2011-08-01,10.80
2011-09-01,3.30
2011-10-01,13.60
2011-11-01,6.90
2011-12-01,15.30
2012-01-01,8.80
2012-02-01,16.00
2012-03-01,23.30
2012-04-01,15.90
2012-05-01,13.20
2012-06-01,10.50
2012-07-01,12.00
2012-08-01,1.40
2012-09-01,9.60
2012-10-01,15.00
2012-11-01,16.10
2012-12-01,12.00
2013-01-01,14.40
2013-02-01,10.00
2013-03-01,14.80
2013-04-01,15.30
2013-05-01,4.90
2013-06-01,12.40
2013-07-01,6.80
2013-08-01,12.90
2013-09-01,14.20
2013-10-01,7.30
2013-11-01,6.00
2013-12-01,11.80
2014-01-01,16.50
2014-02-01,21.50
2014-03-01,11.00
2014-04-01,18.90
2014-05-01,20.90
2014-06-01,15.70
2014-07-01,19.50
2014-08-01,24.20
2014-09-30,26.90
2014-10-28,14.0
2014-11-25,25.4
2014-12-30,20.5
2015-01-27,12.1
2015-02-24,13.6
2015-03-31,10.7
2015-04-28,14.6
2015-05-27,3.8
2015-06-30,13.2
2015-07-28,19.1
2015-09-01,9.3
2015-09-29,12.8
2015-10-27,7.6
2015-12-01,10.3
2015-12-29,15.2
2016-01-26,10.0
2016-03-01,9.7
2016-03-29,6.4
2016-04-26,10.6
2016-06-01,5.8
2016-06-28,15.6
2016-07-26,10.3
2016-08-30,6.5
2016-09-27,13.0
2016-11-01,9.9
2016-11-29,13.7
2016-12-28,20.6
2017-01-31,16.2
2017-02-28,14.1
2017-03-28,15.2
2017-04-25,12.1
2017-05-31,15.9
2017-06-27,14.8
2017-08-01,15.7
2017-08-29,14.2
2017-09-26,15.9
2017-10-31,19.2
2017-11-28,24.4
2017-12-27,24.4
2018-01-30,12.8
2018-02-27,13.2
2018-03-27,19.3
2018-05-01,14.7
2018-05-30,22.8
2018-06-26,19.0
2018-07-31,25.4
2018-08-28,21.5
2018-09-25,26.9
2018-10-30,19.4
2018-11-27,21.4
2019-01-02,10.1
2019-01-29,14.9
2019-02-26,19.2
2019-03-26,12.8
2019-04-30,13.9
2019-05-29,2.7
2019-06-25,13.6
2019-07-30,20.9
2019-08-27,7.8
2019-10-01,12.9
2019-10-29,15.4
2019-11-26,12.2
2019-12-31,17.9
2020-01-28,18.8
2020-02-25,14.0
2020-03-31,-67.0
2020-04-28,-65.4
2020-05-27,-28.1
2020-06-30,5.7
2020-07-28,-8.5
2020-09-01,1.5
