Date,Value
2004-07-01,47.00
2004-08-01,41.20
2004-09-01,37.50
2004-10-01,28.20
2004-11-01,26.80
2004-12-01,43.90
2005-01-01,41.70
2005-02-01,27.20
2005-03-01,28.30
2005-04-01,28.70
2005-05-01,6.10
2005-06-01,22.40
2005-07-01,13.40
2005-08-01,30.20
2005-09-01,23.80
2005-10-01,28.10
2005-11-01,22.30
2005-12-01,25.20
2006-01-01,38.00
2006-02-01,31.00
2006-03-01,29.80
2006-04-01,31.50
2006-05-01,24.70
2006-06-01,14.90
2006-07-01,14.50
2006-08-01,13.10
2006-09-01,10.80
2006-10-01,14.50
2006-11-01,6.60
2006-12-01,4.70
2007-01-01,-6.90
2007-02-01,0.30
2007-03-01,23.00
2007-04-01,5.40
2007-05-01,9.00
2007-06-01,12.00
2007-07-01,9.20
2007-08-01,3.10
2007-09-01,2.50
2007-10-01,0.10
2007-11-01,1.70
2007-12-01,-10.50
2008-01-01,-21.60
2008-02-01,-24.90
2008-03-01,-24.40
2008-04-01,-30.10
2008-05-01,-31.10
2008-06-01,-18.60
2008-07-01,-25.60
2008-08-01,-20.90
2008-09-01,-14.70
2008-10-01,-35.10
2008-11-01,-51.90
2008-12-01,-54.10
2009-01-01,-57.40
2009-02-01,-54.40
2009-03-01,-60.20
2009-04-01,-55.60
2009-05-01,-39.50
2009-06-01,-29.60
2009-07-01,-21.90
2009-08-01,-18.90
2009-09-01,-5.00
2009-10-01,-1.60
2009-11-01,-6.20
2009-12-01,-0.30
2010-01-01,3.80
2010-02-01,6.80
2010-03-01,-2.90
2010-04-01,5.30
2010-05-01,23.40
2010-06-01,7.80
2010-07-01,0.30
2010-08-01,-15.40
2010-09-01,-8.00
2010-10-01,-12.70
2010-11-01,4.40
2010-12-01,19.70
2011-01-01,16.80
2011-02-01,8.00
2011-03-01,15.80
2011-04-01,7.70
2011-05-01,9.40
2011-06-01,-5.30
2011-07-01,-19.30
2011-08-01,-1.50
2011-09-01,-11.70
2011-10-01,-15.00
2011-11-01,2.70
2011-12-01,4.20
2012-01-01,-0.60
2012-02-01,14.00
2012-03-26,10.80
2012-04-30,-3.40
2012-05-29,-5.10
2012-06-25,5.80
2012-07-30,-13.20
2012-08-27,-1.60
2012-09-24,-0.90
2012-10-29,1.80
2012-11-26,-2.80
2012-12-31,6.80
2013-01-28,5.50
2013-02-25,2.20
2013-03-25,7.40
2013-04-29,-15.60
2013-05-28,-10.50
2013-06-24,6.50
2013-07-29,4.40
2013-08-26,5.00
2013-09-30,12.80
2013-10-28,3.6
2013-11-25,1.9
2013-12-30,3.1
2014-01-27,3.8
2014-02-24,0.3
2014-03-31,4.9
2014-04-28,11.7
2014-05-27,8.0
2014-06-30,11.4
2014-07-28,12.7
2014-08-25,7.1
2014-09-29,10.8
2014-10-27,10.5
2014-11-24,10.5
2014-12-29,4.1
2015-01-26,-4.4
2015-02-23,-11.2
2015-03-30,-17.4
2015-04-27,-16.0
2015-05-26,-20.8
2015-06-29,-7.0
2015-07-27,-4.6
2015-08-31,-15.8
2015-09-28,-9.5
2015-10-26,-12.7
2015-11-30,-4.9
2015-12-28,-20.1
2016-01-25,-34.6
2016-02-29,-31.8
2016-03-28,-13.6
2016-04-25,-13.9
2016-05-31,-20.8
2016-06-27,-18.3
2016-07-25,-1.3
2016-08-29,-6.2
2016-09-26,-3.7
2016-10-31,-1.5
2016-11-28,10.2
2016-12-27,15.5
2017-01-30,22.1
2017-02-27,24.5
2017-03-27,16.9
2017-04-24,16.8
2017-05-30,17.2
2017-06-26,15.0
2017-07-31,16.8
2017-08-28,17.0
2017-09-25,21.3
2017-10-30,27.6
2017-11-27,19.4
2017-12-26,29.7
2018-01-29,33.4
2018-02-26,37.2
2018-03-26,21.4
2018-04-30,21.8
2018-05-29,26.8
2018-06-25,36.5
2018-07-30,32.3
2018-08-27,30.9
2018-09-24,28.1
2018-10-29,29.4
2018-11-26,17.6
2018-12-31,-5.1
2019-01-28,1.0
2019-02-25,13.1
2019-03-25,8.3
2019-04-29,2.0
2019-05-28,-5.3
2019-06-24,-12.1
2019-07-29,-6.3
2019-08-26,2.7
2019-09-30,1.5
2019-10-28,-5.1
2019-11-25,-1.3
2019-12-30,-3.2
2020-01-27,-0.2
2020-02-24,1.2
2020-03-30,-70.0
2020-04-27,-73.7
2020-05-26,-49.2
2020-06-29,-6.1
2020-07-27,-3.0
2020-08-31,8.0
2020-09-28,13.6
