Date,Value
1970-01-01,1.60M
1970-02-01,1.53M
1970-03-01,1.46M
1970-04-01,1.37M
1970-05-01,1.51M
1970-06-01,1.53M
1970-07-01,1.58M
1970-08-01,1.63M
1970-09-01,1.72M
1970-10-01,1.73M
1970-11-01,1.70M
1970-12-01,1.75M
1971-01-01,1.85M
1971-02-01,1.91M
1971-03-01,1.90M
1971-04-01,1.98M
1971-05-01,2.01M
1971-06-01,2.04M
1971-07-01,1.99M
1971-08-01,2.00M
1971-09-01,2.00M
1971-10-01,2.05M
1971-11-01,2.05M
1971-12-01,2.14M
1972-01-01,2.18M
1972-02-01,2.20M
1972-03-01,2.15M
1972-04-01,2.18M
1972-05-01,2.16M
1972-06-01,2.11M
1972-07-01,2.17M
1972-08-01,2.19M
1972-09-01,2.30M
1972-10-01,2.34M
1972-11-01,2.38M
1972-12-01,2.38M
1973-01-01,2.49M
1973-02-01,2.43M
1973-03-01,2.50M
1973-04-01,2.42M
1973-05-01,2.35M
1973-06-01,2.33M
1973-07-01,2.36M
1973-08-01,2.34M
1973-09-01,2.28M
1973-10-01,2.24M
1973-11-01,2.27M
1973-12-01,2.26M
1974-01-01,2.23M
1974-02-01,2.41M
1974-03-01,2.38M
1974-04-01,2.44M
1974-05-01,2.39M
1974-06-01,2.40M
1974-07-01,2.27M
1974-08-01,2.29M
1974-09-01,2.25M
1974-10-01,2.15M
1974-11-01,2.10M
1974-12-01,2.09M
1975-01-01,2.11M
1975-02-01,2.06M
1975-03-01,2.23M
1975-04-01,2.29M
1975-05-01,2.39M
1975-06-01,2.47M
1975-07-01,2.51M
1975-08-01,2.45M
1975-09-01,2.53M
1975-10-01,2.63M
1975-11-01,2.68M
1975-12-01,2.74M
1976-01-01,2.78M
1976-02-01,2.81M
1976-03-01,2.93M
1976-04-01,2.90M
1976-05-01,2.94M
1976-06-01,2.96M
1976-07-01,3.11M
1976-08-01,3.10M
1976-09-01,3.11M
1976-10-01,3.21M
1976-11-01,3.16M
1976-12-01,3.22M
1977-01-01,3.34M
1977-02-01,3.43M
1977-03-01,3.36M
1977-04-01,3.58M
1977-05-01,3.53M
1977-06-01,3.64M
1977-07-01,3.63M
1977-08-01,3.65M
1977-09-01,3.71M
1977-10-01,3.76M
1977-11-01,3.71M
1977-12-01,3.86M
1978-01-01,3.89M
1978-02-01,3.90M
1978-03-01,3.83M
1978-04-01,3.97M
1978-05-01,4.09M
1978-06-01,4.00M
1978-07-01,4.04M
1978-08-01,3.99M
1978-09-01,3.96M
1978-10-01,3.93M
1978-11-01,4.00M
1978-12-01,4.15M
1979-01-01,3.98M
1979-02-01,3.86M
1979-03-01,3.99M
1979-04-01,3.96M
1979-05-01,3.99M
1979-06-01,4.09M
1979-07-01,3.80M
1979-08-01,3.82M
1979-09-01,3.84M
1979-10-01,3.94M
1979-11-01,3.77M
1979-12-01,3.48M
1980-01-01,3.39M
1980-02-01,3.33M
1980-03-01,3.19M
1980-04-01,2.97M
1980-05-01,2.54M
1980-06-01,2.48M
1980-07-01,2.60M
1980-08-01,2.93M
1980-09-01,3.05M
1980-10-01,3.40M
1980-11-01,3.21M
1980-12-01,3.05M
1981-01-01,2.91M
1981-02-01,2.71M
1981-03-01,2.69M
1981-04-01,2.60M
1981-05-01,2.67M
1981-06-01,2.63M
1981-07-01,2.59M
1981-08-01,2.49M
1981-09-01,2.34M
1981-10-01,2.18M
1981-11-01,2.08M
1981-12-01,2.02M
1982-01-01,2.02M
1982-02-01,1.91M
1982-03-01,1.99M
1982-04-01,1.99M
1982-05-01,1.89M
1982-06-01,1.86M
1982-07-01,1.89M
1982-08-01,1.89M
1982-09-01,1.90M
1982-10-01,1.95M
1982-11-01,2.09M
1982-12-01,2.23M
1983-01-01,2.29M
1983-02-01,2.57M
1983-03-01,2.43M
1983-04-01,2.59M
1983-05-01,2.60M
1983-06-01,2.74M
1983-07-01,2.77M
1983-08-01,2.78M
1983-09-01,2.77M
1983-10-01,2.78M
1983-11-01,2.71M
1983-12-01,2.67M
1984-01-01,2.80M
1984-02-01,2.85M
1984-03-01,2.89M
1984-04-01,2.92M
1984-05-01,2.98M
1984-06-01,2.93M
1984-07-01,2.90M
1984-08-01,2.80M
1984-09-01,2.69M
1984-10-01,2.65M
1984-11-01,2.65M
1984-12-01,2.77M
1985-01-01,2.77M
1985-02-01,2.94M
1985-03-01,2.88M
1985-04-01,2.96M
1985-05-01,2.96M
1985-06-01,2.97M
1985-07-01,3.04M
1985-08-01,3.12M
1985-09-01,3.36M
1985-10-01,3.32M
1985-11-01,3.33M
1985-12-01,3.29M
1986-01-01,3.29M
1986-02-01,3.31M
1986-03-01,3.27M
1986-04-01,3.20M
1986-05-01,3.49M
1986-06-01,3.37M
1986-07-01,3.36M
1986-08-01,3.44M
1986-09-01,3.51M
1986-10-01,3.57M
1986-11-01,3.57M
1986-12-01,3.74M
1987-01-01,3.90M
1987-02-01,3.49M
1987-03-01,3.65M
1987-04-01,3.64M
1987-05-01,3.50M
1987-06-01,3.63M
1987-07-01,3.45M
1987-08-01,3.42M
1987-09-01,3.29M
1987-10-01,3.32M
1987-11-01,3.34M
1987-12-01,3.23M
1988-01-01,3.17M
1988-02-01,3.09M
1988-03-01,3.23M
1988-04-01,3.32M
1988-05-01,3.43M
1988-06-01,3.54M
1988-07-01,3.67M
1988-08-01,3.56M
1988-09-01,3.55M
1988-10-01,3.56M
1988-11-01,3.58M
1988-12-01,3.53M
1989-01-01,3.73M
1989-02-01,3.60M
1989-03-01,3.50M
1989-04-01,3.30M
1989-05-01,3.17M
1989-06-01,3.11M
1989-07-01,3.12M
1989-08-01,3.26M
1989-09-01,3.32M
1989-10-01,3.54M
1989-11-01,3.49M
1989-12-01,3.41M
1990-01-01,3.37M
1990-02-01,3.63M
1990-03-01,3.40M
1990-04-01,3.34M
1990-05-01,3.22M
1990-06-01,3.20M
1990-07-01,3.21M
1990-08-01,3.19M
1990-09-01,3.34M
1990-10-01,3.18M
1990-11-01,3.12M
1990-12-01,2.98M
1991-01-01,2.90M
1991-02-01,2.90M
1991-03-01,3.09M
1991-04-01,3.12M
1991-05-01,3.23M
1991-06-01,3.40M
1991-07-01,3.40M
1991-08-01,3.26M
1991-09-01,3.13M
1991-10-01,3.17M
1991-11-01,3.07M
1991-12-01,3.09M
1992-01-01,3.14M
1992-02-01,3.26M
1992-03-01,3.50M
1992-04-01,3.51M
1992-05-01,3.50M
1992-06-01,3.42M
1992-07-01,3.34M
1992-08-01,3.35M
1992-09-01,3.32M
1992-10-01,3.39M
1992-11-01,3.59M
1992-12-01,3.66M
1993-01-01,3.83M
1993-02-01,3.71M
1993-03-01,3.54M
1993-04-01,3.44M
1993-05-01,3.44M
1993-06-01,3.60M
1993-07-01,3.72M
1993-08-01,3.83M
1993-09-01,3.85M
1993-10-01,3.92M
1993-11-01,3.93M
1993-12-01,4.08M
1994-01-01,4.28M
1994-02-01,4.17M
1994-03-01,3.96M
1994-04-01,4.05M
1994-05-01,4.14M
1994-06-01,4.09M
1994-07-01,3.97M
1994-08-01,3.82M
1994-09-01,3.85M
1994-10-01,3.76M
1994-11-01,3.78M
1994-12-01,3.71M
1995-01-01,3.81M
1995-02-01,3.68M
1995-03-01,3.67M
1995-04-01,3.65M
1995-05-01,3.46M
1995-06-01,3.69M
1995-07-01,3.84M
1995-08-01,3.96M
1995-09-01,4.11M
1995-10-01,4.17M
1995-11-01,4.13M
1995-12-01,4.12M
1996-01-01,4.10M
1996-02-01,4.06M
1996-03-01,4.01M
1996-04-01,4.20M
1996-05-01,4.34M
1996-06-01,4.31M
1996-07-01,4.17M
1996-08-01,4.24M
1996-09-01,4.19M
1996-10-01,4.12M
1996-11-01,4.13M
1996-12-01,4.21M
1997-01-01,4.17M
1997-02-01,4.26M
1997-03-01,4.28M
1997-04-01,4.19M
1997-05-01,4.19M
1997-06-01,4.32M
1997-07-01,4.25M
1997-08-01,4.30M
1997-09-01,4.47M
1997-10-01,4.53M
1997-11-01,4.65M
1997-12-01,4.57M
1998-01-01,4.67M
1998-02-01,4.61M
1998-03-01,4.83M
1998-04-01,4.94M
1998-05-01,4.91M
1998-06-01,4.96M
1998-07-01,4.90M
1998-08-01,5.02M
1998-09-01,4.97M
1998-10-01,4.97M
1998-11-01,5.05M
1998-12-01,5.12M
1999-01-01,5.28M
1999-02-01,5.23M
1999-03-01,5.10M
1999-04-01,5.15M
1999-05-01,5.08M
1999-06-01,5.19M
1999-07-01,5.43M
1999-08-01,5.25M
1999-09-01,5.23M
1999-10-01,5.12M
1999-11-01,5.11M
1999-12-01,5.09M
2000-01-01,5.08M
2000-02-01,5.23M
2000-03-01,5.12M
2000-04-01,5.19M
2000-05-01,5.20M
2000-06-01,5.11M
2000-07-01,5.13M
2000-08-01,5.11M
2000-09-01,5.17M
2000-10-01,5.29M
2000-11-01,5.25M
2000-12-01,5.35M
2001-01-01,5.10M
2001-02-01,5.10M
2001-03-01,5.23M
2001-04-01,5.45M
2001-05-01,5.32M
2001-06-01,5.27M
2001-07-01,5.43M
2001-08-01,5.43M
2001-09-01,5.48M
2001-10-01,5.23M
2001-11-01,5.25M
2001-12-01,5.24M
2002-01-01,5.49M
2002-02-01,5.86M
2002-03-01,5.90M
2002-04-01,5.63M
2002-05-01,5.67M
2002-06-01,5.64M
2002-07-01,5.51M
2002-08-01,5.41M
2002-09-01,5.36M
2002-10-01,5.52M
2002-11-01,5.68M
2002-12-01,5.73M
2003-01-01,5.97M
2003-02-01,6.03M
2003-03-01,6.02M
2003-04-01,5.86M
2003-05-01,5.84M
2003-06-01,5.94M
