Date,Value
1991-03-01,0.50%
1991-04-01,0.00%
1991-05-01,-0.20%
1991-06-01,0.10%
1991-07-01,0.10%
1991-08-01,0.00%
1991-09-01,-0.20%
1991-10-01,0.30%
1991-11-01,0.30%
1991-12-01,0.60%
1992-01-01,0.40%
1992-02-01,0.40%
1992-03-01,0.70%
1992-04-01,-0.20%
1992-05-01,-0.30%
1992-06-01,0.10%
1992-07-01,0.00%
1992-08-01,0.30%
1992-09-01,0.40%
1992-10-01,0.40%
1992-11-01,0.30%
1992-12-01,0.30%
1993-01-01,-0.10%
1993-02-01,0.00%
1993-03-01,-0.20%
1993-04-01,0.30%
1993-05-01,0.70%
1993-06-01,0.20%
1993-07-01,0.40%
1993-08-01,0.10%
1993-09-01,0.30%
1993-10-01,0.40%
1993-11-01,0.20%
1993-12-01,0.30%
1994-01-01,0.50%
1994-02-01,0.30%
1994-03-01,0.20%
1994-04-01,0.30%
1994-05-01,0.30%
1994-06-01,0.30%
1994-07-01,0.20%
1994-08-01,0.10%
1994-09-01,0.30%
1994-10-01,0.10%
1994-11-01,0.20%
1994-12-01,0.20%
1995-01-01,0.00%
1995-02-01,0.40%
1995-03-01,0.40%
1995-04-01,-0.10%
1995-05-01,0.20%
1995-06-01,0.10%
1995-07-01,0.40%
1995-08-01,0.50%
1995-09-01,0.20%
1995-10-01,0.20%
1995-11-01,0.10%
1995-12-01,0.20%
1996-01-01,0.40%
1996-02-01,0.40%
1996-03-01,0.20%
1996-04-01,0.30%
1996-05-01,0.30%
1996-06-01,0.30%
1996-07-01,0.10%
1996-08-01,0.40%
1996-09-01,0.00%
1996-10-01,0.30%
1996-11-01,0.00%
1996-12-01,0.30%
1997-01-01,0.30%
1997-02-01,0.10%
1997-03-01,0.30%
1997-04-01,0.40%
1997-05-01,0.20%
1997-06-01,0.40%
1997-07-01,0.10%
1997-08-01,0.30%
1997-09-01,0.40%
1997-10-01,0.10%
1997-11-01,0.50%
1997-12-01,0.30%
1998-01-01,0.30%
1998-02-01,0.30%
1998-03-01,0.80%
1998-04-01,0.30%
1998-05-01,0.50%
1998-06-01,0.40%
