Date,Value
2001-08-01,-16.00
2001-09-01,1.00
2001-10-01,-10.00
2001-11-01,-9.00
2001-12-01,-10.00
2002-01-01,-7.00
2002-02-01,2.00
2002-03-01,-3.00
2002-04-01,6.00
2002-05-01,1.00
2002-06-01,7.00
2002-07-01,2.00
2002-08-01,3.00
2002-09-01,5.00
2002-10-01,-3.00
2002-11-01,0.00
2002-12-01,3.00
2003-01-01,-2.00
2003-02-01,2.00
2003-03-01,3.00
2003-04-01,-1.00
2003-05-01,-2.00
2003-06-01,-7.00
2003-07-01,1.00
2003-08-01,8.00
2003-09-01,6.00
2003-10-01,14.00
2003-11-01,13.00
2003-12-01,13.00
2004-01-01,19.00
2004-02-01,12.00
2004-03-01,10.00
2004-04-01,12.00
2004-05-01,19.00
2004-06-01,14.00
2004-07-01,12.00
2004-08-01,16.00
2004-09-01,13.00
2004-10-01,16.00
2004-11-01,17.00
2004-12-01,13.00
2005-01-01,12.00
2005-02-01,12.00
2005-03-01,19.00
2005-04-01,19.00
2005-05-01,12.00
2005-06-01,5.00
2005-07-01,10.00
2005-08-01,10.00
2005-09-01,9.00
2005-10-01,14.00
2005-11-01,13.00
2005-12-01,13.00
2006-01-01,15.00
2006-02-01,16.00
2006-03-01,12.00
2006-04-01,17.00
2006-05-01,14.00
2006-06-01,17.00
2006-07-01,17.00
2006-08-01,13.00
2006-09-01,11.00
2006-10-01,11.00
2006-11-01,11.00
2006-12-01,9.00
2007-01-01,10.00
2007-02-01,8.00
2007-03-01,15.00
2007-04-01,10.00
2007-05-01,11.00
2007-06-01,9.00
2007-07-01,5.00
2007-08-01,7.00
2007-09-01,8.00
2007-10-01,2.00
2007-11-01,3.00
2007-12-01,4.00
2008-01-01,8.00
2008-02-01,9.00
2008-03-01,2.00
2008-04-01,-2.00
2008-05-01,1.00
2008-06-01,0.00
2008-07-01,-5.00
2008-08-01,8.00
2008-09-01,6.00
2008-10-01,-8.00
2008-11-01,-12.00
2008-12-01,-23.00
2009-01-01,-19.00
2009-02-01,-21.00
2009-03-01,-22.00
2009-04-01,-21.00
2009-05-01,-16.00
2009-06-01,-9.00
2009-07-01,-6.00
2009-08-01,-6.00
2009-09-01,-5.00
2009-10-01,1.00
2009-11-01,3.00
2009-12-01,6.00
2010-01-01,2.00
2010-02-01,5.00
2010-03-01,5.00
2010-04-01,6.00
2010-05-01,7.00
2010-06-01,4.00
2010-07-01,1.00
2010-08-01,7.00
2010-09-01,4.00
2010-10-01,6.00
2010-11-01,5.00
2010-12-01,13.00
2011-01-01,17.00
2011-02-01,7.00
2011-03-01,16.00
2011-04-01,23.00
2011-05-01,13.00
2011-06-01,0.00
2011-07-01,14.00
2011-08-01,4.00
2011-09-01,3.00
2011-10-01,7.00
2011-11-01,9.00
2011-12-01,6.00
2012-01-01,-1.00
2012-02-01,7.00
2012-03-01,13.00
2012-03-29,9.00
2012-04-26,3.00
2012-05-24,9.00
2012-06-28,3.00
2012-07-26,5.00
2012-08-30,8.00
2012-09-27,2.00
2012-10-25,-4.00
2012-11-29,-6.00
2012-12-21,-2.00
2013-01-24,-2.00
2013-02-28,-10.00
2013-03-28,-5.00
2013-04-25,-5.00
2013-05-23,2.00
2013-06-27,-5.00
2013-07-25,6.00
2013-08-22,8.00
2013-09-26,2.00
2013-10-24,6.00
2013-11-22,7.00
2013-12-20,-3.00
2014-01-23,5.00
2014-02-27,4.00
2014-03-27,10.00
2014-04-24,7.00
2014-05-22,10.00
2014-06-26,6.00
2014-07-24,9.00
2014-08-28,3
2014-09-25,6
2014-10-23,4
2014-11-21,7
2014-12-19,8
2015-01-22,3
2015-02-26,1
2015-03-26,-4
2015-04-23,-7
2015-05-21,-13
2015-06-25,-9
2015-07-23,-7
2015-08-27,-9
2015-09-24,-8
2015-10-22,-1
2015-11-20,1
2015-12-18,-9
2016-01-28,-9
2016-02-25,-12
2016-03-24,-6
2016-04-28,-4
2016-05-26,-5
2016-06-23,2
2016-07-28,-6
2016-08-25,-4
2016-09-22,6
2016-10-27,6
2016-11-18,1
2016-12-22,11
2017-01-26,9
2017-02-23,14
2017-03-23,20
2017-04-27,7
2017-05-25,8
2017-06-22,11
2017-07-27,10
2017-08-24,16
2017-09-28,17
2017-10-26,23
2017-11-17,16
2017-12-22,14
2018-01-25,16
2018-02-22,17
2018-03-22,17
2018-04-26,26
2018-05-24,29
2018-06-28,28
2018-07-26,23
2018-08-23,14
2018-09-27,13
2018-10-25,8
2018-11-16,15
2018-12-21,3
2019-01-24,5
2019-02-28,1
2019-03-28,10
2019-04-25,5
2019-05-23,4
2019-06-27,0
2019-07-25,-1
2019-08-22,-6
2019-09-26,-2
2019-10-24,-3
2019-11-22,-3
2019-12-20,-8
2020-01-23,-1
2020-02-27,5
2020-03-26,-17
2020-04-23,-30
2020-05-28,-19
2020-06-25,1
2020-07-23,3
2020-08-27,14
2020-09-24,11
