Date,Value
2001-08-01,-18.00
2001-09-01,19.00
2001-10-01,-2.00
2001-11-01,-1.00
2001-12-01,-3.00
2002-01-01,1.00
2002-02-01,3.00
2002-03-01,5.00
2002-04-01,14.00
2002-05-01,10.00
2002-06-01,17.00
2002-07-01,0.00
2002-08-01,11.00
2002-09-01,10.00
2002-10-01,0.00
2002-11-01,7.00
2002-12-01,10.00
2003-01-01,0.00
2003-02-01,12.00
2003-03-01,10.00
2003-04-01,2.00
2003-05-01,8.00
2003-06-01,-2.00
2003-07-01,8.00
2003-08-01,12.00
2003-09-01,18.00
2003-10-01,30.00
2003-11-01,23.00
2003-12-01,18.00
2004-01-01,21.00
2004-02-01,16.00
2004-03-01,16.00
2004-04-01,18.00
2004-05-01,21.00
2004-06-01,18.00
2004-07-01,19.00
2004-08-01,24.00
2004-09-01,13.00
2004-10-01,18.00
2004-11-01,15.00
2004-12-01,20.00
2005-01-01,20.00
2005-02-01,18.00
2005-03-01,34.00
2005-04-01,35.00
2005-05-01,12.00
2005-06-01,2.00
2005-07-01,11.00
2005-08-01,2.00
2005-09-01,12.00
2005-10-01,29.00
2005-11-01,15.00
2005-12-01,13.00
2006-01-01,18.00
2006-02-01,21.00
2006-03-01,13.00
2006-04-01,25.00
2006-05-01,13.00
2006-06-01,25.00
2006-07-01,19.00
2006-08-01,15.00
2006-09-01,16.00
2006-10-01,11.00
2006-11-01,13.00
2006-12-01,11.00
2007-01-01,8.00
2007-02-01,8.00
2007-03-01,20.00
2007-04-01,12.00
2007-05-01,21.00
2007-06-01,14.00
2007-07-01,-5.00
2007-08-01,11.00
2007-09-01,16.00
2007-10-01,5.00
2007-11-01,12.00
2007-12-01,9.00
2008-01-01,13.00
2008-02-01,9.00
2008-03-01,-1.00
2008-04-01,-3.00
2008-05-01,-2.00
2008-06-01,-3.00
2008-07-01,-16.00
2008-08-01,19.00
2008-09-01,11.00
2008-10-01,-12.00
2008-11-01,-19.00
2008-12-01,-31.00
2009-01-01,-19.00
2009-02-01,-20.00
2009-03-01,-21.00
2009-04-01,-19.00
2009-05-01,-12.00
2009-06-01,-4.00
2009-07-01,1.00
2009-08-01,2.00
2009-09-01,2.00
2009-10-01,13.00
2009-11-01,8.00
2009-12-01,16.00
2010-01-01,10.00
2010-02-01,13.00
2010-03-01,16.00
2010-04-01,14.00
2010-05-01,19.00
2010-06-01,4.00
2010-07-01,4.00
2010-08-01,15.00
2010-09-01,9.00
2010-10-01,16.00
2010-11-01,13.00
2010-12-01,21.00
2011-01-01,26.00
2011-02-01,10.00
2011-03-01,20.00
2011-04-01,33.00
2011-05-01,15.00
2011-06-01,-6.00
2011-07-01,20.00
2011-08-01,3.00
2011-09-01,0.00
2011-10-01,6.00
2011-11-01,8.00
2011-12-01,4.00
2012-01-01,-3.00
2012-02-01,15.00
2012-03-01,22.00
2012-04-01,10.00
2012-05-01,2.00
2012-06-01,12.00
2012-07-01,10.00
2012-08-01,0.00
2012-09-01,3.00
2012-10-01,-2.00
2012-11-01,-4.00
2012-12-01,-4.00
2013-01-01,-1.00
2013-02-01,3.00
2013-03-01,-5.00
2013-04-01,-2.00
2013-05-01,4.00
2013-06-01,2.00
2013-07-01,-18.00
2013-08-01,17.00
2013-09-01,16.00
2013-10-01,3.00
2013-11-01,12.00
2013-12-01,9.00
2014-01-01,-14.00
2014-02-01,-4.00
2014-03-01,5.00
2014-04-01,20.00
2014-05-01,12.00
2014-06-01,12.00
2014-07-01,4.00
2014-08-28,4
2014-09-25,12
2014-10-23,3
2014-11-21,9
2014-12-19,9
2015-01-22,-2
2015-02-26,5
2015-03-26,-2
2015-04-23,-2
2015-05-21,-13
2015-06-25,-21
2015-07-23,-5
2015-08-27,-16
2015-09-24,1
2015-10-22,4
2015-11-20,3
2015-12-18,-8
2016-01-28,-8
2016-02-25,-8
2016-03-24,-14
2016-04-28,-8
2016-05-26,-11
2016-06-23,12
2016-07-28,-15
2016-08-25,-7
2016-09-22,15
2016-10-27,18
2016-11-18,9
2016-12-22,24
2017-01-26,20
2017-02-23,11
2017-03-23,37
2017-04-27,12
2017-05-25,-1
2017-06-22,23
2017-07-27,4
2017-08-24,22
2017-09-28,22
2017-10-26,20
2017-11-17,15
2017-12-22,21
2018-01-25,16
2018-02-22,17
2018-03-22,20
2018-04-26,33
2018-05-24,41
2018-06-28,38
2018-07-26,22
2018-08-23,10
2018-09-27,10
2018-10-25,5
2018-11-16,24
2018-12-21,-18
2019-01-24,2
2019-02-28,-4
2019-03-28,17
2019-04-25,12
2019-05-23,2
2019-06-27,-3
2019-07-25,-6
2019-08-22,-2
2019-09-26,11
2019-10-24,8
2019-11-22,-5
2019-12-20,-7
2020-01-23,-4
2020-02-27,8
2020-03-26,-18
2020-04-23,-62
2020-05-28,-25
2020-06-25,2
2020-07-23,7
2020-08-27,23
2020-09-24,18
