Date,Value
1970-03-01,75.80
1970-06-01,71.20
1970-09-01,75.70
1970-12-01,71.30
1971-03-01,75.90
1971-06-01,75.90
1971-09-01,78.40
1971-12-01,77.20
1972-03-01,90.90
1972-06-01,82.20
1972-09-01,91.30
1972-12-01,87.80
1973-03-01,73.30
1973-06-01,67.30
1973-09-01,63.00
1973-12-01,67.10
1974-03-01,49.40
1974-06-01,63.90
1974-09-01,57.60
1974-12-01,51.20
1975-03-01,50.00
1975-06-01,69.80
1975-09-01,70.70
1975-12-01,69.90
1976-03-01,81.20
1976-06-01,79.50
1976-09-01,85.50
1976-12-01,85.90
1977-03-01,84.20
1977-06-01,83.60
1977-09-01,81.50
1977-12-01,75.90
1978-02-01,75.70
1978-03-01,77.20
1978-04-01,69.50
1978-05-01,71.10
1978-06-01,73.00
1978-07-01,68.10
1978-08-01,72.00
1978-09-01,67.00
1978-10-01,69.80
1978-11-01,71.70
1978-12-01,62.80
1979-01-01,53.80
1979-02-01,58.40
1979-03-01,62.20
1979-04-01,53.70
1979-05-01,53.30
1979-06-01,54.90
1979-07-01,51.40
1979-08-01,44.20
1979-09-01,49.30
1979-10-01,53.60
1979-11-01,49.50
1979-12-01,52.00
1980-01-01,51.50
1980-02-01,54.10
1980-03-01,54.90
1980-04-01,44.30
1980-05-01,44.40
1980-06-01,45.30
1980-07-01,53.00
1980-08-01,53.40
1980-09-01,59.60
1980-10-01,67.90
1980-11-01,69.60
1980-12-01,76.90
1981-01-01,60.40
1981-02-01,67.90
1981-03-01,62.10
1981-04-01,62.10
1981-05-01,68.80
1981-06-01,73.60
1981-07-01,71.20
1981-08-01,67.10
1981-09-01,70.80
1981-10-01,69.00
1981-11-01,62.20
1981-12-01,56.30
1982-01-01,56.80
1982-02-01,62.90
1982-03-01,58.70
1982-04-01,53.10
1982-05-01,61.10
1982-06-01,62.00
1982-07-01,60.10
1982-08-01,57.60
1982-09-01,60.90
1982-10-01,66.90
1982-11-01,70.40
1982-12-01,71.00
1983-01-01,67.90
1983-02-01,65.20
1983-03-01,71.20
1983-04-01,80.90
1983-05-01,86.90
1983-06-01,93.40
1983-07-01,89.20
1983-08-01,90.50
1983-09-01,88.20
1983-10-01,85.80
1983-11-01,86.10
1983-12-01,87.90
1984-01-01,91.00
1984-02-01,97.00
1984-03-01,93.20
1984-04-01,97.70
1984-05-01,91.40
1984-06-01,90.60
1984-07-01,89.80
1984-08-01,91.90
1984-09-01,93.70
1984-10-01,96.40
1984-11-01,91.60
1984-12-01,91.50
1985-01-01,87.90
1985-02-01,90.30
1985-03-01,86.50
1985-04-01,87.30
1985-05-01,87.00
1985-06-01,84.20
1985-07-01,91.10
1985-08-01,87.40
1985-09-01,86.30
1985-10-01,84.20
1985-11-01,80.80
1985-12-01,84.50
1986-01-01,88.10
1986-02-01,85.30
1986-03-01,87.80
1986-04-01,86.90
1986-05-01,88.50
1986-06-01,87.50
1986-07-01,90.30
1986-08-01,88.50
1986-09-01,85.90
1986-10-01,81.30
1986-11-01,87.10
1986-12-01,81.60
1987-01-01,78.30
1987-02-01,80.90
1987-03-01,81.60
1987-04-01,83.30
