Date,Value
1970-03-01,78.10
1970-06-01,75.40
1970-09-01,77.60
1970-12-01,72.40
1971-03-01,78.10
1971-06-01,80.20
1971-09-01,82.10
1971-12-01,82.00
1972-03-01,92.80
1972-06-01,88.60
1972-09-01,95.20
1972-12-01,90.70
1973-03-01,81.90
1973-06-01,77.00
1973-09-01,72.00
1973-12-01,76.50
1974-03-01,61.80
1974-06-01,72.10
1974-09-01,64.40
1974-12-01,59.50
1975-03-01,57.60
1975-06-01,72.80
1975-09-01,75.70
1975-12-01,75.60
1976-03-01,84.60
1976-06-01,83.30
1976-09-01,89.70
1976-12-01,87.00
1977-03-01,87.10
1977-06-01,90.20
1977-09-01,89.00
1977-12-01,84.40
1978-02-01,83.70
1978-03-01,84.30
1978-04-01,78.80
1978-05-01,81.60
1978-06-01,82.90
1978-07-01,80.00
1978-08-01,82.40
1978-09-01,78.40
1978-10-01,80.40
1978-11-01,79.30
1978-12-01,75.00
1979-01-01,66.10
1979-02-01,72.10
1979-03-01,73.90
1979-04-01,68.40
1979-05-01,66.00
1979-06-01,68.10
1979-07-01,65.80
1979-08-01,60.40
1979-09-01,64.50
1979-10-01,66.70
1979-11-01,62.10
1979-12-01,63.30
1980-01-01,61.00
1980-02-01,67.00
1980-03-01,66.90
1980-04-01,56.50
1980-05-01,52.70
1980-06-01,51.70
1980-07-01,58.70
1980-08-01,62.30
1980-09-01,67.30
1980-10-01,73.70
1980-11-01,75.00
1980-12-01,76.70
1981-01-01,64.50
1981-02-01,71.40
1981-03-01,66.90
1981-04-01,66.50
1981-05-01,72.40
1981-06-01,76.30
1981-07-01,73.10
1981-08-01,74.10
1981-09-01,77.20
1981-10-01,73.10
1981-11-01,70.30
1981-12-01,62.50
1982-01-01,64.30
1982-02-01,71.00
1982-03-01,66.50
1982-04-01,62.00
1982-05-01,65.50
1982-06-01,67.50
1982-07-01,65.70
1982-08-01,65.40
1982-09-01,65.40
1982-10-01,69.30
1982-11-01,73.40
1982-12-01,72.10
1983-01-01,71.90
1983-02-01,70.40
1983-03-01,74.60
1983-04-01,80.80
1983-05-01,89.10
1983-06-01,93.30
1983-07-01,92.20
1983-08-01,92.80
1983-09-01,90.90
1983-10-01,89.90
1983-11-01,89.30
1983-12-01,91.10
1984-01-01,94.20
1984-02-01,100.10
1984-03-01,97.40
1984-04-01,101.00
1984-05-01,96.10
1984-06-01,98.10
1984-07-01,95.50
1984-08-01,96.60
1984-09-01,99.10
1984-10-01,100.90
1984-11-01,96.30
1984-12-01,95.70
1985-01-01,92.90
1985-02-01,96.00
1985-03-01,93.70
1985-04-01,93.70
1985-05-01,94.60
1985-06-01,91.80
1985-07-01,96.50
1985-08-01,94.00
1985-09-01,92.40
1985-10-01,92.10
1985-11-01,88.40
1985-12-01,90.90
1986-01-01,93.90
1986-02-01,95.60
1986-03-01,95.90
1986-04-01,95.10
1986-05-01,96.20
1986-06-01,94.80
1986-07-01,99.30
1986-08-01,97.70
1986-09-01,94.90
1986-10-01,91.90
1986-11-01,95.60
1986-12-01,91.40
1987-01-01,89.10
1987-02-01,90.40
1987-03-01,90.20
1987-04-01,90.80
1987-05-01,92.80
1987-06-01,91.10
1987-07-01,91.50
1987-08-01,93.70
1987-09-01,94.40
1987-10-01,93.60
1987-11-01,89.30
1987-12-01,83.10
1988-01-01,86.80
1988-02-01,90.80
1988-03-01,91.60
1988-04-01,94.60
1988-05-01,91.20
1988-06-01,94.80
1988-07-01,94.70
1988-08-01,93.40
1988-09-01,97.40
1988-10-01,97.30
1988-11-01,94.10
1988-12-01,93.00
1989-01-01,91.90
1989-02-01,97.90
1989-03-01,95.40
1989-04-01,94.30
1989-05-01,91.50
1989-06-01,90.70
1989-07-01,90.60
1989-08-01,92.00
1989-09-01,89.60
1989-10-01,95.80
1989-11-01,93.90
1989-12-01,90.90
1990-01-01,90.50
1990-02-01,93.00
1990-03-01,89.50
1990-04-01,91.30
1990-05-01,93.90
1990-06-01,90.60
1990-07-01,88.30
1990-08-01,88.20
1990-09-01,76.40
1990-10-01,72.80
1990-11-01,63.90
1990-12-01,66.00
1991-01-01,65.50
1991-02-01,66.80
1991-03-01,70.40
1991-04-01,87.70
1991-05-01,81.80
1991-06-01,78.30
1991-07-01,82.10
1991-08-01,82.90
1991-09-01,82.00
1991-10-01,83.00
1991-11-01,78.30
1991-12-01,69.10
1992-01-01,68.20
1992-02-01,67.50
1992-03-01,68.80
1992-04-01,76.00
1992-05-01,77.20
1992-06-01,79.20
1992-07-01,80.40
1992-08-01,76.60
1992-09-01,76.10
1992-10-01,75.60
1992-11-01,73.30
1992-12-01,85.30
1993-01-01,91.00
1993-02-01,89.30
1993-03-01,86.60
1993-04-01,85.90
1993-05-01,85.60
1993-06-01,80.30
1993-07-01,81.50
1993-08-01,77.00
1993-09-01,77.30
1993-10-01,77.90
1993-11-01,82.70
1993-12-01,81.20
1994-01-01,88.20
1994-02-01,94.30
1994-03-01,93.20
1994-04-01,91.50
1994-05-01,92.60
1994-06-01,92.80
1994-07-01,91.20
1994-08-01,89.00
1994-09-01,91.70
1994-10-01,91.50
1994-11-01,92.70
1994-12-01,91.60
1995-01-01,95.10
1995-02-01,97.60
1995-03-01,95.10
1995-04-01,90.30
1995-05-01,92.50
1995-06-01,89.80
1995-07-01,92.70
1995-08-01,94.40
1995-09-01,96.20
1995-10-01,88.90
1995-11-01,90.20
1995-12-01,88.20
1996-01-01,91.00
1996-02-01,89.30
1996-03-01,88.50
1996-04-01,93.70
1996-05-01,92.70
1996-06-01,89.40
1996-07-01,92.40
1996-08-01,94.70
1996-09-01,95.30
1996-10-01,94.70
1996-11-01,96.50
1996-12-01,99.20
1997-01-01,96.90
1997-02-01,97.40
1997-03-01,99.70
1997-04-01,100.00
1997-05-01,101.40
1997-06-01,103.20
1997-07-01,104.50
1997-08-01,107.10
1997-09-01,104.40
1997-10-01,106.00
1997-11-01,105.60
1997-12-01,107.20
1998-01-01,102.10
1998-02-01,106.60
1998-03-01,110.40
1998-04-01,106.50
1998-05-01,108.70
1998-06-01,106.50
1998-07-01,105.60
1998-08-01,105.20
1998-09-01,104.40
1998-10-01,100.90
1998-11-01,97.40
1998-12-01,102.70
1999-01-01,100.50
1999-02-01,103.90
1999-03-01,108.10
1999-04-01,105.70
1999-05-01,104.60
1999-06-01,106.80
1999-07-01,107.30
1999-08-01,106.00
1999-09-01,104.50
1999-10-01,107.20
1999-11-01,103.20
1999-12-01,107.20
2000-01-01,105.40
2000-02-01,111.40
2000-03-01,111.30
2000-04-01,107.10
2000-05-01,109.20
2000-06-01,110.70
2000-07-01,106.40
2000-08-01,108.30
2000-09-01,107.30
2000-10-01,106.80
2000-11-01,105.80
2000-12-01,107.60
2001-01-01,98.40
2001-02-01,94.70
2001-03-01,90.60
2001-04-01,91.50
2001-05-01,88.40
2001-06-01,92.00
2001-07-01,92.60
2001-08-01,92.40
2001-09-01,91.50
2001-10-01,81.80
2001-11-01,82.70
2001-12-01,83.90
2002-01-01,88.80
2002-02-01,93.00
2002-03-01,90.70
2002-04-01,95.70
2002-05-01,93.00
2002-06-01,96.90
2002-07-01,92.40
2002-08-01,88.10
2002-09-01,87.60
2002-10-01,86.10
2002-11-01,80.60
2002-12-01,84.20
2003-01-01,86.70
2003-02-01,82.40
2003-03-01,79.90
2003-04-01,77.60
2003-05-01,86.00
2003-06-01,92.10
2003-07-01,89.70
2003-08-01,90.90
2003-09-01,89.30
2003-10-01,87.70
2003-11-01,89.60
2003-12-01,93.70
2004-01-01,92.60
2004-02-01,103.80
2004-03-01,94.40
2004-04-01,95.80
2004-05-01,94.20
2004-06-01,90.20
2004-07-01,95.60
2004-08-01,96.70
2004-09-01,95.90
2004-10-01,94.20
2004-11-01,91.70
2004-12-01,92.80
2005-01-01,97.10
2005-02-01,95.50
2005-03-01,94.10
2005-04-01,92.60
2005-05-01,87.70
2005-06-01,86.90
2005-07-01,96.00
2005-08-01,96.50
2005-09-01,89.10
2005-10-01,76.90
2005-11-01,74.20
2005-12-01,81.60
2006-01-01,91.50
2006-02-01,91.20
2006-03-01,86.70
2006-04-01,88.90
2006-05-01,87.40
2006-06-01,79.10
2006-07-01,84.90
2006-08-01,84.70
2006-09-01,82.00
2006-10-01,85.40
2006-11-01,93.60
2006-12-01,92.10
2007-01-01,91.70
2007-02-01,96.90
2007-03-01,91.30
2007-04-01,88.40
2007-05-01,87.10
2007-06-01,88.30
2007-07-01,85.30
2007-08-01,90.40
2007-09-01,83.40
2007-10-01,83.40
2007-11-01,80.90
2007-12-01,76.10
2008-01-01,75.50
2008-02-29,70.8
2008-03-14,70.5
2008-03-28,69.5
2008-04-11,63.2
2008-04-25,62.6
2008-05-16,59.5
2008-06-13,56.7
2008-06-27,56.4
2008-07-11,56.6
2008-07-25,61.2
2008-08-15,61.7
2008-09-12,73.1
2008-09-26,70.3
2008-10-17,57.5
2008-10-31,57.6
2008-11-14,57.9
2008-11-26,55.3
2008-12-12,59.1
2008-12-23,60.1
2009-01-16,61.9
2009-02-13,56.2
2009-02-27,56.3
2009-03-13,56.6
2009-03-27,57.3
2009-04-17,61.9
2009-05-01,65.1
2009-05-15,67.9
2009-05-29,68.7
2009-06-12,69.0
2009-06-26,70.8
2009-07-10,64.6
2009-07-24,66.0
2009-08-14,63.2
2009-08-28,65.7
2009-09-11,70.2
2009-09-25,73.5
2009-10-16,69.4
2009-10-30,70.6
2009-11-13,66.0
2009-11-25,67.4
2009-12-11,73.4
2009-12-23,72.5
2010-01-15,72.8
2010-01-29,74.4
2010-02-12,73.7
2010-02-26,73.6
2010-03-12,72.5
2010-03-26,73.6
2010-04-16,69.5
2010-04-30,72.2
2010-05-14,73.3
2010-05-28,73.6
2010-06-11,75.5
2010-06-25,76.0
2010-07-16,66.5
2010-07-30,67.8
2010-08-13,69.6
2010-08-27,68.9
2010-09-17,66.6
2010-10-01,68.2
2010-10-15,67.9
2010-10-29,67.7
2010-11-12,69.3
2010-11-24,71.6
2010-12-10,74.2
2010-12-23,74.5
2011-01-14,72.7
2011-01-28,74.2
2011-02-11,75.1
2011-02-25,77.5
2011-03-11,68.2
2011-03-25,67.5
2011-04-15,69.6
2011-04-29,69.8
2011-05-13,72.4
2011-05-27,74.3
2011-06-17,71.8
2011-07-01,71.5
2011-07-15,63.8
2011-07-29,63.7
2011-08-12,54.9
2011-08-26,55.7
2011-09-16,57.8
2011-09-30,59.4
2011-10-14,57.5
2011-10-28,60.9
2011-11-11,64.2
2011-11-23,64.1
2011-12-09,67.7
2011-12-22,69.9
2012-01-13,74.0
2012-01-27,75.0
2012-02-10,72.5
2012-02-24,75.3
2012-03-16,74.3
2012-03-30,76.2
2012-04-13,75.7
2012-04-27,76.4
2012-05-11,77.8
2012-05-25,79.3
2012-06-15,74.1
2012-06-29,73.2
2012-07-13,72.0
2012-07-27,72.3
