Date,Value
1970-03-01,81.60
1970-06-01,81.90
1970-09-01,80.60
1970-12-01,74.00
1971-03-01,81.70
1971-06-01,87.00
1971-09-01,87.80
1971-12-01,89.60
1972-03-01,95.70
1972-06-01,98.60
1972-09-01,101.20
1972-12-01,95.20
1973-03-01,95.10
1973-06-01,92.00
1973-09-01,85.90
1973-12-01,91.00
1974-03-01,81.10
1974-06-01,84.90
1974-09-01,75.00
1974-12-01,72.40
1975-03-01,69.30
1975-06-01,77.40
1975-09-01,83.50
1975-12-01,84.40
1976-03-01,89.90
1976-06-01,89.10
1976-09-01,96.20
1976-12-01,88.70
1977-03-01,91.60
1977-06-01,100.40
1977-09-01,100.80
1977-12-01,97.60
1978-02-01,96.20
1978-03-01,95.40
1978-04-01,93.20
1978-05-01,98.00
1978-06-01,98.20
1978-07-01,98.40
1978-08-01,98.70
1978-09-01,96.10
1978-10-01,96.90
1978-11-01,91.20
1978-12-01,94.10
1979-01-01,85.20
1979-02-01,93.30
1979-03-01,92.20
1979-04-01,91.20
1979-05-01,85.90
1979-06-01,88.70
1979-07-01,88.20
1979-08-01,85.70
1979-09-01,88.20
1979-10-01,87.10
1979-11-01,81.60
1979-12-01,80.90
1980-01-01,75.80
1980-02-01,87.10
1980-03-01,85.50
1980-04-01,75.30
1980-05-01,65.80
1980-06-01,61.70
1980-07-01,67.40
1980-08-01,76.10
1980-09-01,79.40
1980-10-01,82.70
1980-11-01,83.40
1980-12-01,76.40
1981-01-01,70.90
1981-02-01,76.70
1981-03-01,74.40
1981-04-01,73.50
1981-05-01,78.10
1981-06-01,80.40
1981-07-01,76.10
1981-08-01,84.90
1981-09-01,87.10
1981-10-01,79.50
1981-11-01,82.80
1981-12-01,72.10
1982-01-01,75.90
1982-02-01,83.50
1982-03-01,78.60
1982-04-01,75.90
1982-05-01,72.30
1982-06-01,76.10
1982-07-01,74.30
1982-08-01,77.50
1982-09-01,72.50
1982-10-01,72.90
1982-11-01,78.10
1982-12-01,73.80
1983-01-01,78.10
1983-02-01,78.40
1983-03-01,79.90
1983-04-01,80.50
1983-05-01,92.70
1983-06-01,93.10
1983-07-01,96.90
1983-08-01,96.50
1983-09-01,95.10
1983-10-01,96.40
1983-11-01,94.30
1983-12-01,96.10
1984-01-01,99.30
1984-02-01,104.90
1984-03-01,103.90
1984-04-01,106.00
1984-05-01,103.50
1984-06-01,109.80
1984-07-01,104.40
1984-08-01,103.90
1984-09-01,107.50
1984-10-01,107.80
1984-11-01,103.60
1984-12-01,102.40
1985-01-01,100.60
1985-02-01,104.90
1985-03-01,105.10
1985-04-01,103.70
1985-05-01,106.60
1985-06-01,103.70
1985-07-01,104.90
1985-08-01,104.30
1985-09-01,101.80
1985-10-01,104.30
1985-11-01,100.30
1985-12-01,100.70
1986-01-01,103.10
1986-02-01,111.80
1986-03-01,108.40
1986-04-01,107.90
1986-05-01,108.10
1986-06-01,106.20
1986-07-01,113.30
1986-08-01,112.10
1986-09-01,108.90
1986-10-01,108.30
1986-11-01,108.90
1986-12-01,106.70
1987-01-01,105.80
1987-02-01,105.10
1987-03-01,103.70
1987-04-01,102.50
1987-05-01,105.50
1987-06-01,107.40
1987-07-01,108.10
1987-08-01,109.90
1987-09-01,107.80
1987-10-01,108.30
1987-11-01,103.10
1987-12-01,99.30
1988-01-01,102.70
1988-02-01,106.20
1988-03-01,106.60
1988-04-01,109.10
1988-05-01,104.80
1988-06-01,106.50
1988-07-01,108.60
1988-08-01,110.70
1988-09-01,110.80
1988-10-01,109.40
1988-11-01,105.00
1988-12-01,103.30
1989-01-01,102.00
1989-02-01,110.30
1989-03-01,105.70
1989-04-01,104.80
1989-05-01,104.40
1989-06-01,107.10
1989-07-01,104.10
1989-08-01,102.10
1989-09-01,103.90
1989-10-01,107.10
1989-11-01,104.40
1989-12-01,101.20
1990-01-01,98.20
1990-02-01,108.00
1990-03-01,102.30
1990-04-01,106.90
1990-05-01,109.40
1990-06-01,108.10
1990-07-01,106.50
1990-08-01,105.10
1990-09-01,97.50
1990-10-01,94.70
1990-11-01,84.20
1990-12-01,86.70
1991-01-01,84.00
1991-02-01,84.90
1991-03-01,83.70
1991-04-01,92.70
1991-05-01,92.80
1991-06-01,89.00
1991-07-01,91.90
1991-08-01,96.10
1991-09-01,92.30
1991-10-01,93.20
1991-11-01,90.40
1991-12-01,80.30
1992-01-01,78.70
1992-02-01,80.50
1992-03-01,79.70
1992-04-01,84.90
1992-05-01,87.70
1992-06-01,91.50
1992-07-01,95.40
1992-08-01,90.60
1992-09-01,86.20
1992-10-01,88.30
1992-11-01,82.50
1992-12-01,96.40
1993-01-01,93.40
1993-02-01,98.60
1993-03-01,96.00
1993-04-01,101.60
1993-05-01,99.90
1993-06-01,98.70
1993-07-01,98.70
1993-08-01,96.20
1993-09-01,95.10
1993-10-01,95.20
1993-11-01,98.70
1993-12-01,98.20
1994-01-01,102.90
1994-02-01,106.60
1994-03-01,108.30
1994-04-01,101.40
1994-05-01,108.10
1994-06-01,106.30
1994-07-01,104.50
1994-08-01,105.40
1994-09-01,108.70
1994-10-01,104.00
1994-11-01,104.60
1994-12-01,102.10
1995-01-01,104.90
1995-02-01,112.00
1995-03-01,109.30
1995-04-01,106.50
1995-05-01,105.90
1995-06-01,105.00
1995-07-01,106.10
1995-08-01,105.20
1995-09-01,111.80
1995-10-01,104.60
1995-11-01,104.80
1995-12-01,101.30
1996-01-01,102.40
1996-02-01,105.80
1996-03-01,105.20
1996-04-01,105.40
1996-05-01,107.80
1996-06-01,105.10
1996-07-01,105.40
1996-08-01,107.50
1996-09-01,107.80
1996-10-01,102.00
1996-11-01,106.60
1996-12-01,107.50
1997-01-01,104.90
1997-02-01,106.80
1997-03-01,107.20
1997-04-01,109.80
1997-05-01,115.20
1997-06-01,113.50
1997-07-01,113.20
1997-08-01,114.00
1997-09-01,110.70
1997-10-01,114.10
1997-11-01,109.80
1997-12-01,114.90
1998-01-01,111.40
1998-02-01,113.50
1998-03-01,120.00
1998-04-01,113.70
1998-05-01,115.50
1998-06-01,113.90
1998-07-01,115.40
1998-08-01,113.30
1998-09-01,113.90
1998-10-01,111.70
1998-11-01,112.80
1998-12-01,115.90
1999-01-01,113.90
1999-02-01,116.80
1999-03-01,115.00
1999-04-01,116.30
1999-05-01,115.90
1999-06-01,121.10
1999-07-01,118.90
1999-08-01,116.50
1999-09-01,114.10
1999-10-01,115.90
1999-11-01,112.70
1999-12-01,116.80
2000-01-01,112.20
2000-02-01,117.30
2000-03-01,116.80
2000-04-01,115.40
2000-05-01,117.80
2000-06-01,119.90
2000-07-01,115.10
2000-08-01,114.20
2000-09-01,112.40
2000-10-01,112.00
2000-11-01,113.60
2000-12-01,116.90
2001-01-01,110.50
2001-02-01,107.80
2001-03-01,105.80
2001-04-01,103.40
2001-05-01,98.00
2001-06-01,102.20
2001-07-01,101.60
2001-08-01,98.60
2001-09-01,101.20
2001-10-01,94.60
2001-11-01,94.00
2001-12-01,95.30
2002-01-01,99.00
2002-02-01,95.70
2002-03-01,96.20
2002-04-01,100.40
2002-05-01,99.20
2002-06-01,103.50
2002-07-01,99.50
2002-08-01,99.30
2002-09-01,98.50
2002-10-01,95.80
2002-11-01,92.40
2002-12-01,93.10
2003-01-01,96.00
2003-02-01,97.20
2003-03-01,95.40
2003-04-01,90.00
2003-05-01,96.40
2003-06-01,93.20
2003-07-01,94.70
2003-08-01,102.10
2003-09-01,99.70
2003-10-01,98.40
2003-11-01,99.90
2003-12-01,102.50
2004-01-01,97.00
2004-02-01,109.50
2004-03-01,103.60
2004-04-01,106.80
2004-05-01,105.00
2004-06-01,103.60
2004-07-01,106.70
2004-08-01,105.20
2004-09-01,107.90
2004-10-01,103.70
2004-11-01,104.00
2004-12-01,104.70
2005-01-01,106.70
2005-02-01,110.90
2005-03-01,109.20
2005-04-01,108.00
2005-05-01,104.40
2005-06-01,104.90
2005-07-01,113.20
2005-08-01,113.50
2005-09-01,108.20
2005-10-01,98.10
2005-11-01,91.20
2005-12-01,100.20
2006-01-01,109.10
2006-02-01,110.30
2006-03-01,105.60
2006-04-01,109.10
2006-05-01,109.20
2006-06-01,96.10
2006-07-01,105.00
2006-08-01,103.50
2006-09-01,103.80
2006-10-01,96.60
2006-11-01,107.30
2006-12-01,106.00
2007-01-01,108.10
2007-02-01,111.30
2007-03-01,106.70
2007-04-01,103.50
2007-05-01,104.60
2007-06-01,105.10
2007-07-01,101.90
2007-08-01,104.50
2007-09-01,98.40
2007-10-01,97.90
2007-11-01,97.60
2007-12-01,91.50
2008-01-01,91.00
2008-02-01,94.40
2008-03-01,83.80
2008-04-01,84.20
2008-05-01,77.00
2008-06-01,73.30
2008-07-01,67.60
2008-08-01,73.10
2008-09-01,71.00
2008-10-01,75.00
2008-11-01,58.40
2008-12-01,57.50
2009-01-01,69.50
2009-02-01,66.50
2009-03-01,65.50
2009-04-01,63.30
2009-05-01,68.30
2009-06-01,67.70
2009-07-01,73.20
2009-08-01,70.50
2009-09-01,66.60
2009-10-01,73.40
2009-11-01,73.70
2009-12-01,68.80
2010-01-01,78.00
2010-02-01,81.10
2010-03-01,81.80
2010-04-01,82.40
2010-05-01,81.00
2010-06-01,81.00
2010-07-01,85.60
2010-08-01,76.50
2010-09-01,78.30
2010-10-01,79.60
2010-11-01,76.60
2010-12-01,82.10
2011-01-01,85.30
2011-02-01,81.80
2011-03-01,86.90
2011-04-01,82.50
2011-05-01,82.50
2011-06-01,81.90
2011-07-01,82.00
2011-08-01,75.70
2011-09-01,68.50
2011-10-01,75.20
2011-11-01,74.90
2011-12-01,77.40
2012-01-01,79.60
2012-02-01,84.20
2012-03-01,83.00
2012-04-01,86.00
2012-05-01,82.90
2012-06-01,87.20
2012-07-01,81.50
2012-08-01,82.70
2012-09-01,88.70
2012-10-01,85.70
2012-11-01,88.10
2012-12-01,90.60
2013-01-01,87.00
2013-02-01,85.00
2013-03-01,89.00
2013-04-01,90.70
2013-05-01,89.90
2013-06-01,98.00
2013-07-01,93.80
2013-08-01,98.60
2013-09-01,95.20
2013-10-25,89.9
2013-11-08,87.2
2013-11-27,88.0
2013-12-06,97.9
2013-12-23,98.6
2014-01-17,95.2
2014-01-31,96.8
2014-02-14,94.0
2014-02-28,95.4
2014-03-14,96.1
2014-03-28,95.7
2014-04-11,97.1
2014-04-25,98.7
2014-05-16,95.1
2014-05-30,94.5
2014-06-13,95.4
2014-06-27,96.6
2014-07-18,97.1
2014-08-01,97.4
2014-08-15,99.6
2014-08-29,99.8
2014-09-12,98.5
2014-09-26,98.9
2014-10-17,98.9
2014-10-31,98.3
2014-11-14,103.0
2014-11-26,102.7
2014-12-12,105.7
2014-12-23,104.8
2015-01-16,108.3
2015-01-30,109.3
2015-02-13,103.1
2015-02-27,106.9
2015-03-13,103.0
2015-03-27,105.0
2015-04-17,108.2
2015-05-01,107.0
2015-05-15,99.8
2015-05-29,100.8
2015-06-12,106.8
2015-06-26,108.9
2015-07-17,106.0
2015-07-31,107.2
2015-08-14,107.1
2015-08-28,105.1
2015-09-11,100.3
2015-09-25,101.2
2015-10-16,106.7
2015-10-30,102.3
2015-11-13,104.8
2015-11-25,104.3
2015-12-11,107.0
2015-12-23,108.1
2016-01-15,105.1
2016-01-29,106.4
2016-02-12,105.8
2016-02-26,106.8
2016-03-18,105.6
2016-04-01,105.6
2016-04-15,105.4
2016-04-29,106.7
2016-05-13,108.6
2016-05-27,109.9
2016-06-10,111.7
2016-06-24,110.8
2016-07-15,108.7
2016-07-29,109.0
2016-08-12,106.1
2016-08-26,107.0
2016-09-16,103.5
2016-09-30,104.2
2016-10-14,105.5
2016-10-28,103.2
2016-11-11,105.9
2016-11-23,107.3
2016-12-09,112.1
2016-12-23,111.9
2017-01-13,112.5
2017-01-27,111.3
2017-02-10,111.2
2017-02-24,111.5
2017-03-17,114.5
2017-03-31,113.2
2017-04-13,115.2
2017-04-28,112.7
2017-05-12,112.7
