Date,Value
1978-02-01,5.20%
1978-03-01,6.40%
1978-04-01,6.30%
1978-05-01,6.70%
1978-06-01,6.90%
1978-07-01,6.50%
1978-08-01,6.60%
1978-09-01,8.70%
1978-10-01,6.90%
1978-11-01,7.40%
1978-12-01,7.50%
1979-01-01,7.30%
1979-02-01,7.80%
1979-03-01,9.30%
1979-04-01,8.80%
1979-05-01,9.70%
1979-06-01,9.80%
1979-07-01,9.90%
1979-08-01,9.90%
1979-09-01,9.90%
1979-10-01,9.60%
1979-11-01,9.00%
1979-12-01,10.00%
1980-01-01,9.90%
1980-02-01,10.40%
1980-03-01,10.00%
1980-04-01,10.20%
1980-05-01,10.10%
1980-06-01,8.60%
1980-07-01,8.50%
1980-08-01,9.60%
1980-09-01,7.60%
1980-10-01,9.10%
1980-11-01,9.60%
1980-12-01,8.60%
1981-01-01,9.70%
1981-02-01,9.50%
1981-03-01,8.60%
1981-04-01,7.20%
1981-05-01,8.00%
1981-06-01,7.30%
1981-07-01,7.10%
1981-08-01,6.80%
1981-09-01,5.80%
1981-10-01,6.90%
1981-11-01,6.70%
1981-12-01,7.30%
1982-01-01,5.30%
1982-02-01,5.10%
1982-03-01,5.20%
1982-04-01,4.20%
1982-05-01,4.70%
1982-06-01,3.50%
1982-07-01,4.60%
1982-08-01,5.00%
1982-09-01,4.80%
1982-10-01,4.50%
1982-11-01,4.70%
1982-12-01,4.50%
1983-01-01,3.70%
1983-02-01,2.80%
1983-03-01,3.00%
1983-04-01,1.80%
1983-05-01,3.40%
1983-06-01,3.20%
1983-07-01,3.20%
1983-08-01,3.20%
1983-09-01,3.30%
1983-10-01,3.30%
1983-11-01,3.70%
1983-12-01,3.50%
1984-01-01,3.50%
1984-02-01,3.20%
1984-03-01,3.30%
1984-04-01,3.40%
1984-05-01,3.90%
1984-06-01,4.20%
1984-07-01,4.20%
1984-08-01,3.40%
1984-09-01,3.00%
1984-10-01,3.00%
1984-11-01,3.50%
1984-12-01,3.40%
1985-01-01,3.30%
1985-02-01,2.90%
1985-03-01,3.10%
1985-04-01,3.00%
1985-05-01,3.30%
1985-06-01,3.20%
1985-07-01,3.40%
1985-08-01,2.80%
1985-09-01,2.80%
1985-10-01,2.90%
1985-11-01,3.30%
1985-12-01,3.10%
1986-01-01,3.50%
1986-02-01,2.90%
1986-03-01,2.80%
1986-04-01,2.30%
1986-05-01,2.40%
1986-06-01,2.70%
1986-07-01,2.90%
1986-08-01,2.80%
1986-09-01,3.00%
1986-10-01,2.90%
1986-11-01,3.20%
1986-12-01,2.80%
1987-01-01,3.00%
1987-02-01,2.90%
1987-03-01,3.10%
1987-04-01,3.00%
1987-05-01,3.00%
1987-06-01,3.40%
1987-07-01,3.30%
1987-08-01,3.10%
1987-09-01,3.20%
1987-10-01,3.00%
1987-11-01,3.30%
1987-12-01,3.20%
1988-01-01,3.10%
1988-02-01,3.20%
1988-03-01,3.10%
1988-04-01,3.20%
1988-05-01,3.30%
1988-06-01,3.30%
1988-07-01,3.70%
1988-08-01,4.60%
1988-09-01,4.40%
1988-10-01,3.90%
1988-11-01,3.90%
1988-12-01,3.70%
1989-01-01,3.90%
1989-02-01,3.50%
1989-03-01,4.10%
1989-04-01,3.70%
1989-05-01,4.30%
1989-06-01,4.60%
1989-07-01,3.80%
1989-08-01,4.10%
1989-09-01,3.50%
1989-10-01,3.40%
1989-11-01,3.60%
1989-12-01,3.50%
1990-01-01,3.50%
1990-02-01,4.10%
1990-03-01,4.10%
1990-04-01,3.70%
1990-05-01,3.60%
1990-06-01,3.40%
1990-07-01,3.80%
1990-08-01,3.40%
1990-09-01,4.60%
1990-10-01,4.70%
1990-11-01,4.80%
1990-12-01,4.70%
1991-01-01,4.70%
1991-02-01,3.90%
1991-03-01,3.40%
1991-04-01,3.30%
1991-05-01,3.20%
1991-06-01,3.10%
1991-07-01,3.30%
1991-08-01,3.10%
1991-09-01,3.20%
1991-10-01,3.00%
1991-11-01,3.20%
1991-12-01,2.90%
1992-01-01,2.70%
