Date,Value
2001-08-01,-13.29
2001-09-01,-7.98
2001-10-01,-12.48
2001-11-01,-14.73
2001-12-01,-21.51
2002-01-01,-9.78
2002-02-01,1.41
2002-03-01,13.30
2002-04-01,13.80
2002-05-01,20.18
2002-06-01,12.93
2002-07-01,8.91
2002-08-01,-1.86
2002-09-01,8.25
2002-10-01,6.35
2002-11-01,-3.79
2002-12-01,3.97
2003-01-01,2.38
2003-02-01,8.10
2003-03-01,-3.54
2003-04-01,6.45
2003-05-01,-14.49
2003-06-01,15.67
2003-07-01,25.13
2003-08-01,19.33
2003-09-01,15.55
2003-10-01,20.39
2003-11-01,36.79
2003-12-01,33.95
2004-01-01,27.37
2004-02-01,32.47
2004-03-01,36.98
2004-04-01,32.64
2004-05-01,38.99
2004-06-01,36.96
2004-07-01,27.04
2004-08-01,34.97
2004-09-01,15.23
2004-10-01,28.39
2004-11-01,24.57
2004-12-01,15.28
2005-01-01,21.61
2005-02-01,15.54
2005-03-01,17.14
2005-04-01,24.27
2005-05-01,8.29
2005-06-01,-4.92
2005-07-01,7.79
2005-08-01,23.79
2005-09-01,23.72
2005-10-01,16.93
2005-11-01,12.11
2005-12-01,17.97
2006-01-01,22.94
2006-02-01,17.51
2006-03-01,20.87
2006-04-01,33.16
2006-05-01,18.43
2006-06-01,18.62
2006-07-01,26.49
2006-08-01,16.63
2006-09-01,11.63
2006-10-01,14.97
2006-11-01,18.89
2006-12-01,22.85
2007-01-01,20.12
2007-02-01,7.31
2007-03-01,24.41
2007-04-01,13.42
2007-05-01,3.80
2007-06-01,9.94
2007-07-01,24.34
2007-08-01,26.32
2007-09-01,22.69
2007-10-01,14.74
2007-11-01,26.10
2007-12-01,25.77
2008-01-01,8.69
2008-02-01,7.01
2008-03-17,-22.2
2008-04-15,0.6
2008-05-15,-3.2
2008-06-16,-8.6
2008-07-15,-4.9
2008-08-15,2.8
2008-09-15,-7.4
2008-10-15,-24.6
2008-11-17,-25.4
2008-12-15,-25.8
2009-01-15,-22.2
2009-02-17,-34.7
2009-03-16,-38.2
2009-04-15,-14.7
2009-05-15,-4.6
2009-06-15,-9.4
2009-07-15,-0.6
2009-08-17,12.1
2009-09-15,18.9
2009-10-15,34.6
2009-11-16,23.5
2009-12-15,2.6
2010-01-15,15.9
2010-02-16,24.9
2010-03-15,22.9
2010-04-15,31.9
2010-05-17,19.1
2010-06-15,19.6
2010-07-15,5.1
2010-08-16,7.1
2010-09-15,4.1
2010-10-15,15.7
2010-11-15,-11.1
2010-12-15,10.6
2011-01-18,11.9
2011-02-15,15.4
2011-03-15,17.5
2011-04-15,21.7
2011-05-16,11.9
2011-06-15,-7.8
2011-07-15,-3.8
2011-08-15,-7.7
2011-09-15,-8.8
2011-10-17,-8.5
2011-11-15,0.6
2011-12-15,9.5
2012-01-17,13.5
2012-02-15,19.5
2012-03-15,20.2
2012-04-16,6.6
2012-05-15,17.1
2012-06-15,2.3
2012-07-16,7.4
2012-08-15,-5.9
2012-09-17,-10.4
2012-10-15,-6.2
2012-11-15,-5.2
2012-12-17,-8.1
2013-01-15,-7.78
2013-02-15,10.04
2013-03-15,9.24
2013-04-15,3.05
2013-05-15,-1.43
2013-06-17,7.84
2013-07-15,9.46
2013-08-15,8.24
2013-09-16,6.29
2013-10-15,1.52
2013-11-15,-2.21
2013-12-16,0.98
2014-01-15,12.51
2014-02-18,4.48
2014-03-17,5.61
2014-04-15,1.29
2014-05-15,19.01
2014-06-16,19.28
2014-07-15,25.60
2014-08-15,14.69
2014-09-15,27.54
2014-10-15,6.17
2014-11-17,10.16
2014-12-15,-3.58
2015-01-15,9.95
2015-02-17,7.78
2015-03-16,6.90
2015-04-15,-1.19
2015-05-15,3.09
2015-06-15,-1.98
2015-07-15,3.86
2015-08-17,-14.92
2015-09-15,-14.67
2015-10-15,-11.36
2015-11-16,-10.74
2015-12-15,-4.59
2016-01-15,-19.37
2016-02-16,-16.64
2016-03-15,0.62
2016-04-15,9.56
2016-05-16,-9.02
2016-06-15,6.01
2016-07-15,0.55
2016-08-15,-4.21
2016-09-15,-1.99
2016-10-17,-6.80
2016-11-15,1.50
2016-12-15,9.00
2017-01-17,6.50
2017-02-15,18.70
2017-03-15,16.40
2017-04-17,5.20
2017-05-15,-1.00
2017-06-15,19.80
2017-07-17,9.80
2017-08-15,25.20
2017-09-15,24.40
2017-10-16,30.20
2017-11-15,19.40
2017-12-15,18.00
2018-01-16,17.70
2018-02-15,13.10
2018-03-15,22.50
2018-04-16,15.80
2018-05-15,20.10
2018-06-15,25.00
2018-07-16,22.60
2018-08-15,25.60
2018-09-17,19.00
2018-10-15,21.10
2018-11-15,23.30
2018-12-17,10.90
2019-01-15,3.90
2019-02-15,8.80
2019-03-15,3.70
2019-04-15,10.10
2019-05-15,17.80
2019-06-17,-8.60
2019-07-15,4.30
2019-08-15,4.80
2019-09-16,2.00
2019-10-15,4.00
2019-11-15,2.90
2019-12-16,3.50
2020-01-15,4.80
2020-02-18,12.90
2020-03-16,-21.50
2020-04-15,-78.20
2020-05-15,-48.50
2020-06-15,-0.20
2020-07-15,17.20
2020-08-17,3.70
