Date,Value
1970-01-01,452.00K
1970-02-01,461.00K
1970-03-01,373.00K
1970-04-01,389.00K
1970-05-01,445.00K
1970-06-01,466.00K
1970-07-01,485.00K
1970-08-01,481.00K
1970-09-01,515.00K
1970-10-01,564.00K
1970-11-01,545.00K
1970-12-01,570.00K
1971-01-01,582.00K
1971-02-01,618.00K
1971-03-01,618.00K
1971-04-01,681.00K
1971-05-01,662.00K
1971-06-01,618.00K
1971-07-01,646.00K
1971-08-01,706.00K
1971-09-01,659.00K
1971-10-01,625.00K
1971-11-01,647.00K
1971-12-01,710.00K
1972-01-01,689.00K
1972-02-01,698.00K
1972-03-01,711.00K
1972-04-01,640.00K
1972-05-01,684.00K
1972-06-01,677.00K
1972-07-01,687.00K
1972-08-01,681.00K
1972-09-01,773.00K
1972-10-01,767.00K
1972-11-01,843.00K
1972-12-01,735.00K
1973-01-01,772.00K
1973-02-01,781.00K
1973-03-01,737.00K
1973-04-01,725.00K
1973-05-01,661.00K
1973-06-01,660.00K
1973-07-01,650.00K
1973-08-01,601.00K
1973-09-01,566.00K
1973-10-01,561.00K
1973-11-01,565.00K
1973-12-01,547.00K
1974-01-01,519.00K
1974-02-01,523.00K
1974-03-01,539.00K
1974-04-01,572.00K
1974-05-01,544.00K
1974-06-01,590.00K
1974-07-01,534.00K
1974-08-01,534.00K
1974-09-01,492.00K
1974-10-01,511.00K
1974-11-01,448.00K
1974-12-01,450.00K
1975-01-01,417.00K
1975-02-01,416.00K
1975-03-01,422.00K
1975-04-01,477.00K
1975-05-01,543.00K
1975-06-01,579.00K
1975-07-01,557.00K
1975-08-01,569.00K
1975-09-01,566.00K
1975-10-01,556.00K
1975-11-01,609.00K
1975-12-01,680.00K
1976-01-01,669.00K
1976-02-01,603.00K
1976-03-01,644.00K
1976-04-01,591.00K
1976-05-01,611.00K
1976-06-01,570.00K
1976-07-01,591.00K
1976-08-01,664.00K
1976-09-01,648.00K
1976-10-01,696.00K
1976-11-01,708.00K
1976-12-01,735.00K
1977-01-01,767.00K
1977-02-01,825.00K
1977-03-01,839.00K
1977-04-01,872.00K
1977-05-01,799.00K
1977-06-01,807.00K
1977-07-01,805.00K
1977-08-01,755.00K
1977-09-01,808.00K
1977-10-01,842.00K
1977-11-01,819.00K
1977-12-01,829.00K
1978-01-01,835.00K
1978-02-01,795.00K
1978-03-01,791.00K
1978-04-01,814.00K
1978-05-01,864.00K
1978-06-01,857.00K
1978-07-01,834.00K
1978-08-01,789.00K
1978-09-01,756.00K
1978-10-01,812.00K
1978-11-01,872.00K
1978-12-01,798.00K
1979-01-01,805.00K
1979-02-01,754.00K
1979-03-01,723.00K
1979-04-01,793.00K
1979-05-01,748.00K
1979-06-01,727.00K
1979-07-01,700.00K
1979-08-01,715.00K
1979-09-01,729.00K
1979-10-01,727.00K
1979-11-01,670.00K
1979-12-01,597.00K
1980-01-01,559.00K
1980-02-01,592.00K
1980-03-01,541.00K
1980-04-01,474.00K
1980-05-01,370.00K
1980-06-01,469.00K
1980-07-01,552.00K
1980-08-01,636.00K
1980-09-01,659.00K
1980-10-01,596.00K
1980-11-01,561.00K
1980-12-01,562.00K
1981-01-01,532.00K
1981-02-01,511.00K
1981-03-01,510.00K
1981-04-01,514.00K
1981-05-01,470.00K
1981-06-01,467.00K
1981-07-01,415.00K
1981-08-01,431.00K
1981-09-01,378.00K
1981-10-01,338.00K
1981-11-01,356.00K
1981-12-01,382.00K
1982-01-01,457.00K
1982-02-01,368.00K
1982-03-01,365.00K
1982-04-01,374.00K
1982-05-01,339.00K
1982-06-01,384.00K
1982-07-01,370.00K
1982-08-01,375.00K
1982-09-01,407.00K
1982-10-01,481.00K
1982-11-01,480.00K
1982-12-01,554.00K
1983-01-01,521.00K
1983-02-01,582.00K
1983-03-01,562.00K
1983-04-01,596.00K
1983-05-01,638.00K
1983-06-01,664.00K
1983-07-01,651.00K
1983-08-01,606.00K
1983-09-01,572.00K
1983-10-01,608.00K
1983-11-01,632.00K
1983-12-01,644.00K
1984-01-01,773.00K
1984-02-01,691.00K
1984-03-01,696.00K
1984-04-01,641.00K
1984-05-01,639.00K
1984-06-01,615.00K
1984-07-01,630.00K
1984-08-01,619.00K
1984-09-01,567.00K
1984-10-01,662.00K
1984-11-01,687.00K
1984-12-01,597.00K
1985-01-01,597.00K
1985-02-01,645.00K
1985-03-01,682.00K
1985-04-01,671.00K
1985-05-01,620.00K
1985-06-01,678.00K
1985-07-01,722.00K
1985-08-01,766.00K
1985-09-01,726.00K
1985-10-01,678.00K
1985-11-01,655.00K
1985-12-01,733.00K
1986-01-01,721.00K
1986-02-01,733.00K
1986-03-01,728.00K
1986-04-01,880.00K
1986-05-01,857.00K
1986-06-01,789.00K
1986-07-01,728.00K
1986-08-01,698.00K
1986-09-01,621.00K
1986-10-01,763.00K
1986-11-01,669.00K
1986-12-01,707.00K
1987-01-01,784.00K
1987-02-01,709.00K
1987-03-01,732.00K
1987-04-01,713.00K
1987-05-01,735.00K
1987-06-01,651.00K
1987-07-01,637.00K
1987-08-01,658.00K
1987-09-01,657.00K
1987-10-01,666.00K
1987-11-01,650.00K
1987-12-01,625.00K
1988-01-01,595.00K
1988-02-01,585.00K
1988-03-01,663.00K
1988-04-01,669.00K
1988-05-01,699.00K
1988-06-01,684.00K
1988-07-01,717.00K
1988-08-01,679.00K
1988-09-01,688.00K
1988-10-01,703.00K
1988-11-01,718.00K
1988-12-01,628.00K
1989-01-01,658.00K
1989-02-01,719.00K
1989-03-01,622.00K
1989-04-01,567.00K
1989-05-01,608.00K
1989-06-01,656.00K
1989-07-01,642.00K
1989-08-01,731.00K
1989-09-01,697.00K
1989-10-01,639.00K
1989-11-01,645.00K
1989-12-01,684.00K
1990-01-01,630.00K
1990-02-01,620.00K
1990-03-01,591.00K
1990-04-01,574.00K
1990-05-01,542.00K
1990-06-01,534.00K
1990-07-01,545.00K
1990-08-01,542.00K
1990-09-01,528.00K
1990-10-01,496.00K
