Date,Value
1970-01-02,153K
1970-02-06,-64K
1970-03-06,128K
1970-04-03,148K
1970-05-01,-104K
1970-06-05,-225K
1970-07-03,-94K
1970-08-07,24K
1970-09-04,-120K
1970-10-02,15K
1970-11-06,-429K
1970-12-04,-110K
1971-01-01,381K
1971-02-05,76K
1971-03-05,-60K
1971-04-02,53K
1971-05-07,178K
1971-06-04,210K
1971-07-02,6K
1971-08-06,62K
1971-09-03,55K
1971-10-01,247K
1971-11-05,25K
1971-12-03,204K
1972-01-07,262K
1972-02-04,337K
1972-03-03,207K
1972-04-07,293K
1972-05-05,218K
1972-06-02,304K
1972-07-07,293K
1972-08-04,-52K
1972-09-01,430K
1972-10-06,125K
1972-11-03,410K
1972-12-01,294K
1973-01-05,303K
1973-02-02,351K
1973-03-02,396K
1973-04-06,268K
1973-05-04,170K
1973-06-01,191K
1973-07-06,241K
1973-08-03,24K
1973-09-07,255K
1973-10-05,110K
1973-11-02,330K
1973-12-07,306K
1974-01-04,123K
1974-02-01,69K
1974-03-01,150K
1974-04-05,42K
1974-05-03,86K
1974-06-07,165K
1974-07-05,55K
1974-08-02,33K
1974-09-06,-16K
1974-10-04,-8K
1974-11-01,18K
1974-12-06,-368K
1975-01-03,-604K
1975-02-07,-360K
1975-03-07,-378K
1975-04-04,-270K
1975-05-02,-188K
1975-06-06,162K
1975-07-04,-103K
1975-08-01,249K
1975-09-05,386K
1975-10-03,75K
1975-11-07,305K
1975-12-05,145K
1976-01-02,338K
1976-02-06,488K
1976-03-05,311K
1976-04-02,232K
1976-05-07,243K
1976-06-04,19K
1976-07-02,65K
1976-08-06,171K
1976-09-03,157K
1976-10-01,188K
1976-11-05,13K
1976-12-03,332K
1977-01-07,211K
1977-02-04,244K
1977-03-04,296K
1977-04-01,403K
1977-05-06,338K
1977-06-03,360K
1977-07-01,399K
1977-08-05,348K
1977-09-02,238K
1977-10-07,458K
1977-11-04,262K
1977-12-02,379K
1978-01-06,235K
1978-02-03,187K
1978-03-03,353K
1978-04-07,513K
1978-05-05,702K
1978-06-02,346K
1978-07-07,442K
1978-08-04,254K
1978-09-01,276K
1978-10-06,137K
1978-11-03,336K
1978-12-01,437K
1979-01-05,282K
1979-02-02,137K
1979-03-02,244K
1979-04-06,426K
1979-05-04,-62K
1979-06-01,373K
1979-07-06,318K
1979-08-03,106K
1979-09-07,82K
1979-10-05,28K
1979-11-02,157K
1979-12-07,94K
1980-01-04,97K
1980-02-01,129K
1980-03-07,80K
1980-04-04,112K
1980-05-02,-144K
1980-06-06,-431K
1980-07-04,-320K
1980-08-01,-262K
1980-09-05,260K
1980-10-03,113K
1980-11-07,281K
1980-12-05,257K
1981-01-02,195K
1981-02-06,94K
1981-03-06,68K
1981-04-03,105K
1981-05-01,73K
1981-06-05,10K
1981-07-03,197K
1981-08-07,112K
1981-09-04,-36K
1981-10-02,-87K
1981-11-06,-99K
1981-12-04,-209K
1982-01-01,-278K
1982-02-05,-326K
1982-03-05,-5K
1982-04-02,-130K
1982-05-07,-280K
1982-06-04,-45K
1982-07-02,-243K
1982-08-06,-342K
1982-09-03,-158K
1982-10-01,-181K
1982-11-05,-277K
1982-12-03,-123K
1983-01-07,-14K
1983-02-04,224K
1983-03-04,-75K
1983-04-01,172K
1983-05-06,276K
1983-06-03,277K
1983-07-01,379K
1983-08-05,418K
1983-09-02,-308K
1983-10-07,"1,115K"
1983-11-04,271K
1983-12-02,353K
1984-01-06,356K
1984-02-03,446K
1984-03-02,481K
1984-04-06,275K
1984-05-04,363K
1984-06-01,308K
1984-07-06,379K
1984-08-03,313K
1984-09-07,242K
1984-10-05,310K
1984-11-02,286K
1984-12-07,349K
1985-01-04,128K
1985-02-01,266K
1985-03-01,124K
1985-04-05,346K
1985-05-03,196K
1985-06-07,274K
1985-07-05,146K
1985-08-02,190K
1985-09-06,193K
1985-10-04,203K
1985-11-01,188K
1985-12-06,209K
1986-01-03,167K
1986-02-07,125K
1986-03-07,107K
1986-04-04,94K
1986-05-02,187K
1986-06-06,127K
1986-07-04,-94K
1986-08-01,318K
1986-09-05,114K
1986-10-03,347K
1986-11-07,186K
1986-12-05,186K
1987-01-02,205K
1987-02-06,172K
1987-03-06,232K
1987-04-03,249K
1987-05-01,338K
1987-06-05,226K
1987-07-03,172K
1987-08-07,347K
1987-09-04,171K
1987-10-02,228K
1987-11-06,492K
1987-12-04,232K
1988-01-01,294K
1988-02-05,94K
1988-03-04,453K
1988-04-01,276K
1988-05-06,245K
1988-06-03,229K
1988-07-01,363K
1988-08-05,222K
1988-09-02,124K
1988-10-07,339K
1988-11-04,268K
1988-12-02,339K
1989-01-06,290K
1989-02-03,262K
1989-03-03,258K
1989-04-07,193K
1989-05-05,173K
1989-06-02,118K
1989-07-07,116K
1989-08-04,40K
1989-09-01,49K
1989-10-06,250K
1989-11-03,111K
1989-12-01,277K
1990-01-05,96K
1990-02-02,335K
1990-03-02,248K
1990-04-06,215K
1990-05-04,40K
1990-06-01,152K
1990-07-06,23K
1990-08-03,-28K
1990-09-07,-221K
1990-10-05,-88K
1990-11-02,-159K
1990-12-07,-150K
1991-01-04,-56K
1991-02-01,-120K
1991-03-01,-305K
1991-04-05,-158K
1991-05-03,-211K
1991-06-07,-125K
1991-07-05,97K
1991-08-02,-36K
1991-09-06,6K
1991-10-04,32K
1991-11-01,16K
1991-12-06,-57K
1992-01-03,25K
1992-02-07,53K
1992-03-06,-63K
1992-04-03,54K
1992-05-01,159K
1992-06-05,127K
1992-07-03,67K
1992-08-07,68K
1992-09-04,141K
1992-10-02,36K
1992-11-06,180K
1992-12-04,138K
1993-01-01,211K
1993-02-05,310K
1993-03-05,242K
1993-04-02,-49K
1993-05-07,308K
1993-06-04,267K
1993-07-02,181K
1993-08-06,298K
1993-09-03,160K
1993-10-01,239K
1993-11-05,286K
1993-12-03,262K
1994-01-07,312K
1994-02-04,272K
1994-03-04,200K
1994-04-01,465K
1994-05-06,349K
1994-06-03,334K
1994-07-01,316K
1994-08-05,378K
1994-09-02,277K
1994-10-07,352K
1994-11-04,213K
1994-12-02,420K
1995-01-06,275K
1995-02-03,326K
1995-03-03,203K
