Date,Value
2001-02-01,101.50
2001-03-01,106.70
2001-04-01,101.70
2001-05-01,98.70
2001-06-01,101.40
2001-07-01,98.00
2001-08-01,97.80
2001-09-01,97.50
2001-10-01,89.80
2001-11-01,98.00
2001-12-01,102.40
2002-01-01,108.60
2002-02-01,106.30
2002-03-01,106.00
2002-04-01,103.30
2002-05-01,103.20
2002-06-01,99.40
2002-07-01,98.70
2002-08-01,100.50
2002-09-01,101.70
2002-10-01,102.80
2002-11-01,100.90
2002-12-01,103.80
2003-01-01,103.10
2003-02-01,105.40
2003-03-01,99.30
2003-04-01,103.90
2003-05-01,105.50
2003-06-01,105.80
2003-07-01,110.80
2003-08-01,113.60
2003-09-01,107.50
2003-10-01,107.80
2003-11-01,110.10
2003-12-01,110.10
2004-01-01,108.90
2004-02-01,111.10
2004-03-01,114.10
2004-04-01,120.70
2004-05-01,117.50
2004-06-01,121.70
2004-07-01,119.50
2004-08-01,120.90
2004-09-01,121.80
2004-10-01,124.00
2004-11-01,125.50
2004-12-01,123.60
2005-01-01,124.00
2005-02-01,122.10
2005-03-01,124.20
2005-04-01,123.70
2005-05-01,126.90
2005-06-01,125.40
2005-07-01,125.80
2005-08-01,127.00
2005-09-01,126.20
2005-10-01,125.40
2005-11-01,122.90
2005-12-01,120.50
2006-01-01,118.10
2006-02-01,118.20
2006-03-01,117.40
2006-04-01,115.40
2006-05-01,113.70
2006-06-01,112.50
2006-07-01,111.10
2006-08-01,109.00
2006-09-01,108.80
2006-10-01,107.60
2006-11-01,106.70
2006-12-01,109.10
2007-01-01,112.20
2007-02-01,107.10
2007-03-01,107.90
2007-04-01,104.60
2007-05-01,100.90
2007-06-01,98.80
2007-07-01,100.10
2007-08-01,92.80
2007-09-01,85.10
2007-10-01,86.80
2007-11-01,88.90
2007-12-01,88.20
2008-01-01,86.10
2008-02-01,86.10
2008-03-01,87.80
2008-04-01,82.80
2008-05-01,88.40
2008-06-01,85.10
2008-07-01,88.60
2008-08-01,87.40
2008-09-01,88.70
2008-10-01,90.70
2008-11-01,83.80
2008-12-01,80.20
2009-01-01,88.20
2009-02-01,83.20
2009-03-01,82.90
2009-04-01,83.20
2009-05-01,90.50
2009-06-01,92.60
2009-07-01,94.40
2009-08-01,99.40
2009-09-01,101.40
2009-10-01,106.00
2009-11-01,109.70
2009-12-01,95.20
2010-01-01,92.30
2010-02-01,93.30
2010-03-01,97.50
2010-04-01,100.80
2010-05-01,112.10
2010-06-01,78.10
2010-07-01,76.40
2010-08-01,80.60
2010-09-01,81.20
2010-10-01,81.30
2010-11-01,85.70
2010-12-01,88.30
2011-01-01,88.80
2011-02-01,89.00
2011-03-01,87.70
2011-04-01,87.80
2011-05-01,84.90
2011-06-01,87.70
2011-07-01,89.80
2011-08-01,90.10
2011-09-01,90.10
2011-10-01,88.60
2011-11-01,91.50
2011-12-01,94.10
2012-01-01,95.50
2012-02-01,97.00
2012-03-01,97.40
2012-04-01,98.60
2012-05-01,98.30
2012-06-01,97.80
2012-07-01,98.20
2012-08-01,100.30
2012-09-01,100.20
2012-10-01,102.00
2012-11-01,103.20
2012-12-01,102.90
2013-01-01,103.50
2013-02-01,104.90
2013-03-01,105.60
2013-04-01,106.10
2013-05-01,107.90
2013-06-01,108.00
2013-07-01,109.40
2013-08-01,106.00
2013-09-01,105.20
2013-10-01,102.80
2013-11-01,101.10
2013-12-01,100.10
2014-01-01,96.40
2014-02-01,96.10
2014-03-01,95.40
2014-04-01,97.70
2014-05-01,98.60
2014-06-01,101.90
2014-07-01,101.90
2014-08-28,105.9
2014-09-29,104.7
2014-10-27,105.0
2014-11-26,104.1
2014-12-31,104.8
2015-01-29,100.7
2015-02-27,104.2
2015-03-30,106.9
2015-04-29,108.6
2015-05-28,112.4
2015-06-29,112.6
2015-07-29,110.3
2015-08-27,110.9
2015-09-28,109.4
2015-10-29,106.8
2015-11-30,107.7
2015-12-30,106.9
2016-01-28,106.8
2016-02-29,106.0
2016-03-28,109.1
2016-04-27,110.5
2016-05-26,116.3
2016-06-29,110.8
2016-07-27,111.0
2016-08-31,111.3
2016-09-29,108.5
2016-10-27,110.0
2016-11-30,110.0
2016-12-28,107.3
2017-01-30,109.0
2017-02-27,106.4
2017-03-29,112.3
2017-04-27,111.4
2017-05-31,109.8
2017-06-28,108.5
2017-07-31,110.2
2017-08-31,109.1
2017-09-27,106.3
2017-10-26,106.0
2017-11-29,109.3
2017-12-27,109.5
2018-01-31,110.1
2018-02-28,104.6
2018-03-28,107.5
2018-04-30,107.6
2018-05-31,106.4
2018-06-27,105.9
2018-07-30,106.9
2018-08-29,106.2
2018-09-27,104.2
2018-10-25,104.6
2018-11-29,102.1
2018-12-28,101.4
2019-01-30,99.0
2019-02-27,103.2
2019-03-28,101.9
2019-04-30,105.8
2019-05-30,104.3
2019-06-27,105.4
2019-07-30,108.3
2019-08-29,105.6
2019-09-26,107.3
2019-10-29,108.7
2019-11-27,106.7
2019-12-30,108.5
2020-01-29,103.2
2020-02-27,108.8
2020-03-30,111.5
2020-04-29,88.2
2020-05-28,69.0
2020-06-29,99.6
2020-07-29,116.1
2020-08-27,122.1
2020-09-30,132.8
