Date,Value
2005-02-01,2.30%
2005-03-01,2.57%
2005-04-01,4.57%
2005-05-01,2.28%
2005-06-01,2.81%
2005-07-01,3.68%
2005-08-01,4.84%
2005-09-01,3.65%
2005-10-01,3.23%
2005-11-01,3.77%
2005-12-01,3.83%
2006-01-01,3.48%
2006-02-01,3.48%
2006-03-01,2.86%
2006-04-01,1.68%
2006-05-01,5.05%
2006-06-01,3.13%
2006-07-01,3.12%
2006-08-01,2.72%
2006-09-01,3.41%
2006-10-01,3.80%
2006-11-01,3.35%
2006-12-01,2.99%
2007-01-01,2.83%
2007-02-01,2.80%
2007-03-01,2.87%
2007-04-01,3.99%
2007-05-01,1.22%
2007-06-01,1.87%
2007-07-01,1.59%
2007-08-01,2.38%
2007-09-01,2.46%
2007-10-01,2.05%
2007-11-01,2.07%
2007-12-01,2.33%
2008-01-01,1.40%
2008-02-01,0.64%
2008-03-01,0.46%
2008-04-01,1.11%
2008-05-01,1.47%
2008-06-01,1.79%
2008-07-01,2.54%
2008-08-01,2.90%
2008-09-01,1.83%
2008-10-01,1.30%
2008-11-01,0.60%
2008-12-01,-0.93%
2009-01-01,-0.95%
2009-02-01,-2.21%
2009-03-01,-1.63%
2009-04-01,-0.96%
2009-05-01,0.50%
2009-06-01,-0.08%
2009-07-01,-4.40%
2009-08-01,-5.42%
2009-09-01,-4.21%
2009-10-01,-2.22%
2009-11-01,0.44%
2009-12-01,2.51%
2010-01-01,1.88%
2010-02-01,1.05%
2010-03-01,1.80%
2010-04-01,3.81%
2010-05-01,2.70%
2010-06-01,2.71%
2010-07-01,2.95%
2010-08-01,2.90%
2010-09-01,2.84%
2010-10-01,2.63%
2010-11-01,2.63%
2010-12-01,3.23%
2011-01-01,3.63%
2011-02-01,2.37%
2011-03-01,2.62%
2011-04-01,1.96%
2011-05-01,4.93%
2011-06-01,3.95%
2011-07-01,3.77%
2011-08-01,4.34%
2011-09-01,4.29%
2011-10-01,4.29%
2011-11-01,4.60%
2011-12-01,3.82%
2012-01-01,3.81%
2012-02-01,2.64%
2012-03-01,2.93%
2012-04-01,3.75%
2012-05-01,3.15%
2012-06-01,3.08%
2012-07-01,2.05%
2012-08-01,1.61%
2012-09-01,1.93%
2012-10-01,2.35%
2012-11-01,1.47%
2012-12-01,2.35%
2013-01-01,2.58%
2013-02-01,1.78%
2013-03-01,2.57%
2013-04-01,2.89%
2013-05-29,2.7%
2013-06-04,2.9%
2013-06-11,2.8%
2013-06-18,2.9%
2013-06-25,2.8%
2013-07-02,2.9%
