Date,Value
1993-02-01,"13,220,000.00M"
2008-03-03,11.70M
2008-05-01,0.00M
2008-06-03,10.50M
2008-07-01,9.70M
2008-11-02,10.60M
2009-01-05,10.30M
2009-02-02,9.60M
2009-03-02,9.10M
2009-04-01,9.90M
2009-05-01,9.30M
2009-06-02,9.90M
2009-07-01,9.70M
2009-08-03,11.20M
2009-09-01,14.09M
2009-10-01,9.20M
2009-11-03,10.46M
2009-12-01,10.93M
2010-01-05,11.25M
2010-02-02,10.78M
2010-03-02,10.40M
2010-04-01,11.80M
2010-05-03,11.20M
2010-06-02,11.60M
2010-07-01,11.10M
2010-08-03,12.10M
2010-09-01,11.50M
2010-10-01,11.80M
2010-11-03,12.30M
2010-12-01,12.30M
2011-01-04,12.60M
2011-02-01,12.60M
2011-03-01,13.40M
2011-04-01,13.10M
2011-05-03,13.10M
2011-06-01,11.80M
2011-07-01,11.50M
2011-08-02,12.20M
2011-09-01,12.10M
2011-10-03,13.10M
2011-11-01,13.30M
2011-12-01,13.60M
2012-01-04,13.60M
2012-02-01,14.20M
2012-03-01,15.10M
2012-04-03,14.37M
2012-05-01,14.42M
2012-06-01,13.78M
2012-07-03,14.08M
2012-08-01,14.09M
2012-09-04,14.52M
2012-10-02,14.96M
2012-11-01,14.30M
2012-12-03,15.50M
2013-01-03,15.40M
2013-02-01,15.30M
2013-03-01,15.40M
2013-04-02,15.27M
2013-05-01,14.90M
2013-06-03,15.30M
2013-07-02,15.96M
2013-08-01,15.67M
2013-09-04,16.09M
2013-10-01,15.28M
2013-11-01,15.23M
2013-12-03,16.41M
2014-01-03,15.40M
2014-02-03,15.24M
2014-03-03,15.34M
2014-04-01,16.40M
2014-05-01,16.04M
2014-06-03,16.77M
2014-07-01,16.98M
2014-08-01,16.48M
2014-09-03,17.53M
2014-10-01,16.43M
2014-11-03,16.46M
2014-12-02,17.20M
2015-01-05,16.92M
2015-02-03,16.66M
2015-03-03,16.23M
2015-04-01,17.15M
2015-05-01,16.50M
2015-06-02,17.79M
2015-07-01,17.16M
2015-08-03,17.55M
2015-09-01,17.81M
2015-10-01,18.17M
2015-11-03,18.24M
2015-12-01,18.19M
2016-01-05,17.34M
2016-02-02,17.58M
2016-03-01,17.54M
2016-04-01,16.57M
2016-05-03,17.42M
2016-06-01,17.45M
2016-07-01,16.66M
2016-08-02,17.88M
2016-09-01,16.98M
2016-10-03,17.76M
2016-11-01,18.29M
2016-12-01,17.87M
2017-01-04,18.43M
2017-02-01,17.61M
2017-03-01,17.58M
2017-04-03,16.62M
2017-05-02,16.88M
2017-06-01,16.66M
2017-07-03,16.51M
2017-08-01,16.73M
2017-09-01,16.14M
2017-10-03,18.57M
2017-11-01,18.09M
2017-12-01,17.48M
2018-01-03,17.85M
2018-02-01,17.16M
2018-03-01,17.08M
2018-04-03,17.48M
2018-05-01,17.15M
2018-06-01,16.91M
2018-07-03,17.47M
2018-08-01,16.77M
2018-09-04,16.72M
2018-10-02,17.44M
2018-11-01,17.57M
2018-12-03,17.49M
2019-01-03,17.55M
2019-02-01,16.70M
2019-03-01,16.60M
2019-04-02,17.45M
2019-05-03,16.40M
2019-06-03,17.30M
2019-07-02,17.30M
2019-08-01,16.80M
2019-09-05,16.90M
2019-10-03,17.20M
2019-11-01,16.60M
2019-12-03,17.10M
2020-01-03,16.70M
2020-02-03,16.80M
2020-03-03,17.04M
2020-04-01,11.40M
2020-05-01,8.60M
2020-06-02,12.20M
2020-07-01,13.10M
2020-08-03,14.50M
2020-09-01,15.20M
2020-10-01,15.70M
