Date,Value
1992-03-01,0.50%
1992-04-01,0.60%
1992-05-01,-0.30%
1992-06-01,-0.40%
1992-07-01,2.00%
1992-08-01,-0.40%
1992-09-01,0.30%
1992-10-01,0.40%
1992-11-01,0.10%
1992-12-01,0.90%
1993-01-01,0.80%
1993-02-01,0.30%
1993-03-01,-0.20%
1993-04-01,0.80%
1993-05-01,0.40%
1993-06-01,-0.10%
1993-07-01,0.20%
1993-08-01,0.00%
1993-09-01,1.00%
1993-10-01,0.50%
1993-11-01,-0.40%
1993-12-01,0.50%
1994-01-01,0.80%
1994-02-01,0.00%
1994-03-01,0.80%
1994-04-01,-0.40%
1994-05-01,0.40%
1994-06-01,1.70%
1994-07-01,-0.10%
1994-08-01,1.00%
1994-09-01,0.70%
1994-10-01,0.80%
1994-11-01,1.40%
1994-12-01,0.70%
1995-01-01,1.00%
1995-02-01,1.00%
1995-03-01,0.80%
1995-04-01,1.10%
1995-05-01,1.10%
1995-06-01,0.40%
1995-07-01,0.60%
1995-08-01,1.00%
1995-09-01,0.10%
1995-10-01,0.50%
1995-11-01,0.40%
1995-12-01,0.10%
1996-01-01,0.10%
1996-02-01,0.60%
1996-03-01,-0.10%
1996-04-01,-0.10%
1996-05-01,1.40%
1996-06-01,-0.10%
1996-07-01,-0.40%
1996-08-01,0.10%
1996-09-01,-0.10%
1996-10-01,-0.70%
1996-11-01,0.30%
1996-12-01,0.10%
1997-01-01,0.10%
1997-02-01,1.00%
1997-03-01,0.10%
1997-04-01,0.60%
1997-05-01,0.10%
1997-06-01,0.60%
1997-07-01,1.70%
1997-08-01,-0.40%
1997-09-01,0.40%
1997-10-01,0.90%
1997-11-01,0.40%
1997-12-01,0.80%
1998-01-01,0.90%
1998-02-01,0.20%
1998-03-01,1.00%
1998-04-01,0.70%
1998-05-01,-0.10%
1998-06-01,0.70%
1998-07-01,-0.30%
1998-08-01,0.10%
1998-09-01,0.90%
1998-10-01,0.60%
1998-11-01,0.30%
1998-12-01,0.60%
1999-01-01,0.50%
1999-02-01,0.10%
1999-03-01,0.80%
1999-04-01,0.30%
1999-05-01,0.10%
1999-06-01,0.20%
1999-07-01,0.10%
1999-08-01,1.10%
1999-09-01,0.20%
1999-10-01,0.50%
1999-11-01,1.10%
1999-12-01,1.30%
2000-01-01,0.50%
2000-02-01,0.90%
2000-03-01,0.60%
2000-04-01,0.70%
2000-05-01,0.90%
2000-06-01,0.60%
2000-07-01,0.60%
2000-08-01,0.30%
2000-09-01,0.30%
2000-10-01,0.10%
2000-11-01,0.70%
2000-12-01,0.70%
2001-01-01,0.00%
2001-02-01,-0.10%
2001-03-01,0.10%
2001-04-01,0.00%
2001-05-01,0.50%
2001-06-01,0.40%
2001-07-01,-0.80%
2001-08-01,-1.00%
2001-09-01,-0.30%
2001-10-01,-0.20%
2001-11-01,-0.60%
2001-12-01,-1.20%
2002-01-01,-0.60%
2002-02-01,-0.30%
2002-03-01,-0.80%
2002-04-01,0.00%
2002-05-01,-0.40%
2002-06-01,0.10%
2002-07-01,0.30%
2002-08-01,0.80%
2002-09-01,0.30%
2002-10-01,0.40%
2002-11-01,-0.10%
2002-12-01,0.10%
2003-01-01,0.90%
2003-02-01,0.00%
2003-03-01,0.40%
2003-04-01,0.40%
2003-05-01,0.20%
2003-06-01,-0.50%
2003-07-01,-0.30%
2003-08-01,0.00%
2003-09-01,-0.20%
2003-10-01,0.30%
2003-11-01,1.00%
2003-12-01,0.30%
2004-01-01,0.70%
2004-02-01,0.10%
2004-03-01,1.30%
2004-04-01,0.60%
2004-05-01,0.00%
2004-06-01,1.20%
2004-07-01,0.80%
2004-08-01,1.80%
2004-09-01,1.00%
2004-10-01,0.00%
2004-11-01,1.60%
2004-12-01,1.20%
2005-01-01,0.30%
2005-02-01,1.40%
2005-03-01,0.50%
2005-04-01,0.50%
2005-05-01,0.90%
2005-06-01,0.10%
2005-07-01,0.50%
2005-08-01,0.40%
2005-09-01,0.50%
2005-10-01,0.30%
2005-11-01,0.80%
2005-12-01,0.50%
2006-01-01,1.20%
2006-02-01,0.30%
2006-03-01,1.00%
2006-04-01,0.40%
2006-05-01,1.30%
2006-06-01,0.70%
2006-07-01,0.70%
2006-08-01,0.90%
2006-09-01,1.10%
2006-10-01,0.50%
2006-11-01,0.40%
2006-12-01,1.10%
2007-01-01,-0.40%
2007-02-01,0.30%
2007-03-01,0.40%
2007-04-01,0.60%
2007-05-01,0.30%
2007-06-01,0.40%
2007-07-01,0.30%
2007-08-01,0.10%
2007-09-01,0.40%
2007-10-01,0.80%
2007-11-01,0.20%
2007-12-01,1.20%
2008-01-01,1.20%
2008-02-01,1.30%
2008-03-10,0.8%
2008-04-09,1.1%
2008-05-08,-0.1%
2008-06-06,1.3%
2008-07-08,0.8%
2008-08-08,1.1%
2008-09-09,1.4%
2008-10-09,0.8%
2008-11-07,-0.1%
2008-12-10,-1.1%
2009-01-09,-0.6%
2009-02-10,-1.4%
2009-03-10,-0.7%
2009-04-08,-1.5%
2009-05-08,-1.6%
2009-06-09,-1.4%
2009-07-09,-0.8%
2009-08-11,-1.7%
2009-09-11,-1.4%
2009-10-08,-1.3%
2009-11-06,-0.9%
2009-12-09,0.3%
2010-01-08,1.5%
2010-02-09,-0.8%
2010-03-10,-0.2%
2010-04-09,0.6%
2010-05-11,0.4%
2010-06-09,0.4%
2010-07-09,0.5%
2010-08-10,0.1%
2010-09-10,1.3%
2010-10-08,0.8%
2010-11-09,1.5%
2010-12-09,1.9%
2011-01-11,-0.2%
2011-02-10,1.0%
2011-03-09,1.1%
2011-04-08,1.0%
2011-05-10,1.1%
2011-06-09,0.8%
2011-07-08,1.8%
2011-08-10,0.6%
2011-09-09,0.8%
2011-10-07,0.4%
2011-11-09,-0.1%
2011-12-08,1.6%
2012-01-10,0.1%
2012-02-09,1.0%
2012-03-09,0.4%
2012-04-10,0.9%
2012-05-09,0.3%
2012-06-08,0.6%
2012-07-11,0.3%
2012-08-09,-0.2%
2012-09-12,0.7%
2012-10-10,0.5%
2012-11-09,1.1%
2012-12-11,0.6%
2013-01-10,0.6%
2013-02-08,-0.1%
2013-03-08,1.2%
2013-04-09,-0.3%
2013-05-09,0.4%
2013-06-11,0.2%
2013-07-10,-0.5%
2013-08-09,-0.2%
2013-09-11,0.1%
2013-10-25,0.5%
2013-11-15,0.4%
2013-12-10,1.4%
2014-01-10,0.5%
2014-02-11,0.3%
2014-03-11,0.6%
2014-04-09,0.5%
2014-05-09,1.1%
2014-06-10,1.1%
2014-07-10,0.5%
2014-08-08,0.3%
2014-09-10,0.1%
2014-10-09,0.7%
2014-11-12,0.3%
2014-12-09,0.4%
2015-01-09,0.8%
2015-02-10,0.1%
2015-03-10,0.3%
2015-04-09,0.3%
2015-05-08,0.1%
2015-06-09,0.4%
2015-07-10,0.8%
2015-08-11,0.9%
2015-09-10,-0.1%
2015-10-09,0.1%
2015-11-10,0.5%
2015-12-09,-0.1%
2016-01-08,-0.3%
2016-02-09,-0.1%
2016-03-09,0.3%
2016-04-08,-0.5%
2016-05-10,0.1%
2016-06-09,0.6%
2016-07-12,0.1%
2016-08-09,0.3%
2016-09-09,0.0%
2016-10-07,-0.2%
2016-10-26,0.2%
2016-11-09,0.1%
2016-11-25,-0.4%
2016-12-09,-0.4%
2016-12-29,0.9%
2017-01-10,1.0%
2017-01-26,1.0%
2017-02-09,1.0%
2017-02-28,-0.1%
2017-03-08,-0.2%
2017-03-28,0.4%
2017-04-07,0.4%
2017-04-27,-0.1%
2017-05-09,0.2%
2017-05-25,-0.3%
2017-06-09,-0.5%
2017-06-28,0.3%
2017-07-11,0.4%
2017-07-27,0.6%
2017-08-09,0.7%
2017-08-28,0.4%
2017-09-08,0.6%
2017-09-28,1.0%
2017-10-06,0.9%
2017-10-26,0.3%
2017-11-09,0.3%
2017-11-28,-0.4%
2017-12-08,-0.5%
2017-12-28,0.7%
2018-01-10,0.8%
2018-01-26,0.2%
2018-02-09,0.4%
2018-02-27,0.7%
2018-03-09,0.8%
2018-03-28,1.1%
2018-04-10,1.0%
2018-04-26,0.5%
2018-05-09,0.3%
2018-05-30,0.0%
2018-06-08,0.1%
2018-06-27,0.5%
2018-07-11,0.6%
2018-07-26,0.0%
2018-08-09,0.1%
2018-08-28,0.7%
2018-09-11,0.6%
2018-09-27,0.8%
2018-10-10,1.0%
2018-10-25,0.3%
2018-11-09,0.4%
2018-11-28,0.7%
2018-12-07,0.8%
2019-02-01,0.3%
2019-02-25,1.1%
2019-03-22,1.2%
2019-04-17,0.2%
2019-05-03,0.0%
2019-05-09,-0.1%
2019-05-30,0.7%
2019-06-07,0.8%
2019-06-26,0.4%
2019-07-10,0.4%
2019-07-25,0.2%
2019-08-08,0.0%
2019-08-29,0.2%
2019-09-11,0.2%
2019-09-26,0.4%
2019-10-09,0.2%
2019-10-28,-0.3%
2019-11-08,-0.4%
2019-11-26,0.2%
2019-12-06,0.1%
2019-12-30,0.0%
2020-01-10,-0.1%
2020-01-29,-0.1%
2020-02-07,-0.2%
2020-02-28,-0.2%
2020-03-06,-0.4%
2020-03-26,-0.5%
2020-04-09,-0.7%
2020-04-28,-1.0%
2020-05-08,-0.8%
2020-05-29,0.4%
2020-06-09,0.3%
2020-06-25,-1.2%
2020-07-09,-1.2%
2020-07-29,-2.0%
2020-08-07,-1.4%
2020-08-28,-0.1%
2020-09-10,-0.3%
